"gene_id"	"lambda"	"p.value"	"p.adjusted"	"ci.hi"	"ci.lo"	"logFC"	"z"	"SE"	"logFC.CPM"	"SYMBOL"
"ENSG00000188641"	28.8497258189134	5.43702883432432e-07	0.00605413160702013	-2.94058556376187	-15.3768498737828	-9.15871771877235	-2.88684068235799	3.17251640561759	2.99053583705253	"P3H3"
"ENSG00000183878"	19.1779810422745	1.1907906437717e-05	0.0662972690919895	0.660664359984578	0.0226048407626532	0.341634600373616	2.09883715369233	0.162770285515797	6.02179106033682	"UCKL1"
"ENSG00000170396"	20.8977733544857	2.89805200168262e-05	0.10756603012912	0.089300144970667	-2.55343872379863	-1.23206928941398	-1.82750665398418	0.674168078767677	-6.53153997013819	"NBPF19"
"ENSG00000186047"	19.4981745566027	5.83478948242633e-05	0.129940761773634	10.8475162913603	4.25799014836008	7.5527532198602	4.49292527984569	1.6810015670919	0.383849055982336	"WSB1"
"ENSG00000165246"	16.2027251795392	5.69121852312421e-05	0.129940761773634	0.687683176787474	0.0230460168759524	0.355364596831713	2.09588585526417	0.169550295895796	-1.42740050429169	"SERPING1"
"ENSG00000184005"	18.5182516741129	9.52385427714486e-05	0.176746862293347	14.7754517980657	6.63868511742943	10.7070684577476	5.15818368176412	2.07570578587661	0	"HTR1F"
"ENSG00000251562"	16.3384163171749	0.000283242210581617	0.411800773329624	-0.456381076349431	-1.17933174991089	-0.817856413130162	-4.43451862729042	0.184426192235067	0.0673481099960353	"PPA2"
"ENSG00000152518"	16.2512452889532	0.000295860456815177	0.411800773329624	-0.427093227146731	-6.25162482708801	-3.33935902711737	-2.24739906112441	1.4858498979442	0	"FER1L6"
"ENSG00000166839"	12.5239403973316	0.000401770680702445	0.497079614402413	0.847558687036655	0.0583416899363601	0.452950188486508	2.2497388157781	0.201330866607218	-3.97075906963583	"MED17"
"ENSG00000197548"	14.2556951784932	0.000802444720659115	0.817863964512389	2.12778895095962	-3.64349702807418	-0.757854038557281	-0.514743724884406	1.47226683138617	6.38401856481198	"RASSF1"
"ENSG00000101463"	14.2420251313088	0.000807948236159522	0.817863964512389	19.1454862713285	5.59651640166625	12.3710013364974	3.57912332900275	3.45636986470975	-4.39537084342111	"MRPS23"
"ENSG00000245532"	13.5611763055763	0.00113560679156391	0.990504868623545	-4.96692172716847	-13.9176918082399	-9.44230676770417	-4.13519306787148	2.28335971455903	-1.7281241231987	"ERLIN2"
"ENSG00000187147"	10.4343067733019	0.00123695966452986	0.990504868623545	0	0	0	0	0	1.14049813847848	"ANKS3"
"ENSG00000165685"	10.4218087968106	0.00124535861344676	0.990504868623545	0.379372801747609	-0.0417907390055537	0.168791031371028	1.57100180993338	0.107439678763562	-0.131741212524635	"PDE2A"
"ENSG00000148584"	0	1	1	0	0	0	0	0	0	"TSPAN6"
"ENSG00000175899"	1.29731302815242	0.522747609259146	1	3.54665410081242	-0.972616472372875	1.28701881421977	1.11633525032261	1.15287514622074	0.846380985969676	"DPM1"
"ENSG00000166535"	0	1	1	0	0	0	0	0	3.352257415173	"SCYL3"
