"gene_id"	"lambda"	"p.value"	"p.adjusted"	"ci.hi"	"ci.lo"	"logFC"	"z"	"SE"	"logFC.CPM"	"SYMBOL"
"ENSG00000197584"	490.501778870822	3.08242157879246e-107	3.43227642798541e-103	-9.32815384222574	-10.5351958731863	-9.93167485770602	-32.2535993411511	0.307918885449126	-6.94346405635617	"SLC38A2"
"ENSG00000117501"	113.133541802784	2.01720704718039e-26	1.12308002351768e-22	4.20139187643434	3.05096996287621	3.62618091965527	12.3557868990324	0.293474977948504	1.78320134413798	"ANP32E"
"ENSG00000270106"	86.7394875416692	1.23800119702298e-20	4.59504777628362e-17	-1.26217291490143	-2.292760416479	-1.77746666569022	-6.76074693927602	0.262904974892236	-5.17281439947913	"POM121"
"ENSG00000229807"	83.5942271295985	7.04278157406949e-19	1.9605343206816e-15	-1.51201789781139	-2.39902756392426	-1.95552273086782	-8.64196698159243	0.2262779760492	-2.78114695990769	"MALRD1"
"ENSG00000134369"	81.1787567115798	2.35644309291181e-18	5.24779876791459e-15	-1.97191724531189	-3.47180194641869	-2.72185959586529	-7.11354249421184	0.38262364824153	-1.40465164725367	"TNFRSF21"
"ENSG00000165246"	74.0645089158015	7.56054964831121e-18	1.40311200556576e-14	3.13285922630596	2.08619265927697	2.60952594279146	9.77307774167692	0.267006777303313	2.35819727751427	"SERPING1"
"ENSG00000158623"	67.4280786145496	2.2812809095209e-15	3.19449035551221e-12	3.8395229169406	2.5141598326243	3.17684137478245	9.39590781251058	0.338102827631709	1.71431852847027	"LACTB"
"ENSG00000198739"	67.4160011839519	2.29509859399171e-15	3.19449035551221e-12	-2.36894648106176	-4.20560473537761	-3.28727560821968	-7.01593972011689	0.468535268958126	-2.5074516640996	"CALHM2"
"ENSG00000144285"	62.3681950213913	2.86364071117733e-14	3.54295992432885e-11	-2.57612482190362	-4.57368546523212	-3.57490514356787	-7.0152416678223	0.509581796767475	-1.41012561343075	"P2RY1"
"ENSG00000204956"	55.783271454071	7.70577834536191e-13	8.58038418756049e-10	-1.19867232585623	-2.32616714666616	-1.76241973626119	-6.12735268483652	0.287626229798454	-3.50365247325159	"HEATR3"
"ENSG00000225470"	54.5929924553545	1.39727636507582e-12	1.41442475682902e-09	-0.915239350850201	-1.79203177244648	-1.35363556164834	-6.05177892435073	0.223671536121499	-3.89429321815232	"MACROD1"
"ENSG00000150275"	52.3377368821421	4.31523884324996e-12	4.00418204329902e-09	-0.209349697731792	-0.826765729871802	-0.518057713801797	-3.28910947597301	0.157504089831635	-0.469160626871739	"FBXL18"
"ENSG00000139865"	45.2881432093291	1.70075667793937e-11	1.45676350837345e-08	1.85371452828914	1.05416563596715	1.45394008212814	7.12819497097813	0.203966554163773	1.9148108820319	"XRCC2"
"ENSG00000153253"	44.9807806188246	1.7082349091289e-10	1.35865683665359e-07	-1.75091061742818	-3.47799499842169	-2.61445280792493	-5.93396987339409	0.440582750253446	-1.2270566894064	"WNT10B"
"ENSG00000204970"	40.4466156160595	2.02062153812976e-10	1.49997472180499e-07	-0.611162108237461	-1.60405776539193	-1.1076099368147	-4.37281716247401	0.253289708457773	-5.02735242112663	"GTF3C6"
"ENSG00000175928"	43.5116444667563	3.56095474804921e-10	2.4782019449705e-07	-1.01267417696396	-2.1161645700184	-1.56441937349118	-5.55728558772902	0.281502651289397	-2.8023763084224	"ATAD1"
"ENSG00000115935"	42.8137312482439	5.04796557568311e-10	3.30641745207244e-07	-0.803390018554416	-1.73733567028221	-1.27036284441831	-5.33192786486349	0.238251441767294	-3.08351262752459	"INPP5B"
"ENSG00000272325"	37.6204348985452	8.59394222576353e-10	5.31630814910427e-07	0	0	0	0	0	-7.0696575168138	"SACS"
"ENSG00000178852"	34.8503899325092	3.56038248136626e-09	2.08657152263228e-06	1.77845808982331	0.927555526648368	1.35300680823584	6.23301592860411	0.21706698040177	1.68528796126327	"SRSF3"
"ENSG00000021645"	38.5027860555469	4.35738806057844e-09	2.42597580272705e-06	-1.49153550681905	-3.02661058071741	-2.25907304376823	-5.76871044226748	0.391600784157746	-0.576425988174812	"EIF4E"
"ENSG00000158987"	38.3565258528947	4.68798527137884e-09	2.48574838080016e-06	-0.536977850330509	-1.32390241521456	-0.930440132772534	-4.63482583053825	0.200746062470421	-4.38915688013752	"ZFYVE1"
"ENSG00000100014"	36.6975846700954	1.07453542878775e-08	5.3160102485158e-06	-0.837203880645873	-1.9928375683076	-1.41502072447674	-4.79977295048185	0.294804512158605	-4.25013373396715	"JUN"
"ENSG00000259024"	32.6594309384792	1.09805330683308e-08	5.3160102485158e-06	0	0	0	0	0	-6.41740303848783	"ANXA4"
"ENSG00000152578"	34.6168616948044	3.04119307269575e-08	1.4109868693528e-05	3.52114332323313	1.75680300696059	2.63897316509686	5.86314591584559	0.450086815375647	0.210373155891172	"TTF1"
"ENSG00000133401"	34.0456024039613	4.04661019586162e-08	1.80236018123677e-05	2.9836828981553	1.13058713234233	2.05713501524881	4.35154039592238	0.472728511686982	0.507060138373885	"MALSU1"
"ENSG00000146963"	33.8323366676034	4.50195798602897e-08	1.9018161423751e-05	-0.688957991812423	-1.71995649885801	-1.20445724533522	-4.579430145908	0.263009823225915	-2.78338114865282	"METTL5"
"ENSG00000162959"	33.784255769249	4.61149850418749e-08	1.9018161423751e-05	-0.561267978147813	-1.43851002309865	-0.999889000623229	-4.46797196062146	0.223786235956845	-3.95442288901174	"GALNS"
"ENSG00000183878"	28.5859907356585	8.96282933972988e-08	3.56432516778187e-05	1.46860215878708	0.714833595554025	1.09171787717055	5.67741300155874	0.192287898783943	2.27881486056183	"UCKL1"
"ENSG00000038427"	31.7607277096577	1.26836896573599e-07	4.87009945981735e-05	-0.207703617635031	-1.59659953036544	-0.902151574000237	-2.54617293841773	0.354310181818983	-0.412313990670011	"ZNF568"
"ENSG00000239704"	27.8269056263266	1.32668244399599e-07	4.92420300463178e-05	0	0	0	0	0	-6.23305246590696	"PHF5A"
"ENSG00000134480"	31.3216513243013	1.57975534293873e-07	5.67437927213638e-05	-0.852580119937001	-2.08856286169068	-1.47057149081384	-4.6639278386638	0.315301719835123	-1.91563169119936	"TMEM14A"
"ENSG00000147586"	31.0806204547376	1.78208748861949e-07	6.20110755805564e-05	-0.470566403804285	-1.31552956875956	-0.893047986281922	-4.14300164119282	0.215551827794712	-5.31012357501869	"ETNK2"
"ENSG00000144455"	30.9671822894315	1.88608736537445e-07	6.36411600407409e-05	3.12096755493062	1.56795589466788	2.34446172479925	5.91761241890712	0.396176443944577	0.77975499999668	"OXTR"
"ENSG00000154080"	30.1575606165052	2.82728063323998e-07	9.0372770831244e-05	-0.612237092415034	-1.55501588754594	-1.08362648998049	-4.50555083339651	0.240504794676252	-2.62977385096023	"SNPH"
"ENSG00000184220"	30.1481361235186	2.84063491611454e-07	9.0372770831244e-05	-0.692692998096192	-1.81660380045307	-1.25464839927463	-4.37590896124917	0.286711939376755	-2.17072460474177	"CDK16"
"ENSG00000145216"	29.5723305254815	3.78834931854706e-07	0.000114990686299751	-0.616343257408007	-1.53508390059245	-1.07571357900023	-4.58967367594267	0.234372613057255	-2.36683810157175	"CASQ2"
"ENSG00000239642"	25.7827028723394	3.82097475805188e-07	0.000114990686299751	0	0	0	0	0	-5.56560444599611	"IRF8"
"ENSG00000184672"	28.2127081266726	7.47632669360038e-07	0.000219076046666422	2.40750720071508	1.08025631075948	1.74388175573728	5.15041347556509	0.338584410702959	-0.0775260611922555	"STK32C"
"ENSG00000131503"	28.1601544961504	7.67538459935651e-07	0.000219142070548294	-0.495990579581315	-1.31851339981082	-0.907251989696067	-4.32372496172311	0.209827250058547	-3.75010476733119	"BARX2"
"ENSG00000170921"	26.6464585457452	1.636044249345e-06	0.000455433817911414	-0.845603478238202	-2.41728450679088	-1.63144399251454	-4.06898271345465	0.400939037896091	-0.434382330211853	"LIMK2"
"ENSG00000159110"	22.5700612445519	2.0261760935103e-06	0.000550279775639931	-0.250744582989748	-0.950807055186058	-0.600775819087903	-3.36398254430256	0.178587365356201	-5.31547261690527	"DKC1"
"ENSG00000255245"	25.6970434892671	2.63001306361339e-06	0.000697266558650835	-0.256863758877754	-0.792979699396373	-0.524921729137064	-3.83807906482275	0.136764270540464	-5.492729212812	"MTHFD1L"
"ENSG00000053254"	25.5555008033027	2.8228871021359e-06	0.000730996462378681	-0.841202916601062	-2.24704916757483	-1.54412604208794	-4.30549418613377	0.358634247697389	-1.11238011296546	"BBOF1"
"ENSG00000072201"	25.4964098553031	2.90753496261288e-06	0.000735804586561236	-0.436876789694986	-1.33845811758121	-0.887667453638099	-3.85943272241016	0.22999523670567	-3.05634977504183	"CREBZF"
"ENSG00000176390"	25.303931594713	3.20126089091481e-06	0.000792134222674142	1.92000059055739	0.866395927357581	1.39319825895749	5.18338330543764	0.268776699795871	1.31440193950807	"C19orf53"
"ENSG00000240303"	21.141737255199	4.26536335262572e-06	0.00103249610720625	0	0	0	0	0	-5.63195215199273	"OSBPL7"
"ENSG00000164830"	23.9387498091205	6.33529040071774e-06	0.00150092465131898	-0.950528456374036	-2.54858468300039	-1.74955656968721	-4.29154845539003	0.407667404751622	-0.859725037817888	"ING1"
"ENSG00000092871"	20.2665080082232	6.73696395804848e-06	0.00156283528485145	-0.187281024970588	-0.786056171371693	-0.48666859817114	-3.18601375008664	0.152748761837016	-4.35704999396416	"DCTN5"
"ENSG00000270617"	19.6828460737464	9.14183205476701e-06	0.00207743469244552	0	0	0	0	0	-5.50802978919378	"OR2L3"
"ENSG00000169118"	22.971676473909	1.02745742192695e-05	0.00228814767863132	-0.333432890945878	-1.15185343975801	-0.742643165351944	-3.55698267734662	0.208780752247993	-1.98821281497673	"BABAM1"
"ENSG00000151914"	22.8715733504068	1.08019198558322e-05	0.00235841916852336	2.24844704966962	0.900263966851796	1.57435550826071	4.5775386657484	0.343924255820874	0.429125347854209	"WNT5B"
"ENSG00000110693"	22.2631017986487	1.46429597767126e-05	0.00313556455987875	-0.53988230346443	-1.96661549320673	-1.25324889833558	-3.44328248906287	0.363962548403647	-0.361254096952295	"ZDHHC13"
"ENSG00000197442"	22.0060349763676	1.66513795654947e-05	0.00349836059361856	2.22027257132525	0.954874024411558	1.5875732978684	4.91795489133241	0.322805751763696	0.473406018297597	"SNRPF"
"ENSG00000106415"	20.6498538870751	3.28050876429355e-05	0.00669981910590894	2.21007935642944	0.856821014591175	1.53345018551031	4.44188229662606	0.34521896475466	0.335124460698087	"ACO1"
"ENSG00000074416"	20.6323802930535	3.30929547215978e-05	0.00669981910590894	1.69686228678815	0.700783577406457	1.1988229320973	4.71779940404498	0.254101711576963	0.961044283611701	"TTYH2"
"ENSG00000168702"	20.5440667356918	3.4586975830594e-05	0.00687724956917257	0.724212295897236	0.266005091284611	0.495108693590923	4.23561741544974	0.116889593013425	0.137491655536873	"SMAD6"
"ENSG00000048540"	20.4534624682476	3.61898728381472e-05	0.00706972340443455	-0.387777971905459	-1.21602399699114	-0.8019009844483	-3.79524199593543	0.211287251297368	-1.07336710444569	"ARRB1"
"ENSG00000251562"	20.3824205145209	3.74984763207353e-05	0.00719906092812737	0.388296541449157	0.160823990724737	0.274560266086947	4.73136852250878	0.0580287119194948	0.497307557754603	"PPA2"
"ENSG00000148498"	20.2136924081469	4.07992767236233e-05	0.00769999909012789	2.04728831782923	0.781600653332425	1.41444448558083	4.3806388062917	0.322879506249184	0.58484187282793	"CNTNAP3B"
"ENSG00000064989"	20.0615573342449	4.40238657747435e-05	0.00814052179001608	-0.54662798257938	-1.59782521317382	-1.0722265978766	-3.99834674966877	0.268162558825113	-1.72133779091802	"CASS4"
"ENSG00000101542"	20.0357514291454	4.45955841213274e-05	0.00814052179001608	2.84235118241257	1.09830407793134	1.97032763017195	4.42851707727225	0.444909975632968	0.468879052592704	"SBF1"
"ENSG00000243147"	19.5085385057285	5.80463195699796e-05	0.0104249317485762	-0.464064237760687	-1.55407387667058	-1.00906905721563	-3.62884682750943	0.27806368339538	-2.53063027398033	"JTB"
"ENSG00000086570"	16.0565041369907	6.14800838054736e-05	0.0108663608440309	1.02861150806514	0.348267540994287	0.688439524529716	3.96657202509328	0.173557134456851	1.375311012716	"EXOC8"
"ENSG00000033122"	19.2942940069897	6.46096354002948e-05	0.0112410670340982	0.121455406462831	-1.53095229893657	-0.704748446236868	-1.67184111798965	0.42153257790801	-0.0940727930809886	"PREPL"
"ENSG00000173210"	19.1684153471153	6.88068211334668e-05	0.0117779534595186	-0.337342888452326	-1.13974981114425	-0.738546349798289	-3.60795552875339	0.204695643543859	-2.46361914963142	"FBXL3"
"ENSG00000137449"	19.1313056901611	7.0095437959361e-05	0.0117779534595186	-0.311998533564784	-1.09395447862596	-0.702976506095372	-3.5240057771207	0.199478557413566	-1.53902000038191	"EMC2"
"ENSG00000077943"	19.1093636124876	7.08686916737983e-05	0.0117779534595186	1.84991871653041	0.742440242388869	1.29617947945964	4.58783652514782	0.282520018913658	0.36589549803161	"NMUR2"
"ENSG00000111640"	19.0202817075777	7.40966042136281e-05	0.0121333189399816	-0.223989394607097	-0.810005387835525	-0.516997391221311	-3.45825465039809	0.149493875823579	-4.4532954471913	"TEX14"
"ENSG00000099715"	15.6274432468413	7.71270807241974e-05	0.0124465223748397	0.538981144030768	0.195610458432883	0.367295801231825	4.19305766206381	0.0875945626525219	3.03524499639933	"DKK2"
"ENSG00000169946"	18.7663856595855	8.41261727280584e-05	0.013382070476099	2.00713121799355	0.758430000670636	1.38278060933209	4.34083054491072	0.318546228908907	0.569193562591179	"ARHGEF28"
"ENSG00000122729"	18.5243331061454	9.49493892487425e-05	0.0145236131992518	1.08262274831632	0.410926532689487	0.746774640502906	4.35807546894585	0.17135107541501	1.16268667474405	"ELAC2"
"ENSG00000136235"	18.5187371923223	9.52154255541428e-05	0.0145236131992518	-0.471664891031522	-1.56652282153043	-1.01909385628098	-3.64866929221872	0.279300492474211	-1.41399125501505	"ZNF45"
"ENSG00000256087"	18.5485813602201	9.38051611907737e-05	0.0145236131992518	-0.297375468987336	-1.09580687413699	-0.696591171562161	-3.41993964517089	0.203681480905523	-1.71430850984271	"PCDHGC4"
