"gene_id"	"lambda"	"p.value"	"p.adjusted"	"ci.hi"	"ci.lo"	"logFC"	"z"	"SE"	"logFC.CPM"	"SYMBOL"
"ENSG00000157445"	1068.60831128565	9.00852205928183e-233	1.89404176296401e-228	-11.4168765633903	-12.6607319611858	-12.0388042622881	-37.9394949169041	0.31731005045802	1.52224362082845	"NUDT12"
"ENSG00000133083"	1027.66302599261	7.01147318931528e-224	7.37081119026769e-220	14.0623675547446	12.7425066520416	13.4024371033931	39.8046399797423	0.336699209873195	0.39105903676399	"GPR132"
"ENSG00000179915"	859.800472256415	1.98015725185024e-187	1.38776020733838e-183	-8.44708753229451	-9.25309710337833	-8.85009231783642	-43.0413305874008	0.205614686500975	1.75482140141879	"PAK5"
"ENSG00000026508"	855.389152095038	1.79723837271347e-186	9.44673419657516e-183	14.284468169615	12.7192459758942	13.5018570727546	33.813925835154	0.399291375949189	0.565950765728114	"COG1"
"ENSG00000179399"	853.569907462988	4.46323377695212e-186	1.87678980320836e-182	-7.19857360326946	-8.67940586776425	-7.93898973551685	-21.0153902346999	0.377763332779283	0.691701526806219	"PROS1"
"ENSG00000041982"	806.628920892479	6.96234206067539e-176	2.439720697095e-172	11.1178035177775	9.28349479533136	10.2006491565544	21.7988441325341	0.467935898583199	0.231015493231534	"ATRIP"
"ENSG00000134508"	778.929425783012	7.20483924405323e-170	2.16402493008885e-166	-2.13429795853133	-2.70839501015422	-2.42134648434278	-16.5329255392933	0.146453329495635	0	"LOC105375342"
"ENSG00000124440"	710.88221130188	4.3041676022189e-155	1.13118904795816e-151	-8.17412368799164	-10.129273404623	-9.15169854630734	-18.3484665092905	0.498762682814129	0	"LINC01467"
"ENSG00000079482"	568.847554510838	2.99449102585766e-124	6.99546375762859e-121	-6.61519493646696	-8.19059784954584	-7.4028963930064	-18.4199358667143	0.40188849823441	-0.188321598097174	"UBE3B"
"ENSG00000175161"	521.712851248518	5.14628439229943e-114	1.08200629348095e-110	-4.50872485709533	-6.15381903024607	-5.3312719436707	-12.7033469231381	0.419666880905801	-0.833757827200803	"BNIP1"
"ENSG00000251372"	519.21130198953	1.79762170017104e-113	3.43590874964511e-110	-2.02452913492661	-2.63960988107685	-2.33206950800173	-14.8623486387298	0.156908353609754	0	"EEF1E1"
"ENSG00000154188"	512.444185720266	5.29857308572199e-112	9.28354159394207e-109	9.82689146920329	7.78642137691171	8.8066564230575	16.918385109998	0.52052808476826	-0.252668471920811	"CILP2"
"ENSG00000147408"	491.841763333232	1.57731381600286e-107	2.55100176780463e-104	-6.5288912638398	-7.97329455294966	-7.25109290839473	-19.6785496906003	0.36847022681374	0.0565419872471506	"MIDEAS"
"ENSG00000163288"	490.039821559469	3.88333441789001e-107	5.83193615258125e-104	-10.3230041239592	-12.913026162609	-11.6180151432841	-17.5835501882823	0.660719907818821	0.121480350905043	"TAS2R9"
"ENSG00000131095"	476.060508849485	4.21477094282668e-104	5.90770393819539e-101	3.39680473630095	2.74209886440738	3.06945180035416	18.3777639371891	0.167016804054482	-0.156733202381324	"STK4-DT"
"ENSG00000121207"	466.154035115801	5.96949257208929e-102	7.84428633301109e-99	2.99244990076033	2.03528529027322	2.51386759551677	10.2951778516084	0.244174645532427	0.194156648268936	"ALKBH7"
"ENSG00000182902"	464.826393831572	1.15939402526664e-101	1.43389761066065e-98	-5.888954514993	-6.96888110625753	-6.42891781062527	-23.335747948644	0.275491477363399	0.388573207150615	"LINC02074"
"ENSG00000234377"	439.318371338642	4.01077006125257e-96	4.68480225210196e-93	-6.8252360190389	-8.55500333551196	-7.69011967727543	-17.4270347933208	0.441267172569659	-0.0996290060694335	"SS18L1"
"ENSG00000120885"	421.108919138165	3.60877718977671e-92	3.99339686395028e-89	9.43006463841112	7.68016450613459	8.55511457227286	19.1641981573596	0.446403094968502	-0.679587194892654	"MED19"
"ENSG00000135298"	418.403976124948	1.39550366457388e-91	1.46702322738329e-88	-3.80381615891586	-5.31653301453953	-4.5601745867277	-11.8168551106892	0.385897157046855	0.747229939332849	"BTG4"
"ENSG00000080493"	414.274701821152	1.09999700699617e-90	1.10130652724259e-87	-6.54160072900236	-7.99277899425168	-7.26718986162702	-19.6301594899597	0.370198537053398	-0.496473840955836	"SLC66A2"
"ENSG00000164199"	411.686451563353	4.01257262422411e-90	3.83474270110509e-87	-2.97463915809875	-4.39436547693143	-3.68450231751509	-10.1730759618819	0.362175081334869	-0.253356061657478	"APOC1"
"ENSG00000129521"	409.71588960306	1.07479341921434e-89	9.82501375607896e-87	-2.4617132553864	-3.23389746628838	-2.84780536083739	-14.4566435402805	0.19698576808724	-0.696070784244783	"KLHDC8B"
"ENSG00000148053"	408.846632237237	1.65989966513441e-89	1.45414126914379e-86	-1.5359150823695	-2.09643185336608	-1.81617346786779	-12.7012598762001	0.142988972193006	-0.446831075901197	"PDCL2"
