"gene_id"	"lambda"	"p.value"	"p.adjusted"	"ci.hi"	"ci.lo"	"logFC"	"z"	"SE"	"logFC.CPM"	"SYMBOL"
"ENSG00000026508"	1033.84097374115	3.19363272162964e-225	6.71461279722631e-221	-4.53426716523851	-5.21562627123717	-4.87494671823784	-28.0460623779107	0.173816098469045	-1.76441443895277	"COG1"
"ENSG00000251562"	729.868331392099	3.24418476322821e-159	3.41044923234366e-155	0.693705752516267	0.595581111833073	0.64464343217467	25.752510299873	0.0250317960926515	-0.397646105221205	"SLC3A2"
"ENSG00000131095"	666.055783855092	2.33251376844102e-145	1.63470339938242e-141	-2.52376005058091	-3.10962601744576	-2.81669303401334	-18.8460064738477	0.149455603792053	-0.151488174803938	"STK4-DT"
"ENSG00000134769"	615.318242692056	2.42851780672728e-134	1.27648967216103e-130	-1.10887006618064	-1.40346250009922	-1.25616628313993	-16.7148941389871	0.0751511311016782	-0.509028714701673	"LOC105374780"
"ENSG00000135063"	471.624057562272	3.87379945698829e-103	1.62893267166357e-99	-2.33819557616219	-2.97513844541761	-2.6566670107899	-16.3498860302834	0.162485425830463	-1.04664234718093	"RNF149"
"ENSG00000112851"	397.355670081241	5.19173558056134e-87	1.81927067635504e-83	-2.41717823731635	-3.27888830555994	-2.84803327143814	-12.955732663466	0.219823997000917	-0.388683562170889	"ISLR"
"ENSG00000160111"	383.187974378517	6.19139622246664e-84	1.85963007967659e-80	-2.43201452815245	-3.1893708105078	-2.81069266933013	-14.5475954497015	0.193203133253916	-1.85855677776432	"NACA2"
"ENSG00000109472"	363.286139672433	1.29842567364025e-79	3.41242497353579e-76	4.27339181856638	3.42866970235605	3.85103076046122	17.8706853982276	0.21549033576794	0.495070710171571	"CST11"
"ENSG00000081913"	305.941419809798	3.67844947729599e-67	8.59326669557201e-64	2.77768071245009	2.22305793469211	2.5003693235711	17.6719529697592	0.141485402489281	0.841491021313121	"LINC02154"
"ENSG00000245532"	302.033644102653	2.59553869918155e-66	5.45712011502922e-63	-0.503490894491152	-0.80442912978137	-0.653960012136261	-8.51827997117329	0.0767699579821984	-0.328647113472652	"POLR2G"
"ENSG00000121207"	298.293593877897	1.68410473095412e-65	3.21893654257367e-62	-1.85686014640242	-2.50454741961476	-2.18070378300859	-13.1980387832814	0.165226345207228	-1.7414855801897	"ALKBH7"
"ENSG00000157445"	294.671664821108	1.03005638253138e-64	1.80474462022685e-61	3.28052690107398	2.65003064346024	2.96527877226711	18.4357623937721	0.16084088204432	0.417177791907881	"NUDT12"
"ENSG00000041982"	283.770554500494	2.398871732561e-62	3.87971370593039e-59	-1.97648188072016	-2.60194944049637	-2.28921566060827	-14.3469638912773	0.159558050963317	-1.20046974851513	"ATRIP"
"ENSG00000169306"	283.462397436454	2.79848177637999e-62	4.20271995345638e-59	2.76020702133245	2.27847712129152	2.51934207131198	20.5003663841024	0.122890280622686	0.874629671708117	"SSRP1"
"ENSG00000130449"	282.915768349481	3.67808262612418e-62	5.15544581428405e-59	2.25207196360796	1.73228506702888	1.99217851531842	15.0238421418324	0.13259869810691	0.489882132847063	"MYO5C"
"ENSG00000146555"	278.970754549368	2.64405413900084e-61	3.47445239203079e-58	-1.21754114322222	-1.64433452872239	-1.4309378359723	-13.1425964783154	0.108875863648001	-0.987534157327075	"PDPK1"
"ENSG00000117519"	272.399434657591	7.06666212871907e-60	8.7397983091952e-57	-1.95779782354127	-2.59153509307703	-2.27466645830915	-14.0697558734178	0.161667670799937	-1.03476624563951	"ISOC1"
"ENSG00000169902"	269.202543345527	3.49470446900182e-59	4.0820089700424e-56	-1.06843739368268	-1.41040489352539	-1.23942114360404	-14.2073197263404	0.0872366071027336	-1.56749950604254	"HMCN1"
"ENSG00000166833"	261.817183291456	1.40320464782269e-57	1.5527567221301e-54	-1.20803209735498	-1.64403206666169	-1.42603208200833	-12.8209711848344	0.111224481965997	-0.763890626363737	"NETO1"
"ENSG00000121005"	260.932217635469	2.18418220789514e-57	2.29612154604977e-54	-0.943281417435472	-1.30206193967381	-1.12267167855464	-12.2659727607427	0.0915256434281464	-1.82145283368524	"NBL1"
"ENSG00000148053"	247.922787206706	1.4596569149208e-54	1.46139460172428e-51	1.80871000093878	1.19783093483687	1.50327046788783	9.64628234810483	0.155836496454569	0.571121125963482	"PDCL2"
"ENSG00000136267"	245.540215227235	4.80418497602517e-54	4.59127223276951e-51	-2.10984050338508	-2.81226051754527	-2.46105051046518	-13.7341484223302	0.179188779122497	-0.701681926280208	"ADCYAP1"
"ENSG00000133083"	240.563124403525	5.78603772697254e-53	5.28919318302599e-50	-1.78935142236912	-2.48823938767352	-2.13879540502132	-11.9960914259433	0.178287746251122	-0.378409667500098	"GPR132"
"ENSG00000071242"	239.60055264656	9.36269901666992e-53	8.20211445106187e-50	2.05814733810082	1.39035162375937	1.7242494809301	10.1212595720759	0.170356049576902	0.687680646785739	"CYP11A1"
"ENSG00000249307"	234.473428207635	1.21546368639173e-51	1.02220496025545e-48	-1.46914143947957	-2.20213020871463	-1.8356358240971	-9.81674005105537	0.186986930927312	0.0409269129469455	"ACADS"
"ENSG00000069535"	230.161564245172	1.04966653405731e-50	8.48816879944424e-48	-1.7069575807337	-2.36278163865911	-2.0348696096964	-12.1626253262385	0.167302055593216	-0.749978057082832	"SLC22A8"
"ENSG00000183098"	227.161201891493	4.70513141680664e-50	3.66390326067998e-47	-1.87621757866199	-2.52219244012247	-2.19920500939223	-13.3452952125213	0.164789505474613	-0.808220648887856	"NUTM1"
"ENSG00000018408"	219.563993433016	2.10031586895483e-48	1.57711218374198e-45	-1.59522207435834	-2.19605182471706	-1.8956369495377	-12.3674972706961	0.153272895499674	-1.1997133347996	"IVNS1ABP"
"ENSG00000020577"	218.373477452376	3.80892020239836e-48	2.76146714673881e-45	-1.61051028706754	-2.19542541793962	-1.90296785250358	-12.753126933419	0.149213043589817	-0.916599029537804	"ZNF197"
"ENSG00000147408"	211.61150006891	1.11981584006221e-46	7.84804267910266e-44	2.13051228066224	1.58888662279703	1.85969945172964	13.4592735574062	0.138169810679901	0.698750036648999	"MIDEAS"
"ENSG00000135821"	206.728464387656	1.28672083144979e-45	8.72687273588126e-43	-1.16863627201095	-1.68952946451134	-1.42908286826114	-10.7544156577279	0.132880916454182	-1.07400020468019	"EIF2AK1"
"ENSG00000251372"	206.522666690882	1.4261747203712e-45	9.37041359243888e-43	1.77797244349163	1.41490252514695	1.59643748431929	17.2361289919096	0.0926198771287462	1.32559906625882	"EEF1E1"
"ENSG00000106278"	202.550115458449	1.03944442378411e-44	6.62252091213968e-42	-1.05382784063401	-1.48167724234432	-1.26775254148916	-11.6150650798866	0.109145255538344	-0.579911442211591	"IQGAP2"
"ENSG00000120885"	201.787469530183	1.52197575048192e-44	9.41162945702424e-42	-1.76077160685022	-2.55079412366886	-2.15578286525954	-10.6965477171766	0.201536356331286	-0.43901083767147	"MED19"
"ENSG00000130226"	199.771000451812	4.17136727529322e-44	2.50579991322971e-41	-1.66351095177469	-2.27878761778798	-1.97114928478133	-12.5581931502661	0.156958333166655	-0.577276539009445	"PSKH2"
"ENSG00000004799"	196.61402397952	2.02212109794249e-43	1.18097489122891e-40	2.0579465039477	1.61719523102446	1.83757086748608	16.3428806248278	0.112436549215113	1.41947808790652	"TMEM177"
"ENSG00000117525"	195.054368530929	4.41044121531846e-43	2.50620342032623e-40	-0.692434019979019	-0.999165865752518	-0.845799942865768	-10.8090336819286	0.0782479198401782	-1.48226740961298	"FGFR2"
"ENSG00000060138"	193.082832201707	1.18194076663289e-42	6.53955384696222e-40	-1.1266670013803	-1.6205048527125	-1.3735859270464	-10.903088693665	0.125979043707196	-1.61971827958832	"DIRAS1"
"ENSG00000150625"	189.563281373135	6.86841398905424e-42	3.70277959281706e-39	1.0151301873992	0.59307565593656	0.804102921667882	7.46828975332053	0.107666972311899	0.580896228148292	"MAX"
"ENSG00000174485"	182.734146181994	2.08825884190068e-40	1.09764105377404e-37	-1.31196412813624	-1.8638312545483	-1.58789769134227	-11.2788826774268	0.140782430207157	-0.779632099571332	"ZNF100"
"ENSG00000143603"	181.512956333358	3.84558429262283e-40	1.97203438420475e-37	2.39874763483505	1.74541743734769	2.07208253609137	12.432326438767	0.16666586670596	0.628707112228759	"ACTL6B"
"ENSG00000163947"	180.145703165137	7.61829153986312e-40	3.81368046727672e-37	-1.06206801324651	-1.51628928586318	-1.28917864955484	-11.125607165906	0.115872773626701	-1.38567224605021	"DAP"
"ENSG00000176204"	177.963021643462	2.26892875279252e-39	1.10940062854564e-36	-0.97809488688732	-1.42655544551668	-1.202325166202	-10.5093479375948	0.114403203731981	-0.318132111793707	"SGCG"
"ENSG00000080493"	175.997190298527	6.06311368482968e-39	2.89720375508054e-36	2.1947169752896	1.65681120045228	1.92576408787094	14.0337896765997	0.137220860927888	0.460197683122524	"SLC66A2"
"ENSG00000185352"	174.924308451362	1.03673806494925e-38	4.84387062567957e-36	-1.23814537675317	-1.78675895772556	-1.51245216723936	-10.8067021267485	0.139952444125609	-1.16849862168094	"TAFA3"
"ENSG00000164199"	172.970828263369	2.75335289094722e-38	1.25846183765577e-35	2.48321966749989	1.61792134484988	2.05057050617489	9.2893843306071	0.220739368022964	0.565162101113514	"APOC1"
"ENSG00000155849"	171.097905440088	7.02363446226872e-38	3.14195562913191e-35	0.98526286125592	0.779155884219999	0.88220937273796	16.7786517686756	0.0525783104683472	0.447793280584406	"FBN3"
"ENSG00000145087"	169.598234352939	1.48665891661407e-37	6.51187577537724e-35	-1.37610214425866	-1.94921641712894	-1.6626592806938	-11.3720856833686	0.146202620630172	-0.218072693340907	"MPV17"
"ENSG00000154188"	169.073825911864	1.93234730639157e-37	8.2913473707924e-35	-1.5824431537447	-2.28947217488101	-1.93595766431286	-10.7333848660109	0.180364546208243	0.119238223905369	"CILP2"
"ENSG00000184384"	168.821093670202	2.19262971304604e-37	9.22000794335859e-35	1.71466743650411	1.14115734212536	1.42791238931473	9.75974750424231	0.146303595504785	0.442659014346165	"ARL13B"
"ENSG00000162407"	167.844220584626	3.57347370195575e-37	1.47318205065921e-34	1.17729396324792	0.89399444244944	1.03564420284868	14.3298889645843	0.0722702859179806	0.677945813287565	"ATG5"
"ENSG00000079482"	165.092798832698	1.41434132983302e-36	5.71856278071907e-34	1.96025369952199	1.37839090763718	1.66932230357958	11.2459900830131	0.148434385684899	0.746671238937261	"UBE3B"
"ENSG00000128016"	164.883593648177	1.57029974841962e-36	6.22934947368348e-34	-0.776662110790969	-1.16779370475591	-0.97222790777344	-9.74368582544865	0.0997784678481995	-0.547267474788818	"LOC102724020"
"ENSG00000123066"	164.758034544404	1.67204273840641e-36	6.51012936573978e-34	-1.57686253197667	-2.43486836103905	-2.00586544650786	-9.16409632621019	0.218879038026118	-0.336348963975417	"COA4"
"ENSG00000115380"	164.586015701701	1.82221992520507e-36	6.96584980498847e-34	1.73410783765012	1.3107076037259	1.52240772068801	14.094769266794	0.108010263756177	0.753115017909627	"ASIP"
"ENSG00000236383"	163.134578264883	3.76509922446542e-36	1.4135930570426e-33	1.35131671905265	1.05063195604289	1.20097433754777	15.6567058762071	0.0767052966861649	1.2884513307756	"WDR46"
"ENSG00000139132"	160.840240797264	1.1857290958669e-35	4.37367618256169e-33	2.35267029643578	1.77647168170224	2.06457098906901	14.0454512684756	0.146989442534065	0.475898135716839	"MIEF2"
"ENSG00000147488"	160.551479284228	1.36990118935114e-35	4.96589181139789e-33	1.62129299423694	1.2681660419246	1.44472951808077	16.0373928090071	0.0900834062021262	0.949161506231228	"SNX22"
"ENSG00000167772"	157.866793221847	5.24398467687995e-35	1.86872504798985e-32	1.53317443539028	1.1574168749221	1.34529565515619	14.0342141320011	0.0958565205275951	0.881942763940425	"MAPK10-AS1"
"ENSG00000056998"	154.423372057827	2.93353192692212e-34	1.02795847939229e-31	-0.758621897109879	-1.10602123316675	-0.932321565138312	-10.5199780196586	0.0886222796063434	-1.00473614676906	"ZNF462"
"ENSG00000247809"	150.282272873101	2.32605019133392e-33	8.01724676603208e-31	1.1788103652324	0.909236857968094	1.04402361160025	15.1813781592392	0.0687687518531392	0.16002703618047	"OR2T6"
"ENSG00000069667"	150.013772796745	2.66025416885806e-33	9.0212651452001e-31	0.97829327764039	0.564865016720525	0.771579147180457	7.31574245229911	0.105466393091802	0.442367969189656	"SPINK14"
"ENSG00000182902"	147.716218697948	8.39132739754532e-33	2.80043902433953e-30	1.71465806421486	1.23723650486119	1.47594728453802	12.1184452779655	0.121791214120834	0.758141638594253	"LINC02074"
"ENSG00000185070"	147.660262584202	8.62941552376108e-33	2.83489783417307e-30	2.06220964187789	1.54431587312947	1.80326275750368	13.6488611087593	0.132115757333782	0.80450541273643	"ZNF70"
"ENSG00000056487"	143.672299112964	6.33806438210442e-32	2.05012005590378e-29	1.55996599241843	1.17012145464159	1.36504372353001	13.7256586982001	0.0994501371879709	0.726367458795464	"MLLT6"
"ENSG00000188580"	143.077455878625	8.53346110968804e-32	2.71842454289683e-29	1.52149859610554	1.12518918204933	1.32334388907743	13.0892997731566	0.101099340320463	0.844118242698058	"LEF1"
"ENSG00000080298"	143.040793156357	8.6913336554218e-32	2.7273923896305e-29	-0.986628920377369	-1.74018095690287	-1.36340493864012	-7.09234252328437	0.192232662378955	0.060111394750478	"CYB561A3"
