"gene_id"	"lambda"	"p.value"	"p.adjusted"	"ci.hi"	"ci.lo"	"logFC"	"z"	"SE"	"logFC.CPM"	"SYMBOL"
"ENSG00000163638"	1747.95205550037	0	0	-4.10242247859151	-4.6190963187417	-4.36075939866661	-33.0844362631038	0.131804551058723	-1.35896739688018	"GOLPH3"
"ENSG00000142089"	1028.46830751686	4.68753600454841e-224	4.92777222478152e-220	-2.39721369433938	-2.76916462786234	-2.58318916110086	-27.2237935958797	0.094885442225245	-0.380199527032379	"HDX"
"ENSG00000105835"	916.689384299818	8.77868346091849e-200	6.15239399219371e-196	-2.88685935377254	-3.34709122797954	-3.11697529087604	-26.5481799640436	0.117406090358929	-0.304906808355071	"FIP1L1"
"ENSG00000034510"	905.868678135594	1.96388421009367e-197	1.03226663793049e-193	-2.30278673376418	-2.66488232433135	-2.48383452904777	-26.8891770422573	0.092371324124277	-0.606218977001463	"DGKH"
"ENSG00000251562"	904.794056837034	3.3609877410004e-197	1.41329534509067e-193	0.660653638752981	0.576799866343178	0.61872675254808	28.9237351264087	0.0213912684718887	-0.828408604196757	"SLC3A2"
"ENSG00000205364"	891.775067920931	2.256859128198e-194	7.90841052839383e-191	-1.93397635634243	-2.2025978688664	-2.06828711260442	-30.182007481856	0.0685258960520335	-1.08815593493482	"PCDHGA1"
"ENSG00000103257"	848.58177522898	5.40516290005856e-185	1.62347928533902e-181	4.78719796801226	4.12497975162815	4.45608885982021	26.3773283823163	0.168933218465335	0.00979145783414534	"GTF2H4"
"ENSG00000184226"	838.022783557084	1.06087617445992e-182	2.78811519600248e-179	1.65623448103572	1.43637741896106	1.54630594999839	27.569766851953	0.0560859852231268	0.529953265818606	"PCDH9"
"ENSG00000125148"	776.405238590029	2.54533283389833e-169	5.94618031474582e-166	-2.05989819336117	-2.63451343908367	-2.34720581622242	-16.0122408806415	0.146585521867986	-0.510504408700362	"FBXO47"
"ENSG00000173597"	745.995791315246	1.02110911829339e-162	1.95171083746532e-159	-1.62932394904299	-1.88999424209623	-1.75965909556961	-26.4615381521855	0.0664975237380697	-1.46893493332279	"ZC3H7A"
"ENSG00000169306"	746.031502978738	1.00303818161339e-162	1.95171083746532e-159	3.49210433491035	2.97399719261723	3.23305076376379	24.4608210924133	0.13217018936049	0.85373477696793	"SSRP1"
"ENSG00000108342"	714.097935914901	8.62190923923517e-156	1.51063034795766e-152	-2.2001025951419	-2.55676385913589	-2.37843322713889	-26.1404527793302	0.0909850163249982	-2.39855864457396	"LEMD1-AS1"
"ENSG00000187193"	638.90204071086	1.8373192331385e-139	2.97151052897977e-136	-2.03088420114171	-2.38312505015476	-2.20700462564824	-24.5607492265814	0.0898573594421053	-1.15359576498736	"MS4A13"
"ENSG00000205362"	635.043687537197	1.26478110107772e-138	1.89943018929708e-135	-1.62330014961319	-1.92680602327556	-1.77505308644438	-22.9256856092863	0.077424967771013	-2.33878552876758	"BLACE"
"ENSG00000073849"	633.206121838011	3.16984253822945e-138	4.44306262441828e-135	3.67888028991414	3.07995776512686	3.3794190275205	22.1181849353957	0.152786358364101	0.50462278644127	"RAB32"
"ENSG00000146674"	573.382032535001	3.1022273601189e-125	4.07652064040624e-122	-1.6114272967063	-1.91097529186463	-1.76120129428547	-23.0473323949326	0.0764153048873289	-1.14925867634851	"DMRTB1"
"ENSG00000151276"	556.022497911807	1.82494034052392e-121	2.25702180350091e-118	1.8401017212877	1.50823424759511	1.6741679844414	19.7748150312231	0.0846600698195389	0.451961404636296	"FAM172A"
"ENSG00000158321"	544.200066380814	6.73685282447192e-119	7.86901836858456e-116	3.02505271591649	2.47682257865993	2.75093764728821	19.6696180891529	0.139854626851164	0.619675326137575	"CGN"
"ENSG00000027697"	536.277277545258	3.53890411673419e-117	3.91607679233349e-114	-1.76435729150509	-2.1004714554838	-1.93241437349444	-22.5367626905274	0.0857434091782434	-0.662773905971196	"GAS2L3"
"ENSG00000163739"	535.852062605103	4.3772670906886e-117	4.60160202908639e-114	-1.54074007575744	-1.85471813277056	-1.697729104264	-21.1956716435366	0.0800964431155925	-1.32725210868308	"NPY"
"ENSG00000154654"	533.952708071855	1.13146895805165e-116	1.13281594490647e-113	3.45100823354601	2.81201304660766	3.13151064007683	19.2103108042556	0.163008976259783	0.94702971718908	"TRBV17"
"ENSG00000187514"	532.591697620672	2.23451002752458e-116	2.1354806058502e-113	-3.00669296691446	-3.58850258179491	-3.29759777435469	-22.2174838914021	0.148420820122564	-0.122427179068697	"PFN1"
"ENSG00000206190"	530.093811183571	7.79096863486026e-116	7.12196154556248e-113	2.80762177827642	2.26932978605708	2.53847578216675	18.4855847034288	0.137319385770238	-0.387164269423784	"MSANTD1"
"ENSG00000049192"	525.014225259645	9.87664683014533e-115	8.65235415015856e-112	-1.83761759163066	-2.21960055103587	-2.02860907133326	-20.8176863424246	0.0974446325013305	-0.688036213924658	"IVD"
"ENSG00000131378"	523.407646041376	2.20533093300534e-114	1.85468331465749e-111	-1.48996192758619	-1.7530778664803	-1.62151989703324	-24.1575680421189	0.0671214129831918	-0.433729273873329	"KIAA1549L"
"ENSG00000144810"	507.245272960166	7.12998294384591e-111	5.76568813055232e-108	-1.67702294576672	-1.99752875315137	-1.83727584945905	-22.470697326762	0.0817616855573085	-0.557872492651187	"RBP2"
"ENSG00000128016"	493.650365175105	6.3853573549512e-108	4.97230142177218e-105	-1.80101211979383	-2.14632442058249	-1.97366827018816	-22.4047548735641	0.0880898726501703	0.290830924657529	"LOC102724020"
"ENSG00000196104"	470.33264359217	7.38863332624357e-103	5.54807198872396e-100	2.70181887200137	2.21947384195327	2.46064635697732	19.9972133552796	0.123047201542881	0.630662777713176	"NRSN2"
"ENSG00000185201"	466.61502122254	4.74062448122292e-102	3.43695274888662e-99	-1.2718156874978	-1.5318509809211	-1.40183333420945	-21.1320764286068	0.066335534036557	-0.0923212329291321	"NLGN4Y"
"ENSG00000172554"	461.011068754749	7.81121104354013e-101	5.47435707301437e-98	-1.71687930329485	-2.07904407474185	-1.89796168901835	-20.5427852060268	0.0923889723079087	-0.757653991073336	"LGALS1"
"ENSG00000128849"	439.359092466941	3.92993424409232e-96	2.66538282200132e-93	2.43419690280433	1.97488700168386	2.20454195224409	18.8144118742729	0.117170893142977	-0.0352479157310666	"AMZ2"
