"gene_id"	"lambda"	"p.value"	"p.adjusted"	"ci.hi"	"ci.lo"	"logFC"	"z"	"SE"	"logFC.CPM"	"SYMBOL"
"ENSG00000102265"	144.794701984076	3.6160128051518e-32	7.60266692283165e-28	-1.34937594034098	-3.70999210202112	-2.52968402118105	-4.20067409032094	0.602198000428607	-3.9715352511894	"TMEM25"
"ENSG00000096060"	116.750643488636	4.44549255356239e-26	4.67332404693247e-22	-2.02081603776734	-3.39942742833443	-2.71012173305088	-7.70592935303403	0.351686579226299	-0.857700340469132	"SCN7A"
"ENSG00000160801"	78.3131777303333	9.87437293705742e-18	6.92028970005441e-14	-1.2513661819401	-3.19825058083618	-2.22480838138814	-4.47951023953566	0.496654183391857	-0.114032443025417	"FGFR1OP2"
"ENSG00000018625"	72.9901059352351	1.41383874647274e-16	7.43148991114736e-13	4.21732605543603	2.30663744526614	3.26198175035109	6.69221213219726	0.487420563818851	0.1362845493243	"DCT"
"ENSG00000115112"	63.4142302391063	1.67503580643631e-15	7.04352556606467e-12	-0.525763179850173	-2.15919752216977	-1.34248035100997	-3.2216944014973	0.416692434265204	-3.12907870141128	"ERICH1"
"ENSG00000245532"	65.5680917585019	5.78188940334108e-15	2.0260704117541e-11	-0.680744485591174	-1.9875628995366	-1.33415369256389	-4.00192277574616	0.333372044373833	-0.703920657184588	"POLR2G"
"ENSG00000152208"	64.9182067772908	8.00185193100341e-15	2.4034133835621e-11	4.38554107498327	3.23923925061424	3.81239016279875	13.0369633114966	0.292423934788018	1.23718748037648	"NMI"
"ENSG00000251562"	63.5667052408936	1.57277044903134e-14	4.1334373363605e-11	0.745365918828954	0.402268039841245	0.573816979335099	6.55591702596709	0.0875249691295176	-0.0796895987313259	"SLC3A2"
"ENSG00000114770"	61.8369952482288	3.73479778965109e-14	8.72490261415712e-11	-0.853034186623802	-3.31361986019873	-2.08332702341126	-3.31892197679316	0.627700426932379	-0.477098272782401	"POLR1G"
"ENSG00000156804"	61.5194168078993	4.37752238129148e-14	9.20374080666535e-11	0.376723656853369	-1.32537862337797	-0.474327483262299	-1.09237240895451	0.434209765365137	-0.482310212883125	"CFAP157"
"ENSG00000163694"	61.2873865970518	4.9160138222724e-14	9.32880692291291e-11	-1.08392359477833	-3.36372035540133	-2.22382197508983	-3.82368380768619	0.581580806281377	-2.30894165268013	"COIL"
"ENSG00000112297"	61.1277794533256	5.32440823186468e-14	9.32880692291291e-11	-1.01314944626543	-3.30836706105729	-2.16075825366136	-3.6902891727397	0.585514697650987	-3.55117397209068	"RPS24"
"ENSG00000162105"	59.0441136157922	1.50915425973653e-13	2.44076679315081e-10	-1.29255867827681	-4.08533031132669	-2.68894449480175	-3.7741964318674	0.71244174312497	-1.97531517990384	"CRYGA"
"ENSG00000111199"	53.1192628566967	3.13899050867989e-13	4.7140911032139e-10	-0.60395364957559	-3.17876501055684	-1.89135933006622	-2.87943126625079	0.656839632903381	-2.15644860842493	"DDN"
"ENSG00000159212"	56.502307944733	5.3787297296024e-13	7.5391861709927e-10	-1.1216009027268	-3.23069961117729	-2.17615025695205	-4.0445486135707	0.538035384808799	-1.70428928913368	"PCAT5"
"ENSG00000171310"	56.2764235201607	6.02184956498836e-13	7.91308669399252e-10	-1.05367610428589	-3.23257605244818	-2.14312607836703	-3.85556934954325	0.555841823510788	-1.0853176551028	"BBS12"
"ENSG00000147246"	49.4845826517531	1.99936806967986e-12	2.47274786264818e-09	-0.465743261534706	-2.11165480451499	-1.28869903302485	-3.06918522129904	0.41987539361742	-1.63738923810778	"PANK1"
"ENSG00000168675"	52.2395338608362	4.53241171620644e-12	5.29410868518002e-09	-1.29795486949003	-4.08903519371497	-2.6934950316025	-3.78287447241022	0.712010286792075	-0.704115384157703	"LINC01783"
"ENSG00000154162"	47.4238937319438	5.71814255440571e-12	6.32757616875685e-09	-0.416243561615775	-2.16258796118664	-1.28941576140121	-2.89428414471473	0.44549602029869	-2.5150713885258	"ADGRE2"
"ENSG00000074410"	46.828623985282	7.74735375081782e-12	8.14440563054724e-09	-0.284520142815569	-2.01362092583129	-1.14907053432343	-2.60498044427713	0.441097138524419	-2.5687805872424	"ZNG1C"
"ENSG00000140090"	46.6110978286775	8.65685936315925e-12	8.6671651481154e-09	-0.379902129515644	-2.01105057366812	-1.19547635159188	-2.87293360930969	0.416109296977673	-1.9646446808411	"RILPL1"
"ENSG00000164741"	50.0651206665475	1.34430303567841e-11	1.28472596932448e-08	2.92191396478936	1.29710328350862	2.10950862414899	5.08928329440774	0.414492520734881	-0.10682652413757	"SAXO1"
"ENSG00000083067"	48.891647822953	2.41720547726714e-11	2.20964109389311e-08	-0.976434622684615	-3.61251149437792	-2.29447305853127	-3.41195251664266	0.672468589717679	-1.53131642910271	"S100A12"
"ENSG00000112394"	44.3610924789659	2.73060402944779e-11	2.39212290496415e-08	-0.265935900962217	-1.85247812044362	-1.05920701070292	-2.61702155499983	0.404730158030971	-2.8626852616381	"TMOD3"
"ENSG00000113494"	46.2618635407646	9.00251742895877e-11	7.57111715775433e-08	-0.606323542238388	-2.21520941610756	-1.41076647917297	-3.43722514403809	0.410430069864584	-1.40986694856571	"RNF6"
"ENSG00000163638"	45.3430009125623	1.42525461315656e-10	1.15253762467757e-07	-0.896334719544036	-2.48732039612765	-1.69182755783584	-4.16838583805609	0.405863693006023	-3.25953906571273	"GOLPH3"
