"gene_id"	"lambda"	"p.value"	"p.adjusted"	"ci.hi"	"ci.lo"	"logFC"	"z"	"SE"	"logFC.CPM"	"SYMBOL"
"ENSG00000251562"	180.609290052881	6.04214265546136e-40	1.27036049331075e-35	0.965047736845765	0.660314381908929	0.812681059377347	10.4538973597269	0.0777381007491926	-0.732121752493639	"SLC3A2"
"ENSG00000118985"	114.339498952128	1.48420288266505e-25	1.56026828040163e-21	-3.50214715494397	-5.37059695429537	-4.43637205461967	-9.30731931047106	0.476645356977397	-1.66112081384487	"DDA1"
"ENSG00000241684"	91.2894119542525	1.50229792032011e-20	1.05286045915768e-16	-2.65951776741283	-3.96435853525016	-3.3119381513315	-9.94953507835696	0.332867542815647	-0.668549783408058	"NPR3"
"ENSG00000187479"	85.8841271837973	2.24129354578359e-19	1.1780799200025e-15	-2.77646280875116	-4.26246286048882	-3.51946283461999	-9.28401098333234	0.379081645851443	-0.736054739476302	"KIF7"
"ENSG00000018625"	78.5536104829389	8.75588838590211e-18	3.68185106627184e-14	4.06368109226232	2.43700943153273	3.25034526189753	7.8326312610404	0.414967260390202	0.858706925699947	"DCT"
"ENSG00000060138"	76.8257141431736	2.07734265935868e-17	7.27935490216939e-14	-3.32213687907294	-5.01973086198479	-4.17093387052886	-9.63113706860881	0.43305968951833	-1.50385057444031	"DIRAS1"
"ENSG00000145012"	73.8088881139879	9.38865949182288e-17	2.81995094022252e-13	-0.495421711677707	-1.62988007073349	-1.0626508912056	-3.67180947326415	0.289402642616271	-0.130945507011942	"RXYLT1"
"ENSG00000160801"	69.8680445955279	6.73514399771486e-16	1.77008003189944e-12	3.90589503657503	2.1684634978778	3.03717926722642	6.85237011735041	0.443222331300314	0.797596351521469	"FGFR1OP2"
"ENSG00000125148"	65.8143603402907	5.11202815538932e-15	1.19422657741178e-11	-2.030388722424	-3.4369189185672	-2.7336538204956	-7.6185538697474	0.358808723505919	-1.11436802479229	"FBXO47"
"ENSG00000107796"	62.6588673511251	2.4762804761973e-14	5.20637970120481e-11	-2.02137196426561	-3.22753267073015	-2.62445231749788	-8.52926478846414	0.307694057771567	-0.23307504358762	"SLC2A14"
"ENSG00000149591"	62.0056599615787	3.432748736431e-14	6.56123110758743e-11	-2.39593065721294	-3.9565199676001	-3.17622531240652	-7.97812361992515	0.398109517955908	-0.277052694758424	"IFFO2"
"ENSG00000134871"	58.3434136989117	2.14234143510851e-13	3.75356072276304e-10	-1.94401223945272	-3.44354865324628	-2.6937804463495	-7.04179319493353	0.382534799437132	-1.15873508124559	"DMRTC1B"
"ENSG00000185565"	56.7561925744094	4.73750166432834e-13	7.1147123208931e-10	3.50409830495093	2.01987376771468	2.7619860363328	7.29457440057557	0.378628708478634	0.941194166869126	"MOB1A"
"ENSG00000069667"	56.8278881660754	4.57068061955114e-13	7.1147123208931e-10	4.70238128797146	2.83266455667838	3.76752292232492	7.89874649469398	0.476968553901295	0.116173185544119	"SPINK14"
"ENSG00000154556"	55.1000673446829	1.08435728084354e-12	1.51990745531569e-09	-1.78700647785094	-3.73584331652903	-2.76142489718999	-5.55438324757427	0.497152254764819	-0.0788993283392209	"FFAR1"
"ENSG00000163110"	54.2831885539108	1.63138090798239e-12	2.14373647439561e-09	-1.80349461838953	-3.10669761191117	-2.45509611515035	-7.38472822453503	0.332449743245316	0.0639744197521706	"SLC36A1"
"ENSG00000164741"	52.5690181996965	3.84399432999746e-12	4.75411651695274e-09	2.45748916246094	1.44009287881052	1.94879102063573	7.50850042450813	0.259539868278168	0.310890836730237	"SAXO1"
"ENSG00000187193"	47.2915630095129	6.1174964572246e-12	7.14557572295262e-09	-0.949545203236033	-1.74732371374329	-1.34843445848966	-6.62560582754246	0.20351492614981	-1.80442780374064	"MS4A13"
"ENSG00000105835"	51.1922646847297	7.65140104007749e-12	8.45892194608486e-09	-1.39808949077284	-2.3591204141798	-1.87860495247632	-7.66260056435869	0.245160949848714	-1.39744835393141	"FIP1L1"
"ENSG00000102265"	51.0915586245521	8.04653692849927e-12	8.45892194608486e-09	3.28462651382801	1.7055596711596	2.49509309249381	6.19390195173573	0.402823174150105	1.17164948574089	"TMEM25"
"ENSG00000198467"	50.6539476314365	1.00146327676246e-11	1.00265549494908e-08	-1.35017968681965	-2.49281337930605	-1.92149653306285	-6.59190084448972	0.291488186858776	0.02435417061068	"MAPKAPK2"
"ENSG00000157103"	50.4138875240455	1.12918062706279e-11	1.07913739472706e-08	3.48559924142267	1.94821165691641	2.71690544916954	6.92738367792018	0.392190710333231	1.02389386088986	"B3GAT1"
"ENSG00000172159"	50.2330753718006	1.23602222100613e-11	1.1298855302893e-08	4.25249017248125	2.43577921551351	3.34413469399738	7.2156591939376	0.463446672695852	-0.427780953171598	"NAXE"
"ENSG00000184226"	49.9947401141435	1.39245164355265e-11	1.2198456585706e-08	1.68638565701723	0.956377723357777	1.3213816901875	7.09543116775585	0.186226513688637	0.93927644256326	"PCDH9"
"ENSG00000101333"	49.8564779990984	1.49211865095037e-11	1.25487178544926e-08	4.14337953024297	2.15090016818817	3.14713984921557	6.19156301063226	0.508285551544592	0.735338116313992	"ZNF503-AS2"
"ENSG00000075426"	49.0573250544276	2.22503689103393e-11	1.79928463976878e-08	-1.85977897810289	-3.29702178054132	-2.57840037932211	-7.03231475241599	0.36664357205062	-0.590933012304677	"ZFYVE21"
"ENSG00000117868"	48.8868689561182	2.42298813469745e-11	1.88678983451904e-08	-1.79523725324598	-3.19485605727181	-2.49504665525889	-6.98790494953122	0.357045613271897	-0.307883342607134	"PLIN2"
"ENSG00000157617"	47.6216875641194	4.56122962086534e-11	3.42499474209621e-08	3.39770202254412	1.20327754754789	2.300489785046	4.10939376302772	0.559802161988837	0.458096418763446	"LINC01988"
"ENSG00000042062"	45.5776481171549	1.26747517610323e-10	9.18919502674842e-08	3.35758816582582	1.79066387950352	2.57412602266467	6.43961465161992	0.399725583245485	0.939941980744877	"LINC02044"
"ENSG00000076706"	45.4024710223234	1.38349847612249e-10	9.69601848682513e-08	-1.39482711955425	-2.45488527620344	-1.92485619787885	-7.11781480968264	0.270422999145202	0.294848891732131	"CNGB3"
"ENSG00000169306"	45.2448542245277	1.49694118737729e-10	9.83537139518987e-08	3.83187038945812	2.07956778848355	2.95571908897084	6.61198923014607	0.447015969636368	1.25468261179177	"SSRP1"
"ENSG00000026025"	45.2513995583122	1.49205020515684e-10	9.83537139518987e-08	-1.57529296567595	-2.79631454234452	-2.18580375401024	-7.01723330200473	0.311485096088921	-0.430795157156185	"KRT9"
"ENSG00000069849"	44.8689371370274	1.80648390383372e-10	1.150949214488e-07	-1.56489334550793	-2.87715044509274	-2.22102189530034	-6.63455800702599	0.334759464179798	-1.4466334253607	"CHD5"
