"gene_id"	"lambda"	"p.value"	"p.adjusted"	"ci.hi"	"ci.lo"	"logFC"	"z"	"SE"	"logFC.CPM"	"SYMBOL"
"ENSG00000251562"	130.626052990297	4.31432638245838e-29	9.07087121911874e-25	1.32690339589053	0.922216711371391	1.12456005363096	10.8928575507153	0.103236399112025	0.144222956255976	"SLC3A2"
"ENSG00000245532"	121.559835556989	4.01436722542622e-27	4.22010354572931e-23	-2.17603260300361	-3.44942694443793	-2.81272977372077	-8.65851036926495	0.324845495263858	-0.819610358970329	"POLR2G"
"ENSG00000122862"	100.544866109718	1.46879008581875e-22	1.02937705181131e-18	-5.13262766939386	-7.83651094859651	-6.48456930899519	-9.40094004696259	0.689766142653737	-3.1737428532898	"TTC36"
"ENSG00000151726"	96.8499800681507	9.31738501737762e-22	4.89745049975911e-18	-3.58055960771851	-5.6406770893591	-4.6106183485388	-8.77294231045424	0.525540173887906	-2.44326356869591	"PCID2"
"ENSG00000096060"	82.7804954919939	1.05789800785483e-18	4.44846112302958e-15	-2.0484122492592	-3.31375555323175	-2.68108390124547	-8.30577420289606	0.322791659176673	-0.739764772520311	"SCN7A"
"ENSG00000048740"	80.5343810574523	3.25223074890674e-18	1.13963585826274e-14	-1.70879301155494	-2.86385244433902	-2.28632272794698	-7.75909892880657	0.294658018567368	-0.782873722676438	"MORN4"
"ENSG00000141298"	75.9188168734163	3.26917658453953e-17	9.81920538427765e-14	-1.50859255098414	-2.46629405168656	-1.98744330133535	-8.1347210776545	0.244311607322046	-0.714566504352565	"LINC01266"
"ENSG00000107968"	69.6930532344787	7.35098906373024e-16	1.9319318133116e-12	-1.71412264760019	-3.37798516800211	-2.54605390780115	-5.99830082209232	0.424454724592326	-3.20525703967746	"ATF7IP"
"ENSG00000018280"	55.7970107234694	7.65302387250021e-13	1.78783141021463e-09	-1.14436064194503	-2.62573340836047	-1.88504702515275	-4.98810881666721	0.377901215922305	-2.54707047655992	"ATE1"
"ENSG00000156113"	55.0985658852496	1.08517164572342e-12	2.28157338513348e-09	4.2757052151137	2.78487782254858	3.53029151883114	9.28242164900253	0.380313110348245	1.9032292457603	"DMXL1"
"ENSG00000197329"	48.7998731672201	2.53070884484218e-11	4.83710486025517e-08	-1.50416201756553	-3.69559160451028	-2.59987681103791	-4.65053948731196	0.559038159934885	-1.09615850414194	"LIPG"
"ENSG00000187672"	44.5575803431884	2.11078677756145e-10	3.69827433318579e-07	-0.850722351700692	-2.58345628828519	-1.71708931999294	-3.88453547814543	0.442023963414413	-2.57434650032681	"TENT4A"
"ENSG00000117115"	43.8446662391859	3.01475272034862e-10	4.87578276502536e-07	-1.18730381059626	-3.14063615789108	-2.16396998424367	-4.34263348847635	0.498299068187453	-1.44510964258591	"VTA1"
"ENSG00000180611"	43.282783775563	3.99266545682811e-10	5.02236880962778e-07	-1.28355394169766	-3.15071205241604	-2.21713299705685	-4.65466828783437	0.476315844571014	-3.06641061660316	"MFSD1"
"ENSG00000215114"	43.4985489786654	3.5843474694969e-10	5.02236880962778e-07	-1.58805586136177	-4.19957866883397	-2.89381726509787	-4.34365543444895	0.666204797824543	-1.78130981291264	"SLC30A2"
"ENSG00000229140"	43.4389657877168	3.69273743781567e-10	5.02236880962778e-07	-1.33665447843047	-3.34864487242678	-2.34264967542862	-4.56414603761074	0.513262855611302	-0.991507420938323	"IL6R"
"ENSG00000129657"	43.248896189819	4.06089273548976e-10	5.02236880962778e-07	-1.93343627050117	-4.75588847974427	-3.34466237512272	-4.64519312264613	0.720013318684465	-2.4918086371756	"RPS18"
"ENSG00000132405"	42.5483542662521	5.7642427771677e-10	6.73295579944172e-07	-1.453355681148	-4.63080575747201	-3.04208071931	-3.75292672091903	0.810573999062248	-1.94526664884083	"C10orf95"
"ENSG00000170776"	42.4101785761936	6.17656098612888e-10	6.83485235438735e-07	-1.25910037418697	-3.31896227324036	-2.28903132371367	-4.35603858299876	0.525474974248314	-0.709547246080134	"MYO1C"
"ENSG00000153814"	41.5375270179438	9.55521826999809e-10	1.00449232063355e-06	-1.58224474121846	-4.02890724356268	-2.80557599239057	-4.49496233804797	0.624148597536791	-0.771498686496541	"ZIM3"
"ENSG00000128573"	40.6686079190349	1.47544830237815e-09	1.47720478845241e-06	-1.4487664814172	-3.07216107512515	-2.26046377827118	-5.45822637446318	0.414131273905089	-0.462265959743556	"PDGFC"
"ENSG00000095794"	38.7836975661693	3.78640512774275e-09	3.61859853685415e-06	-1.43703078740552	-3.74190677142674	-2.58946877941613	-4.40393807036153	0.587978567352351	-2.76162667983296	"RASGRP4"
"ENSG00000124126"	38.3310463800817	4.74809102078325e-09	4.34037450921599e-06	-0.88231973364602	-3.47493727120171	-2.17862850242386	-3.29399407246854	0.661382024886656	-0.563860813123231	"TUSC7"
"ENSG00000100647"	37.6692613441544	6.61034049651673e-09	5.79093370580268e-06	-1.78795556150012	-4.12480513816286	-2.95638034983149	-4.95915446859583	0.596135096087433	-1.16341126320153	"PLCD1"
"ENSG00000028137"	37.4684675734215	7.3084561190823e-09	6.14641159614821e-06	-1.03910251333956	-2.77354507572258	-1.90632379453107	-4.30838825244132	0.442459837342609	-2.13299024409535	"ST7L"
"ENSG00000100644"	36.949926469656	9.47164503375919e-09	7.65928218595334e-06	-1.97307863128182	-4.84970506031718	-3.4113918457995	-4.64864334654867	0.733833272713102	-2.00514524419681	"SPIN4"
"ENSG00000068724"	36.0535393003022	1.48276871548436e-08	1.15463749048365e-05	-1.51619823042948	-3.92745461888633	-2.72182642465791	-4.42481503836512	0.615116425626747	-1.42103426854178	"PROKR2"
"ENSG00000106617"	35.9420169390824	1.56779829366809e-08	1.17724854015613e-05	-0.832181958735934	-2.65421447695434	-1.74319821784514	-3.75032354332693	0.464804213831226	-1.38416105364401	"MRPS28"
"ENSG00000196935"	34.8967063636151	2.6440915901572e-08	1.91696640286397e-05	-2.05024705648301	-4.50718039248967	-3.27871372448634	-5.23104206486535	0.626768708164966	-0.989819450966857	"ALOX12B"
"ENSG00000146090"	34.7513978612793	2.8433468121222e-08	1.99271222416231e-05	-2.09683705770671	-4.86766039147239	-3.48224872458955	-4.92639281778419	0.706842687185122	-1.3950692723642	"BHLHE40"
"ENSG00000204634"	34.4158070890701	3.36281089259198e-08	2.28074512957246e-05	-1.10443956483966	-2.94395808499836	-2.02419882491901	-4.3134730647314	0.469264928611913	-2.00802713963589	"RBL2"
"ENSG00000109381"	34.202781774434	3.74076395546986e-08	2.4577988176173e-05	-1.15971103325606	-3.22794964656599	-2.19383033991103	-4.15796168463909	0.527611891150491	-1.36444721164983	"OPN5"
"ENSG00000172578"	33.9756686050134	4.19061055895418e-08	2.66992687884884e-05	-1.00232284830828	-3.01929987472476	-2.01081136151652	-3.90794520379683	0.514534955718489	-2.00274516779191	"MTARC2"
"ENSG00000197872"	33.8801558165978	4.3955947035813e-08	2.71815819537638e-05	-1.29901989467741	-3.44547640567049	-2.37224815017395	-4.33227592818226	0.547565436477828	-1.45309859892024	"ZMAT5"
"ENSG00000198879"	33.5836435417023	5.09805438140705e-08	3.06247409625952e-05	4.042153689102	1.84906548937444	2.94560958923822	5.26498542843824	0.559461275440704	1.0910508024643	"KCNG3"
"ENSG00000137393"	32.7423702050728	7.76398428652773e-08	4.53438248956238e-05	-1.63538335252369	-4.12227336015318	-2.87882835633843	-4.53771568407588	0.634410716232013	-1.70594927601581	"TCN1"
"ENSG00000090376"	32.6748027890535	8.03076145248001e-08	4.56342593347006e-05	-1.65754303640653	-4.12106837541551	-2.88930570591102	-4.59742389026106	0.628450341583924	-1.06319546212786	"LACC1"
"ENSG00000150593"	31.7597218208169	1.26900704527613e-07	7.02128240182385e-05	-0.455088254715191	-1.37588405340045	-0.91548615405782	-3.89732423379951	0.234896887419709	-1.76463470882159	"LINGO2"
"ENSG00000105339"	31.5358724791822	1.41929378212296e-07	7.65144917157315e-05	-1.91059641163037	-4.94211320086396	-3.42635480624716	-4.43047654715312	0.773346119702445	-1.25768775835476	"PTGER1"
"ENSG00000147408"	30.9774997625382	1.87638259124886e-07	9.86273599525183e-05	-1.01148767678139	-2.77729968928596	-1.89439368303368	-4.20536655656779	0.450462248087901	-0.549094903199916	"MIDEAS"
"ENSG00000163162"	30.7233740858851	2.13061060577142e-07	0.000106860878712743	-0.79347008493239	-3.96205937153731	-2.37776472823485	-2.94158239488554	0.808313593521663	-1.41785966771015	"PYCARD"
"ENSG00000145675"	30.719561269997	2.13467629295371e-07	0.000106860878712743	-0.211501172279895	-2.08525884992372	-1.14838001110181	-2.40242747413905	0.477999407562199	-0.909978268111856	"PSMA1"
