"gene_id"	"lambda"	"p.value"	"p.adjusted"	"ci.hi"	"ci.lo"	"logFC"	"z"	"SE"	"logFC.CPM"	"SYMBOL"
"ENSG00000186417"	79.2022299250216	6.33073733111981e-18	1.33103752386794e-13	3.7557207809499	2.82456255589383	3.29014166842187	13.8506195845569	0.23754036353471	1.42008641333964	"SULF2"
"ENSG00000100644"	75.6422258674354	3.75404395590626e-17	3.94643870864645e-13	-2.3681588677012	-5.00577119478618	-3.68696503124369	-5.47943956683171	0.672860287521677	-0.935581907251565	"SPIN4"
"ENSG00000182601"	66.5424673260059	3.55211333468292e-15	2.48943942872361e-11	5.35125490784799	3.07820880800115	4.21473185792457	7.26841628648216	0.579858698940519	0.464294274334801	"CLPSL1"
"ENSG00000184226"	63.4424262052969	1.67360201565112e-14	8.7968705947662e-11	1.87602366792762	1.37898688114324	1.62750527453543	12.8354753915719	0.126795098669484	1.35022525721495	"PCDH9"
"ENSG00000076641"	52.7078784200867	3.58615969065389e-12	1.50798014991996e-08	-1.13983446178587	-2.96238522487297	-2.05110984332942	-4.41151105657203	0.464936419154871	-0.825618760245838	"SLC5A11"
"ENSG00000120594"	51.9429219339506	5.25699803974892e-12	1.84213972976202e-08	1.60839672210947	0.574011145376384	1.09120393374293	4.13524793468082	0.263873871615584	0.384138748759268	"OR1L6"
"ENSG00000248874"	50.4331313460214	1.11836785476763e-11	3.35909773521276e-08	-0.67324033817434	-2.21872010109489	-1.44598021963461	-3.66755905944121	0.394255041561365	-2.02132812572343	"OR7A10"
"ENSG00000169398"	49.186648303178	2.08571531123214e-11	5.48152055233198e-08	-1.67529022890208	-3.80194757851966	-2.73861890371087	-5.0479165528185	0.542514630004487	-1.23073863591112	"TONSL"
"ENSG00000132405"	47.9818832243102	3.80948652905459e-11	8.89938380815254e-08	-3.32864016637398	-6.11180450344334	-4.72022233490866	-6.64816349665088	0.709990902313612	-0.501796805641099	"C10orf95"
"ENSG00000137642"	47.5987462235507	4.61385120739373e-11	9.70062216354533e-08	2.57951364446059	1.26532275186202	1.92241819816131	5.73412957408381	0.335252778724126	0.324700121649768	"SEMA3E"
"ENSG00000105835"	46.9232787970067	6.46754520379927e-11	1.236183071908e-07	-0.815618961710713	-2.14532433062609	-1.4804716461684	-4.36438202695931	0.33921055329474	-2.20427707740635	"FIP1L1"
"ENSG00000169306"	45.0530516247352	1.64760895307131e-10	2.88674818652703e-07	3.27073714589624	2.39549389649839	2.83311552119731	12.6885968887126	0.223276339132105	2.27624122409688	"SSRP1"
"ENSG00000135821"	42.5808038207362	5.67147383490943e-10	9.17251825992082e-07	-0.850767467182487	-2.42330922069781	-1.63703834394015	-4.08070079953209	0.401158610590644	-1.59018527496363	"EIF2AK1"
"ENSG00000169122"	42.1317882276192	7.09902049536529e-10	1.06612075653611e-06	-1.21305490017177	-3.158111045649	-2.18558297291039	-4.40466864886034	0.496187792213579	-0.916329044648202	"EXTL1"
"ENSG00000171587"	41.0431661488719	1.22345981921896e-09	1.71488284660524e-06	4.79368106142655	3.01804919732347	3.90586512937501	8.62268259182522	0.452967312271194	0.762346499832175	"LINC00602"
"ENSG00000151474"	38.7356101723135	3.87854758886978e-09	5.09665394099919e-06	2.56117498112143	0.975703534233548	1.76843925767749	4.37229854968147	0.404457001757112	0.221246325866912	"SOSTDC1"
"ENSG00000048052"	38.5902303030821	4.17097860361972e-09	5.15851912594733e-06	5.01185422715763	2.59350866933841	3.80268144824802	6.16381613384128	0.616924887198779	0.780221430783897	"ASGR1"
"ENSG00000164733"	38.3770454358266	4.6401334148865e-09	5.41993361377715e-06	-0.352525362389355	-1.87703501072316	-1.11478018655626	-2.8664023461145	0.388905522534133	-0.26275403993345	"C2CD6"
"ENSG00000196628"	38.042955265872	5.48374468357337e-09	6.0681964195858e-06	-1.26467790614518	-4.42611931358327	-2.84539860986422	-3.52806082938827	0.806490154958696	-0.62030787560343	"MNX1-AS2"
"ENSG00000175354"	37.5795876841671	6.91347215950439e-09	7.26778760767899e-06	-0.986427264092938	-3.04670079728284	-2.01656403068789	-3.83676517607614	0.525579982956608	-0.650913439754567	"LOC101929297"
"ENSG00000249437"	37.0053885189545	9.21259507306394e-09	9.22356244815092e-06	-1.65076474810627	-3.78366567941502	-2.71721521376065	-4.99380339615432	0.544107380435905	-0.545710638073101	"SHBG"
"ENSG00000156113"	36.2259105417688	1.36032749113917e-08	1.30004025005459e-05	2.80049382421247	1.34904862364514	2.0747712239288	5.60334881877878	0.370266632797788	0.925052311648049	"DMXL1"
"ENSG00000090104"	33.4269874556979	5.51343045252551e-08	5.03999457671082e-05	-0.854702222741685	-2.42936975406442	-1.64203598840305	-4.08763289338312	0.401700900847638	-2.04070810827018	"NOP14"
"ENSG00000144674"	32.6761777066356	8.02524253215319e-08	6.99348376546351e-05	-0.816684991735414	-2.4831742844638	-1.64992963809961	-3.88097623166367	0.425124819573569	-0.85449519799696	"ELK3"
"ENSG00000167996"	32.6050766001674	8.31567629662724e-08	6.99348376546351e-05	-1.04253776302269	-2.85274913940365	-1.94764345121317	-4.21753069161991	0.461788616423714	-0.868964575404281	"ZNF528"
"ENSG00000248905"	32.2047548653659	1.01584239924968e-07	8.21464863239405e-05	-1.49494007855871	-3.48955942380909	-2.4922497511839	-4.89789669836595	0.508831465625097	-0.834532282001611	"JPT1"
"ENSG00000087086"	31.7690668784796	1.2630914045336e-07	9.83573954826624e-05	-0.76342764978129	-2.95910850639743	-1.86126807808936	-3.32290404376103	0.560122667504119	-0.928074518154473	"LOC105370890"
"ENSG00000118785"	31.223131140423	1.65952278271653e-07	0.000124612380380768	-0.485522389019111	-2.3816883140349	-1.433605351527	-2.9636803614783	0.483715797197904	-1.50832262171203	"SARDH"
"ENSG00000142583"	30.7278848816991	2.12581064601485e-07	0.000154121271836076	-1.45082769713861	-3.73231701022568	-2.59157235368215	-4.45269539279481	0.582012579869151	-0.9366000726691	"TAC1"
"ENSG00000197555"	30.4780002213013	2.40872013062835e-07	0.000168811135821537	-0.931702486340404	-2.27027100068859	-1.6009867435145	-4.68840604478503	0.341471559782701	-1.01421722681894	"RNF220"
"ENSG00000107099"	30.1616240707972	2.82154220186543e-07	0.000191364273529744	2.79288615397303	0.800263002085811	1.79657457802942	3.53425730815478	0.508322232624291	0.232059286827758	"CCNF"
"ENSG00000018280"	29.8703541612365	3.26388619687351e-07	0.000214447522778955	-1.01966712622994	-2.36997097192297	-1.69481904907646	-4.92005455971639	0.344465266758425	-0.485391396478915	"ATE1"
"ENSG00000128512"	29.1333952550133	4.71806153475679e-07	0.000300597708388671	1.94022228231171	0.528727507801653	1.23447489505668	3.42831780580952	0.360075197579096	0.234951555490359	"TIFA"
"ENSG00000110079"	29.0533024203765	4.91083722128221e-07	0.00030367750758076	-0.373426221891368	-1.47438740226212	-0.923906812076743	-3.28953301719836	0.28085744397213	-1.3015184996945	"RRM1"
"ENSG00000079215"	28.7509256566591	5.71236328099437e-07	0.000343149822808305	-0.550561319533295	-2.13398873324878	-1.34227502639104	-3.32293187080907	0.403935564723339	-0.351048161771154	"FGL2"
"ENSG00000198846"	27.3537626088982	1.1486981452484e-06	0.000670871625106876	-0.518912829008001	-2.1279234725374	-1.3234181507727	-3.22415755598909	0.410461898859541	-1.09349161118672	"MRPL17"
"ENSG00000163625"	27.1057323900764	1.30036417899679e-06	0.000738923158470476	-1.30365709993682	-3.66733194010678	-2.4854945200218	-4.12195422164251	0.602978275553563	-0.699320268068935	"NEUROD4"
