"gene_id"	"lambda"	"p.value"	"p.adjusted"	"ci.hi"	"ci.lo"	"logFC"	"z"	"SE"	"logFC.CPM"	"SYMBOL"
"ENSG00000152208"	1611.88883587263	0	0	8.92721289461195	7.71494807307835	8.32108048384515	26.9066919555804	0.309251229983061	0.637077352303558	"NMI"
"ENSG00000115252"	1263.0306028761	5.44991022092164e-275	5.72921811974388e-271	7.69466731877507	6.67563532301507	7.18515132089507	27.6392456194112	0.25995714177551	-0.231958067989486	"IQCE"
"ENSG00000154262"	429.110172416036	6.60556538213007e-94	4.62940040530949e-90	0.377451232836375	0.267743766887276	0.322597499861825	11.526644531653	0.0279865984564028	0.312976068918114	"LINC02603"
"ENSG00000172508"	361.460578175764	3.23469052460194e-79	1.70023420699389e-75	-1.35203615772666	-1.89010412189328	-1.62107013980997	-11.8098058313578	0.13726223575679	0	"LINC00917"
"ENSG00000033122"	353.223290460686	1.98855238679348e-77	8.3618627864666e-74	3.19997345773628	2.47372087892462	2.83684716833045	15.3118031984684	0.185268515002974	-0.24086324502718	"ELMO2"
"ENSG00000150656"	319.186295816524	4.89301462526875e-70	1.71459387493793e-66	2.40554212215551	1.81602818545881	2.11078515380716	14.0355049237533	0.150386208340995	-0.490098290253661	"TSPEAR-AS1"
"ENSG00000123560"	316.63198694423	1.75484045591334e-69	5.27078865508255e-66	2.41941107699519	1.88147297828855	2.15044202764187	15.6701632963084	0.137229106812918	0.222715907345808	"JMY"
"ENSG00000228696"	280.42029849786	1.28087241976855e-61	3.36629282820423e-58	-0.066669323396252	-0.0984563493952518	-0.0825628363957519	-10.1815241100088	0.00810893520382649	0.289999082422169	"SOX21-AS1"
"ENSG00000099622"	252.921820057209	1.19873889825108e-55	2.80038725952544e-52	-0.961324190954088	-1.39224908086696	-1.17678663591052	-10.7046934529079	0.109929818855324	-0.911221497485466	"BCKDHA"
"ENSG00000168314"	251.024081821262	3.09608745801493e-55	6.5095238804764e-52	-1.75763583330001	-2.71514528459487	-2.23639055894744	-9.1555126583342	0.244262615126241	-0.0241064051090991	"GSG1"
"ENSG00000021645"	248.984745571543	8.5832045024116e-55	1.64056249693822e-51	-4.01573501024332	-5.21890005434523	-4.61731753229427	-15.0432829026166	0.306929858189263	0.785738476862891	"FANCA"
"ENSG00000218336"	242.939579575558	1.76335834410785e-53	3.08955076540564e-50	0.309503423769255	0.207020537996693	0.258261980882974	9.87841388912415	0.0261435933093271	0.12351578400877	"BPIFB1"
"ENSG00000167996"	241.297540963437	4.00778791500975e-53	6.48182622408308e-50	1.31649181255818	0.960910901353459	1.13870135695582	12.5530565812366	0.0907094161236545	-0.213886402277459	"ZNF528"
"ENSG00000169862"	226.512882029878	6.5065778021257e-50	9.77148559212092e-47	-2.64703709356617	-4.05189186048398	-3.34946447702507	-9.34591944599134	0.35838131809128	0.137440751275518	"PLAAT1"
"ENSG00000135924"	223.159361868298	3.47984802744759e-49	4.87758698513904e-46	-0.598129200948733	-0.877707969825184	-0.737918585386959	-10.3462352072973	0.0713211145092987	-0.326650816010279	"LHPP"
"ENSG00000167615"	219.458297663129	2.21429846258474e-48	2.90972657349026e-45	-0.907154123595578	-1.35006956272959	-1.12861184316258	-9.98853672587707	0.112988632432146	0	"LINC01177"
"ENSG00000187323"	211.967412400483	9.37262466305135e-47	1.15917313847444e-43	0.991786763289064	0.680540330345789	0.836163546817427	10.5308865483198	0.0793996002406314	0.576744586677789	"GTF3C2-AS1"
"ENSG00000236383"	208.876915752516	4.39495108537734e-46	5.13354703166992e-43	-0.611291471829526	-0.920879266735966	-0.766085369282746	-9.69999307195565	0.0789764782924592	0.604753414467701	"WDR46"
"ENSG00000019144"	200.252720290431	3.27849326531513e-44	3.62791162648687e-41	-1.25889583246262	-2.16447702215973	-1.71168642731118	-7.40926112097802	0.231015609616612	0.179763613504814	"CHRNB1"
"ENSG00000158865"	199.077391690505	5.90056581101322e-44	6.20296980882764e-41	-1.37576826991217	-1.94408158922328	-1.65992492956772	-11.449293790744	0.144977887579365	0.331821102190878	"TRAF3IP1"
"ENSG00000124788"	193.562656854047	9.29829055264928e-43	9.30935994616434e-40	-2.04682057019656	-3.51341914603342	-2.78011985811499	-7.43071060395752	0.374132289754302	0.28022125917174	"DSC1"
"ENSG00000111110"	191.106144588688	3.17561594325757e-42	3.03487841849956e-39	-0.796668825381636	-1.48415171315662	-1.14041026926913	-6.50245437410418	0.175378287697701	0.6459160592193	"KLHL28"
"ENSG00000109906"	186.094910805292	3.89048337217504e-41	3.55640925652088e-38	-1.47381197438078	-2.3463348639315	-1.91007341915614	-8.58126509735691	0.222582369783348	0.778769884086841	"TOR1AIP2"
"ENSG00000251562"	184.916093194571	7.01423892722948e-41	6.14476556020832e-38	0.447563133516128	0.335538983630307	0.391551058573217	13.7010809489601	0.028577589256587	0.728939375732781	"SLC3A2"
"ENSG00000188641"	180.035568880383	8.04957487575204e-40	6.76969247050746e-37	-1.79684841410137	-2.89035314463612	-2.34360077936875	-8.40119478853368	0.278955288401723	0.373015563693985	"STAG3"
"ENSG00000124440"	178.274190084288	1.94201012707974e-39	1.57041395853276e-36	-0.0912044643893947	-0.13948225329393	-0.115343358841663	-9.36533483886621	0.0123157624756469	0.167090631921041	"LINC01467"
