"gene_id"	"lambda"	"p.value"	"p.adjusted"	"ci.hi"	"ci.lo"	"logFC"	"z"	"SE"	"logFC.CPM"	"SYMBOL"
"ENSG00000251562"	1241.76301522909	2.26249343254535e-270	4.7568924419266e-266	0.89090727429657	0.79815025398193	0.84452876413925	35.6899338940882	0.0236625051823062	-0.263977553456342	"SLC3A2"
"ENSG00000096060"	524.115249414721	1.54817356962194e-114	1.62751746506507e-110	-1.69292660604062	-2.07847825723845	-1.88570243163954	-19.1720556251837	0.0983550130606706	-0.88955028449255	"SCN7A"
"ENSG00000180776"	502.571397210591	7.37917337882237e-110	5.17157067632468e-106	-1.41405680478799	-1.76814446486784	-1.59110063482791	-17.6142819511883	0.0903284847142481	-0.81507785190409	"CAMK1D"
"ENSG00000134851"	430.758361552857	2.89741211662364e-94	1.5229522438003e-90	-1.59160470167663	-2.15741482882253	-1.87450976524958	-12.9865884412155	0.144339318149464	-0.334050159314364	"KHDRBS1"
"ENSG00000123560"	404.59189832308	1.3931105070865e-88	5.85802968229874e-85	2.69253113058253	2.19347171379418	2.44300142218835	19.188876677183	0.127311075711315	0.244766366761919	"JMY"
"ENSG00000188641"	403.43813829634	2.48039801025453e-88	8.69172802760025e-85	-1.45139473547688	-1.99554528676908	-1.72347001112298	-12.4154579728504	0.138813916145971	-0.552820431745911	"STAG3"
"ENSG00000158865"	340.900926383001	9.4255000068617e-75	2.83101625206096e-71	-1.79220761239679	-2.31650434388611	-2.05435597814145	-15.3594843787952	0.133749166196255	-0.89405808814937	"TRAF3IP1"
"ENSG00000021645"	329.590516405719	2.69357280514038e-72	7.07904602850955e-69	-1.98607643693462	-2.51958985569546	-2.25283314631504	-16.5524302658071	0.136100361928784	-0.650147047995499	"FANCA"
"ENSG00000245532"	324.177953610895	4.03321892217614e-71	9.42204753763927e-68	-0.99174450814203	-1.80683730169482	-1.39929090491842	-6.7294418481617	0.207931835089996	-0.593552934068259	"POLR2G"
"ENSG00000228696"	318.636367707798	6.44157229616086e-70	1.35434057526782e-66	-1.03108395793382	-1.37645736343999	-1.2037706606869	-13.6625872344427	0.0881054605883096	-0.888397987764882	"SOX21-AS1"
"ENSG00000140873"	308.784447119987	8.87787976774527e-68	1.69688565560768e-64	-1.2656408411554	-1.77558968505243	-1.52061526310391	-11.6888240288957	0.130088990790058	0.701043312001534	"RNF208"
