ENSEMBL	SYMBOL	lower_bound	logFC	upper_bound	pvalue	QE	QEp	SE	tau2	I2	H2	p.adjust.fdr	p.adjust.BY	logFDR	n.studies
ENSG00000122735	DNAI1	-7.97646913638971	-7.57892198559826	-7.18137483480682	1.43835643693691e-305	29553.6813020001	0	0.20283390609585	0.116847787699321	99.9932326535582	14776.840651	1.95271269878556e-301	1.97093371503813e-300	300.709361649447	3
ENSG00000139865	TTC6	-5.50240767019281	-5.20571205774044	-4.90901644528807	3.70673036480434e-259	15065.6113323787	0	0.151378094083701	0.0617657739477606	99.9867247338599	7532.80566618933	2.51612857162919e-255	2.53960689469522e-254	254.59926717065	3
ENSG00000112319	EYA4	-3.59718227039338	-3.38086992463376	-3.16455757887414	4.39685909613565e-206	10043.1464853121	0	0.110365469705496	0.0315218183267431	99.9800859222463	5021.57324265605	1.98972530297125e-202	2.00829168864906e-201	201.701206877177	3
ENSG00000197057	DTHD1	-3.33180643350964	-3.12303895065556	-2.91427146780149	5.78226370900793e-189	10729.6282929249	0	0.106515979120436	0.0304698510678871	99.9813600252926	5364.81414646246	1.96250030283729e-185	1.98081264849671e-184	184.707190267566	3
ENSG00000154099	DNAAF1	-5.93458951802128	-5.53097957569649	-5.1273696333717	6.63854428294743e-159	23552.2281432396	0	0.205927223922693	0.123030439253781	99.9915082344318	11776.1140716198	1.80249754370589e-155	1.81931688280248e-154	154.744125318429	3
ENSG00000171962	DRC3	-7.73011051721745	-7.1587745982607	-6.58743867930394	3.54138139820611e-133	12098.1022137708	0	0.291503274276149	0.240426832487222	99.9834684815464	6049.05110688539	8.01296564367435e-130	8.08773566863273e-129	129.096206719332	3
ENSG00000163491	NEK10	-4.8823455089617	-4.50106522061595	-4.11978493227019	1.93625763793502e-118	20276.5231752715	0	0.194534333974117	0.110343003171563	99.990136376031	10138.2615876358	3.75523338465798e-115	3.79027395594971e-114	114.425363066777	3
ENSG00000160188	RSPH1	-7.09275814352641	-6.53397343849155	-5.97518873345669	3.05803892546151e-116	15922.7322864603	0	0.285099476032457	0.235126892178401	99.9874393416656	7961.36614323017	5.18949205650819e-113	5.23791588207304e-112	112.284875148481	3
ENSG00000158486	DNAH3	-1.46588067331705	-1.34343770322337	-1.22099473312969	1.40935769502606e-102	6742.04205919041	0	0.0624720510476185	0.00852209807398464	99.9703353971624	3371.0210295952	2.12593778529709e-99	2.14577518736958e-98	98.6724494490778	3
ENSG00000077327	SPAG6	-1.25433823033523	-1.14490940338725	-1.03548057643927	1.89117439098696e-93	9590.83785188789	0	0.0558320600843379	0.00655524810015956	99.9791467645383	4795.41892594394	2.56745835320389e-90	2.59141564114013e-89	89.5904965923735	3
ENSG00000095637	SORBS1	0.813958716417081	0.905762754510626	0.997566792604172	2.59668916276166e-83	1.12213102040394	0.570600758898943	0.0468396556353506	0	0	1	3.2047865521502e-80	3.23469083243121e-79	79.4942008904229	3
ENSG00000176601	MAP3K19	-6.65708013406376	-6.03089103670665	-5.40470193934954	1.77617460624466e-79	7900.09656006093	0	0.319490104051099	0.290620935636924	99.9746838537378	3950.04828003046	2.00944553786479e-76	2.02819593562012e-75	75.6969237600245	3
ENSG00000137473	TTC29	-6.66346407601181	-5.99152237209544	-5.31958066817907	2.16498898908466e-68	18888.5378902976	0	0.342833699607011	0.346671580036051	99.9894115679487	9444.26894514882	2.26091465506256e-65	2.28201154386817e-64	64.6457158310801	3
ENSG00000137098	SPAG8	-2.33085136849115	-2.08099211748966	-1.83113286648817	6.67669606320577e-60	3012.98924990848	0	0.127481552198076	0.0371117105934039	99.9336207389369	1506.49462495424	6.47448755386297e-57	6.53490183959963e-56	56.1887945996539	3
ENSG00000142621	FHAD1	-6.15703224180052	-5.44706456302869	-4.73709688425686	4.17789966547714e-51	10688.5825234645	0	0.362235063690947	0.384841119567054	99.9812884449775	5344.29126173225	3.78127772390118e-48	3.81656131831092e-47	47.4223614237937	3
ENSG00000167858	TEKT1	-2.74039316877993	-2.42218892593124	-2.10398468308255	2.46634408019467e-50	4745.73502865479	0	0.162352086751924	0.074843613221355	99.957856897026	2372.8675143274	2.09269295204517e-47	2.11222014225323e-46	46.679294488343	3
ENSG00000149927	DOC2A	-2.13840834336247	-1.87501047758913	-1.61161261181579	3.05482314234718e-44	2228.02033661425	0	0.134389135642793	0.0410870731505159	99.9102342125369	1114.01016830712	2.43954582238267e-41	2.46230954185158e-40	40.6126910200518	3
ENSG00000008226	DLEC1	-1.45641303347769	-1.27538191116971	-1.09435078886172	2.27641634751175e-43	2435.70151144067	0	0.0923645147237065	0.0189901704188646	99.9178881324084	1217.85075572033	1.71692379632331e-40	1.73294463564939e-39	39.7652489800696	3
ENSG00000182329	KIAA2012	-8.04582976796619	-7.0338728941515	-6.02191602033681	2.91325276855706e-42	20271.7002982762	0	0.51631401484766	0.792214725093489	99.9901340293583	10135.8501491381	2.08159576768056e-39	2.10101940861749e-38	38.6816036037931	3
ENSG00000112539	C6orf118	-5.99796005231297	-5.24002287227501	-4.48208569223705	7.89354521007471e-42	6825.43041483889	0	0.386709748758893	0.435617539049937	99.9706978186218	3412.71520741945	5.35813848859871e-39	5.40813597596336e-38	38.2709860656332	3
ENSG00000114473	IQCG	-4.41717391958695	-3.84757947959493	-3.27798503960291	5.19275819258866e-40	1865.88377506293	0	0.290614748273392	0.217650195528439	99.8928121876223	932.941887531465	3.35699453440875e-37	3.38831908717543e-36	36.4740493658351	3
ENSG00000118492	ADGB	-7.12671495588069	-6.20498531732999	-5.28325567877929	9.46701578492593e-40	24926.458752637	0	0.470278865234865	0.65874726744667	99.9919763973702	12463.2293763185	5.84200937709793e-37	5.89652192667781e-36	36.2334377502692	3
ENSG00000039139	DNAH5	-7.7430996783911	-6.70615015921641	-5.66920064004172	8.08821684341652e-37	21282.5233110355	0	0.529065598834478	0.83323433425312	99.9906026180694	10641.2616555177	4.77415790722708e-34	4.81870619580739e-33	33.3211032206239	3
