ENSEMBL	SYMBOL	lower_bound	logFC	upper_bound	pvalue	QE	QEp	SE	tau2	I2	H2	p.adjust.fdr	p.adjust.BY	logFDR	n.studies
ENSG00000225484	NUTM2B-AS1	-1.2982207721432	-1.11459158460713	-0.930962397071067	1.23296881847675e-32	0.0480557535102921	0.82648161676505	0.0936900825650414	0	0	1	1.74304801868058e-28	1.76637031239774e-27	27.7586906484834	2
ENSG00000111371	SLC38A1	-1.9020167006225	-1.6109897746866	-1.3199628487507	2.00630034946582e-27	2.84128568723728	0.241558682516945	0.148485853939911	0.0203021218568164	29.6093311213383	1.42064284361864	1.41815340201992e-23	1.43712854775511e-22	22.8482767888657	3
ENSG00000134107	BHLHE40	-0.736698901842113	-0.600636661606402	-0.46457442137069	5.05534201300452e-18	1.56926410026627	0.456287561849335	0.0694207859475751	0	0	1	1.78668425094612e-14	1.8105904052424e-13	13.7479521907445	3
ENSG00000072310	SREBF1	-0.848355329992527	-0.686143059158292	-0.523930788324057	1.12803484729657e-16	2.02073939577579	0.36408435347107	0.0827628834579333	0.000319185735256191	1.02632708696347	1.01036969788789	2.65783810603861e-13	2.69340045446354e-12	12.5754714762885	3
ENSG00000131378	RFTN1	-0.78848864009158	-0.632475379809241	-0.476462119526902	1.93153125452355e-15	2.51664033213354	0.284130918596403	0.0796000648547379	0.00485422610925071	20.5289697354387	1.25832016606677	3.41325716814992e-12	3.45892715850857e-11	11.4668309890431	3
ENSG00000038427	VCAN	-1.34083126786289	-1.05994147365106	-0.779051679439231	1.40399927940833e-13	0.68101950381	0.711407588944641	0.143313752919671	0	0	1	1.80439434663597e-10	1.82853746517477e-09	9.74366854226411	3
ENSG00000169504	CLIC4	-1.41328537314718	-1.10549304282549	-0.797700712503799	1.9282996845048e-12	4.06737528232963	0.130852094773634	0.157039788868325	0.0365257012886687	50.8282402981394	2.03368764116482	1.94716947427459e-09	1.97322294951419e-08	8.71059624748399	3
ENSG00000280809	LINC00836	-1.60404718168191	-1.24492275786927	-0.885798334056634	1.08829818957085e-11	8.28752908221272	0.015863021961537	0.18323011373952	0.0689800619876551	75.8673546703741	4.14376454110636	9.0501597093901e-09	9.17125246223887e-08	8.04334375667382	3
ENSG00000082805	ERC1	0.519589737108879	0.737211455690083	0.954833174271287	3.14665598126275e-11	1.31347319079511	0.518540784695884	0.1110335293392	0	0	1	2.34127766353218e-08	2.37260437671342e-07	7.63054707814916	3
ENSG00000119138	KLF9	-0.684210646600761	-0.526109178702384	-0.368007710804007	6.932549960569e-11	0.184691361713252	0.911789906745502	0.080665496481293	0	0	1	4.9002729396282e-08	4.965839466521e-07	7.3097797295892	3
ENSG00000142599	RERE	0.595440139267474	0.860907797720328	1.12637545617318	2.068932055845e-10	0.121951866928839	0.940845882404448	0.135445171720924	0	0	1	1.38042372638795e-07	1.39889404232643e-06	6.85998758476826	3
ENSG00000183273	CCDC60	1.69013036522098	2.48914163695868	3.28815290869638	1.02267040304981e-09	563.433698546584	4.48669865414313e-123	0.407666303075054	0.457653715952057	99.6450336561056	281.716849273292	5.3546264770056e-07	5.42627233535491e-06	6.27127081888127	3
ENSG00000102359	SRPX2	-0.737913015744398	-0.55794631786533	-0.377979619986262	1.22889116139667e-09	5.23354574014518	0.0730381866308824	0.091821431056194	0.0133834015878319	61.7849905340749	2.61677287007259	6.20458369595169e-07	6.28760213365328e-06	6.20728735270132	3
