ENSEMBL	SYMBOL	lower_bound	logFC	upper_bound	pvalue	QE	QEp	SE	tau2	I2	H2	p.adjust.fdr	p.adjust.BY	logFDR	n.studies
ENSG00000175426	PCSK1	-0.930344805280695	-0.86102876307861	-0.791712720876524	6.353263068617e-131	0.493300794704818	0.482458578670272	0.0353659775122614	0	0	1	8.09850443356609e-127	8.12304785673547e-126	126.091595175716	2
ENSG00000188730	VWC2	-0.71806044258556	-0.660281065288694	-0.602501687991828	4.14114604946495e-111	0.607224047434794	0.435834923868232	0.0294798158295879	0	0	1	2.63935943462648e-107	2.64735830849653e-106	106.578501462434	2
ENSG00000070729	CNGB1	1.57237444194761	1.74145476446291	1.9105350869782	1.27914964313917e-90	0.96817052682699	0.325136868391608	0.0862670558484632	0	0	1	5.43510683369835e-87	5.45157853265024e-86	86.2647919149025	2
ENSG00000151474	FRMD4A	0.547315764409301	0.60685929471653	0.666402825023759	8.96590665233938e-89	0.215134762885055	0.898016010797924	0.0303799104355493	0	0	1	2.85721030243425e-85	2.86586939771682e-84	84.54405779258	3
ENSG00000130962	PRRG1	-0.523583179777641	-0.474420304088647	-0.425257428399653	8.81385559096863e-80	0.923170528467304	0.336643869803637	0.0250835607576386	0	0	1	2.24700434436154e-76	2.25381414226182e-75	75.6483960879145	2
ENSG00000143933	CALM2	-2.22491401931226	-2.00721569483753	-1.78951737036279	5.37299081881486e-73	0.270087590206812	0.603273022104923	0.111072614696961	0	0	1	1.14149189945722e-69	1.14495131828728e-68	68.9425271661129	2
ENSG00000138780	GSTCD	-0.545597126102794	-0.487816144370092	-0.43003516263739	1.68273735404084e-61	1.81484473573065	0.40356312178138	0.0294806344343421	0	0	1	3.06426472170836e-58	3.07355131855903e-57	57.5136737187356	3
ENSG00000178764	ZHX2	0.628223260314412	0.714724870130277	0.801226479946141	5.53030650399179e-59	0.867849022201104	0.64796116751459	0.0441342853736999	0	0	1	8.81185212579792e-56	8.83855742890711e-55	55.0549327994796	3
ENSG00000117707	PROX1	0.827083434206149	0.941266828892972	1.05545022357979	1.01549811587707e-58	0.814364569180206	0.366833002653208	0.0582579045265561	0	0	1	1.4382838314539e-55	1.4426427114178e-54	54.8421554016648	2
ENSG00000128564	VGF	-0.474047195583556	-0.420973511359822	-0.367899827136088	1.68889460390728e-54	0.147537849339673	0.700899469664606	0.0270789078995188	0	0	1	2.15283395160061e-51	2.15935835559655e-50	50.666989466082	2
ENSG00000011083	SLC6A7	-0.649878670424367	-0.576587092007998	-0.50329551359163	1.21796034279587e-53	0.030342438058441	0.86171550820526	0.0373943495872798	0	0	1	1.41139458996536e-50	1.41567197907648e-49	49.8503515515984	2
ENSG00000105339	DENND3	-1.04896427019729	-0.930421625638492	-0.811878981079697	2.11432163894129e-53	0.0678189894729865	0.966658988405043	0.0604820524733329	0	0	1	2.07317368704497e-50	2.07945667170247e-49	49.6833643119122	3
ENSG00000188229	TUBB4B	-0.399817554994666	-0.354642454422092	-0.309467353849519	2.01665688622633e-53	0.665252991105759	0.717037961013723	0.0230489442300517	0	0	1	2.07317368704497e-50	2.07945667170247e-49	49.6833643119122	3
ENSG00000168032	ENTPD3	-0.447646957616782	-0.396520450075015	-0.345393942533249	3.49121677221341e-52	0.0504299953647731	0.82231673201323	0.0260854321533691	0	0	1	3.17875287110031e-49	3.18838643708849e-48	48.4977432345543	2
ENSG00000134107	BHLHE40	-0.618370393033128	-0.544906248815284	-0.47144210459744	6.99447122743149e-48	1.31301889771069	0.518658582820336	0.0374823949813975	0	0	1	5.94390164907128e-45	5.96191530759886e-44	44.2259283852534	3
ENSG00000204071	TCEAL6	-0.496589756270386	-0.437049422532831	-0.377509088795275	6.25322264762418e-47	0.0119005972969047	0.91313121837476	0.0303782795026857	0	0	1	4.98186431807909e-44	4.99696241491092e-43	43.3026081047224	2
ENSG00000167702	KIFC2	-0.493986079265415	-0.434328701254877	-0.37467132324434	3.40007663369242e-46	1.87803051519121	0.391012692613864	0.0304379970658171	0	0	1	2.54945746174572e-43	2.55718387763513e-42	42.5935522299343	3
ENSG00000054803	CBLN4	-0.356515454484652	-0.312357138875929	-0.268198823267205	1.04745603363971e-43	0.876415802740214	0.349185244927017	0.0225301668586966	0	0	1	7.41773447822525e-41	7.44021475192895e-40	40.1297287165325	2
ENSG00000144834	TAGLN3	-0.821535796452668	-0.71711614066986	-0.612696484887051	2.67760111761144e-41	0.574452012604886	0.448495208801944	0.0532763135478294	0	0	1	1.79638849716805e-38	1.80183265336063e-37	37.7455997345225	2
ENSG00000141522	ARHGDIA	-0.326061367057094	-0.283986016068222	-0.241910665079349	5.99115242824337e-40	0.64805169516052	0.723231548352753	0.0214674102793508	0	0	1	3.81846100014091e-37	3.83003327313909e-36	36.4181116407063	3
