ENSEMBL	SYMBOL	lower_bound	logFC	upper_bound	pvalue	QE	QEp	SE	tau2	I2	H2	p.adjust.fdr	p.adjust.BY	logFDR	n.studies
ENSG00000175426	PCSK1	-0.930344805280695	-0.86102876307861	-0.791712720876524	6.353263068617e-131	0.493300794704818	0.482458578670272	0.0353659775122614	0	0	1	8.09850443356609e-127	8.12304785673547e-126	126.091595175716	2
ENSG00000188730	VWC2	-0.71806044258556	-0.660281065288694	-0.602501687991828	4.14114604946495e-111	0.607224047434794	0.435834923868232	0.0294798158295879	0	0	1	2.63935943462648e-107	2.64735830849653e-106	106.578501462434	2
ENSG00000070729	CNGB1	1.57237444194761	1.74145476446291	1.9105350869782	1.27914964313917e-90	0.96817052682699	0.325136868391608	0.0862670558484632	0	0	1	5.43510683369835e-87	5.45157853265024e-86	86.2647919149025	2
ENSG00000151474	FRMD4A	0.547315764409301	0.60685929471653	0.666402825023759	8.96590665233938e-89	0.215134762885055	0.898016010797924	0.0303799104355493	0	0	1	2.85721030243425e-85	2.86586939771682e-84	84.54405779258	3
ENSG00000143933	CALM2	-2.22491401931226	-2.00721569483753	-1.78951737036279	5.37299081881486e-73	0.270087590206812	0.603273022104923	0.111072614696961	0	0	1	1.14149189945722e-69	1.14495131828728e-68	68.9425271661129	2
ENSG00000178764	ZHX2	0.628223260314412	0.714724870130277	0.801226479946141	5.53030650399179e-59	0.867849022201104	0.64796116751459	0.0441342853736999	0	0	1	8.81185212579792e-56	8.83855742890711e-55	55.0549327994796	3
ENSG00000117707	PROX1	0.827083434206149	0.941266828892972	1.05545022357979	1.01549811587707e-58	0.814364569180206	0.366833002653208	0.0582579045265561	0	0	1	1.4382838314539e-55	1.4426427114178e-54	54.8421554016648	2
ENSG00000011083	SLC6A7	-0.649878670424367	-0.576587092007998	-0.50329551359163	1.21796034279587e-53	0.030342438058441	0.86171550820526	0.0373943495872798	0	0	1	1.41139458996536e-50	1.41567197907648e-49	49.8503515515984	2
ENSG00000105339	DENND3	-1.04896427019729	-0.930421625638492	-0.811878981079697	2.11432163894129e-53	0.0678189894729865	0.966658988405043	0.0604820524733329	0	0	1	2.07317368704497e-50	2.07945667170247e-49	49.6833643119122	3
ENSG00000134107	BHLHE40	-0.618370393033128	-0.544906248815284	-0.47144210459744	6.99447122743149e-48	1.31301889771069	0.518658582820336	0.0374823949813975	0	0	1	5.94390164907128e-45	5.96191530759886e-44	44.2259283852534	3
ENSG00000144834	TAGLN3	-0.821535796452668	-0.71711614066986	-0.612696484887051	2.67760111761144e-41	0.574452012604886	0.448495208801944	0.0532763135478294	0	0	1	1.79638849716805e-38	1.80183265336063e-37	37.7455997345225	2
ENSG00000133687	TMTC1	0.978346086571355	1.15309536016933	1.3278446337673	2.93305119136353e-38	1.12186166341335	0.570677611725661	0.089159430977495	0	0	1	1.62554797983961e-35	1.63047438474296e-34	34.7890002072985	3
ENSG00000116044	NFE2L2	-0.76431723268482	-0.662241275239183	-0.560165317793545	4.83649052101233e-37	1.51052930990941	0.469886240551433	0.0520805271172325	0	0	1	2.28336091375349e-34	2.29028089430229e-33	33.6414254374089	3
ENSG00000124507	PACSIN1	-0.829270728650683	-0.713460127296466	-0.597649525942249	1.440212419042e-33	0.491581646857862	0.483222615114112	0.0590881272654582	0	0	1	5.73699615797763e-31	5.75438276628061e-30	30.2413154409611	2
ENSG00000081026	MAGI3	-0.882009973938042	-0.750966745102109	-0.619923516266175	2.84216565709765e-29	1.00259229053706	0.605745017131274	0.0668600187909501	0	0	1	8.83636234903019e-27	8.86314193311133e-26	26.0537264835025	3
ENSG00000132824	SERINC3	-0.591734927998292	-0.503067984454763	-0.414401040911233	1.00034996414676e-28	1.12974484580573	0.568432661120678	0.0452390677802874	0	0	1	2.89805931658608e-26	2.90684220937331e-25	25.5378927297681	3
ENSG00000147251	DOCK11	0.475023394489979	0.577972157232597	0.680920919975214	3.67269266927184e-28	0.871400127276808	0.646811699191862	0.0525258441250268	0	0	1	1.01773507511322e-25	1.02081943505001e-24	24.9923652577459	3
ENSG00000124140	SLC12A5	-0.925624308629518	-0.781351256045413	-0.637078203461308	2.54513697303175e-26	0.104145285116699	0.746910722772821	0.0736100529000087	0	0	1	6.00793722133995e-24	6.02614494682902e-23	23.2212746140478	2
ENSG00000099954	CECR2	0.571525843342799	0.702087847033004	0.83264985072321	5.67600474045527e-26	0.174532912786318	0.916432873699251	0.0666144912457891	0	0	1	1.26933390222076e-23	1.27318076053404e-22	22.896424120366	3
ENSG00000177511	ST8SIA3	-0.915484362321059	-0.771898394144177	-0.628312425967295	5.86430188844263e-26	0.417734973250386	0.518069417738934	0.0732594931894003	0	0	1	1.28883200296514e-23	1.29273795245279e-22	22.8898036884962	2
