ENSEMBL	SYMBOL	lower_bound	logFC	upper_bound	pvalue	QE	QEp	SE	tau2	I2	H2	p.adjust.fdr	p.adjust.BY	logFDR	n.studies
ENSG00000164100	NDST3	2.02207974259854	2.30041430654778	2.57874887049701	5.12909356469558e-59	0.157735067588993	0.691250403404274	0.142010040054154	0	0	1	6.60114341776321e-55	6.62748779892613e-54	54.1803808315771	2
ENSG00000141668	CBLN2	2.18063269090937	2.61075249461452	3.04087229831967	1.23207266501663e-32	0.0543940686491959	0.815586414167161	0.21945291194016	0	0	1	7.92838759938203e-29	7.96002885479899e-28	28.100815126414	2
ENSG00000241684	ADAMTS9-AS2	-2.9489799431249	-2.45313169829709	-1.95728345346928	3.11665750399767e-22	0.175248858865009	0.67548849749451	0.252988447103619	0	0	1	1.337046069215e-18	1.34238206164095e-17	17.8738536284439	2
ENSG00000104722	NEFM	0.728022382414811	0.915220359485725	1.10241833655664	9.48497113731321e-22	0.103087772945932	0.748155186931208	0.0955109270106532	0	0	1	2.49757455217225e-18	2.50754207625424e-17	17.6024815392927	2
ENSG00000251562	MALAT1	0.707819069647485	0.889878203650698	1.07193733765391	9.70308683827602e-22	9.23785644140111	0.0098633617450765	0.0928890201244879	0.0190978311142903	78.349955829183	4.61892822070056	2.49757455217225e-18	2.50754207625424e-17	17.6024815392927	3
ENSG00000168830	HTR1E	1.07570541267189	1.45645638675389	1.83720736083589	6.51486550297211e-14	0.238189543755551	0.625516790340854	0.194264270713806	0	0	1	1.39743865038752e-10	1.40301566244857e-09	9.85466724918967	2
ENSG00000164483	SAMD3	1.29990794910388	1.80677307016478	2.31363819122568	2.81840377646973e-12	0.0170324709104601	0.896164122545394	0.258609405611013	0	0	1	5.18183665759506e-09	5.2025167536621e-08	8.28551628101117	2
ENSG00000133169	BEX1	0.218277090127192	0.308174201116523	0.398071312105854	1.83092617091561e-11	0.00834481527714925	0.927214521191798	0.045866715765406	0	0	1	2.94550247746048e-08	2.95725762881407e-07	7.53084060764299	2
ENSG00000128739	SNRPN	0.725976311756581	1.02841537139788	1.33085443103918	2.65257346637323e-11	0.935844489137066	0.333348829036399	0.15430847812863	0	0	1	3.79318005691372e-08	3.80831818903944e-07	7.42099654146065	2
ENSG00000177511	ST8SIA3	0.448264380218952	0.643604808428832	0.838945236638712	1.06333675773402e-10	0.534491641781665	0.464724577271707	0.0996653151541051	0	0	1	1.36851440720368e-07	1.37397598603763e-06	6.86375062614124	2
ENSG00000120254	MTHFD1L	-0.818401618419787	-0.625483406614498	-0.43256519480921	2.08921188518978e-10	0.536850185715077	0.764582693369574	0.0984294677488987	0	0	1	2.44437790567204e-07	2.4541331282415e-06	6.61183165045053	3
ENSG00000277586	NEFL	0.325226225159396	0.473418940091357	0.621611655023318	3.81698200994793e-10	0.458862697452662	0.498155973172434	0.0756099173764855	0	0	1	4.09371320566915e-07	4.1100507299792e-06	6.38788258608928	2
ENSG00000137266	SLC22A23	-1.13098571780635	-0.857714804798906	-0.584443891791457	7.66400600089746e-10	1.49312776698713	0.47399245103823	0.139426497202487	0	0	1	7.58736594088848e-07	7.61764621927653e-06	6.11990896928034	3
