ENSEMBL	SYMBOL	lower_bound	logFC	upper_bound	pvalue	QE	QEp	SE	tau2	I2	H2	p.adjust.fdr	p.adjust.BY	logFDR	n.studies
ENSG00000107099	DOCK8	1.1067594212492	1.21235530942329	1.31795119759738	3.92208457032462e-112	1.99196315590647	0.369360710217234	0.0538764431423318	0	0	1	3.58282425499154e-108	3.47431443376135e-107	107.445774494362	3
ENSG00000079819	EPB41L2	0.897738761905359	1.00730114073539	1.11686351956542	1.36644686754112e-72	1.60981179220984	0.447130001254355	0.0559002000517583	0	0	1	6.24124606749406e-69	6.05222298211836e-68	68.2047286945785	3
ENSG00000073849	ST6GAL1	0.81638500506293	0.930215151784007	1.04404529850508	9.76321654868067e-58	1.2601963752825	0.532539509641431	0.0580776726608013	0	0	1	2.97289943907326e-54	2.88286186990705e-53	53.5268197809377	3
ENSG00000033867	SLC4A7	1.60349619302411	1.84534343398097	2.08719067493782	1.44650691929615e-50	0.467927051404698	0.791390680788417	0.123393716856287	0	0	1	3.30346017694259e-47	3.20341120782509e-46	46.4810309242237	3
ENSG00000145685	LHFPL2	1.04605955063189	1.20826442488125	1.3704692991306	2.81771504762423e-48	1.50739741632817	0.470622633827644	0.0827591096207917	0	0	1	5.14796539200946e-45	4.99205352901257e-44	44.2883643813694	3
ENSG00000117020	AKT3	1.84157218397579	2.14498982471767	2.44840746545956	1.17295581082905e-43	0.000352315121270791	0.985024538934419	0.15480776337484	0	0	1	1.78582522198723e-40	1.73173951702522e-39	39.748161047598	2
ENSG00000181722	ZBTB20	0.899463265078613	1.0499963343887	1.20052940369879	1.51061227230078e-42	1.27633576138244	0.528259372186217	0.0768039976741788	0	0	1	1.97134901535252e-39	1.91164451576949e-38	38.7052364797169	3
ENSG00000182578	CSF1R	1.12248228980786	1.31457861104196	1.50667493227605	5.09624396980893e-41	1.80765925834227	0.405015626296758	0.0980101281193556	0	0	1	5.81927358302557e-38	5.6430304041133e-37	37.235131224727	3
ENSG00000141526	SLC16A3	-0.964422554060497	-0.832224953825496	-0.700027353590494	5.61357820550206e-35	0.284482348456635	0.59377826420192	0.0674489946130435	0	0	1	5.69778187858459e-32	5.52521821119497e-31	31.2442941803581	2
ENSG00000197520	FAM177B	1.14032813405327	1.35751430275449	1.57470047145571	1.66584754949562e-34	0.0712408436875089	0.789538607597656	0.11081130592927	0	0	1	1.52175173646425e-31	1.47566379099765e-30	30.8176561940031	2
ENSG00000184384	MAML2	0.558501119319346	0.668498588493686	0.778496057668027	1.03124650054071e-32	0.0138819104209371	0.993083077583486	0.0561221890004033	0	0	1	8.56403343858125e-30	8.30466215177164e-29	29.0673216456556	3
ENSG00000166068	SPRED1	1.13688280442664	1.37154887495768	1.60621494548873	2.21020337393767e-30	1.25829922539067	0.533044902941803	0.119729787068569	0	0	1	1.68251731841005e-27	1.63156040831796e-26	26.7740404568209	3
ENSG00000198502	HLA-DRB5	-0.401140766861431	-0.341929637490116	-0.282718508118801	1.06508234215746e-29	0.00565805127458422	0.940039656531018	0.0302103150049516	0	0	1	7.48425168892954e-27	7.25758279450189e-26	26.1258516159776	2
ENSG00000066084	DIP2B	0.898249163918368	1.08904439628325	1.27983962864814	4.70425064705307e-29	0.901265614095341	0.637224783674135	0.0973462950696313	0	0	1	3.06952354720213e-26	2.97655960935206e-25	25.5129290306724	3
ENSG00000154237	LRRK1	1.07761765743487	1.30844077395897	1.53926389048308	1.11877081626566e-28	1.05163982803152	0.591070538617348	0.117769060219885	0	0	1	6.81331427105788e-26	6.60696546326816e-25	25.1666415783234	3
ENSG00000188641	DPYD	-0.731008419137458	-0.620886288402822	-0.510764157668186	2.1777343349284e-28	0.706428825314945	0.702426568082692	0.0561857930060274	0	0	1	1.24335019684818e-25	1.20569395194626e-24	24.9054065325503	3
ENSG00000226091	LINC00937	-0.932176006273778	-0.786062048587448	-0.639948090901118	5.4036573477542e-26	0.0185089367838333	0.891783688240483	0.0745493074560851	0	0	1	2.90367116892557e-23	2.81573025499086e-22	22.5370525675887	2
ENSG00000266258	LINC01909	0.527074596251346	0.649058886915876	0.771043177580405	1.83467461388755e-25	0.42883171177979	0.512562766936207	0.0622380266304514	0	0	1	9.31097366547931e-23	9.0289804623484e-22	22.0310049016787	2
ENSG00000127528	KLF2	-0.652179080469835	-0.548480056596761	-0.444781032723687	3.52003138440567e-25	0.0458569020998822	0.830436131229884	0.0529086374499934	0	0	1	1.6923940366603e-22	1.6411379991605e-21	21.7714985136232	2
ENSG00000000971	CFH	-0.453359158735853	-0.380908951356979	-0.308458743978105	6.71954194789236e-25	0.565272836799181	0.452143503650199	0.0369650707616834	0	0	1	3.06915078469984e-22	2.97619813637713e-21	21.5129817745351	2
ENSG00000003989	SLC7A2	-0.185783736676104	-0.15571769096146	-0.125651645246816	3.27914127053782e-24	0.114666121505294	0.734893102507492	0.0153401011201232	0	0	1	1.39003539097816e-21	1.34793662167108e-20	20.8569741422561	2
ENSG00000106799	TGFBR1	0.865372699644748	1.07249093049684	1.27960916134894	3.34764954586967e-24	0.0271257545194038	0.98652868414727	0.105674508555166	0	0	1	1.39003539097816e-21	1.34793662167108e-20	20.8569741422561	3
ENSG00000211445	GPX3	-0.277290773017883	-0.231787001924686	-0.186283230831489	1.7971292710853e-23	0.0227604669088163	0.880081638639065	0.0232166363525684	0	0	1	7.13772864841922e-21	6.92155459004878e-20	20.14643996643	2
ENSG00000134769	DTNA	0.861814996131958	1.07332274204287	1.28483048795378	2.62301131280259e-23	1.05519215151669	0.590021633527783	0.107914098207546	0	0	1	9.98383680935485e-21	9.68146519683012e-20	20.0007025263572	3
ENSG00000145569	OTULINL	0.941584736844305	1.17473611486734	1.40788749289038	5.32717764310563e-23	0.186666496137154	0.665705667652305	0.11895697056788	0	0	1	1.9465507107908e-20	1.88759725546874e-19	19.7107342777256	2
ENSG00000082074	FYB1	0.62630135943874	0.78345875966607	0.9406161598934	1.50285123333304e-22	0.703233677699017	0.703549643228734	0.0801838204512774	0	0	1	5.28021000634513e-20	5.1202929679785e-19	19.2773488042118	3
