ENSEMBL	SYMBOL	lower_bound	logFC	upper_bound	pvalue	QE	QEp	SE	tau2	I2	H2	p.adjust.fdr	p.adjust.BY	logFDR	n.studies
ENSG00000000419	DPM1	-0.010737845279542	0.0115064542019485	0.033750753683439	0.310657490929428	0.103188110072262	0.949714320346601	0.0113493409353186	0	0	1	0.999625919394061	1	0.000162491537307888	3
ENSG00000000457	SCYL3	-0.00778894976622801	0.0170739291195711	0.0419368080053703	0.178317418744649	0.829220547960033	0.660597682649277	0.0126853753854226	0	0	1	0.999625919394061	1	0.000162491537307888	3
ENSG00000000460	C1orf112	-0.0163868003753424	0.0272790453330713	0.0709448910414849	0.220788547524978	1.09621801103953	0.578041851483721	0.0222789020884283	0	0	1	0.999625919394061	1	0.000162491537307888	3
ENSG00000000938	FGR	-0.0188497720200266	-0.0050594992733938	0.00873077347323901	0.472085954169542	0.391742716847999	0.531384775436933	0.00703598272999337	0	0	1	0.999625919394061	1	0.000162491537307888	2
ENSG00000000971	CFH	-0.0138902713208978	0.000735434402888489	0.0153611401266748	0.921492224307465	0.607154590940337	0.435861172784602	0.0074622318772957	0	0	1	0.999625919394061	1	0.000162491537307888	2
ENSG00000001036	FUCA2	-0.00808465412705673	-2.48973205433828e-05	0.00803485948596997	0.995169232095302	0.790649797565554	0.673461196976854	0.00411219638222319	0	0	1	0.999625919394061	1	0.000162491537307888	3
ENSG00000001084	GCLC	-0.0655252964344059	-0.019802956622688	0.0259193831890299	0.395944393666128	0.197735429070002	0.905862532544195	0.0233281530540203	0	0	1	0.999625919394061	1	0.000162491537307888	3
ENSG00000001167	NFYA	-0.0357761184618971	-0.0094028279287571	0.0169704626043829	0.484687724911098	0.610442205919066	0.43462136037657	0.0134560077333916	0	0	1	0.999625919394061	1	0.000162491537307888	2
ENSG00000001460	STPG1	-0.00461174847310147	-1.30459799119997e-05	0.00458565651327747	0.995563634637401	0.51381347609731	0.773440342957575	0.00234631989641823	0	0	1	0.999625919394061	1	0.000162491537307888	3
ENSG00000001461	NIPAL3	-0.0221381446439394	0.00484122806646151	0.0318206007768624	0.725063614489881	0.00600601321923559	0.997001497904574	0.0137652390162323	0	0	1	0.999625919394061	1	0.000162491537307888	3
ENSG00000001497	LAS1L	-0.0102105625092768	-0.00376075528374366	0.00268905194178946	0.253114864457204	0.744537343494217	0.689169057393627	0.00329077844103687	0	0	1	0.999625919394061	1	0.000162491537307888	3
ENSG00000001629	ANKIB1	-0.0869029690031435	0.243464419325066	0.573831807653276	0.148627479816422	0.652556524514191	0.721604364233132	0.168557887254105	0	0	1	0.999625919394061	1	0.000162491537307888	3
ENSG00000001631	KRIT1	-0.007412921586561	0.115430960329549	0.238274842245658	0.0655202980188792	1.98834235412245	0.370030006841283	0.0626766016544622	0	0	1	0.999625919394061	1	0.000162491537307888	3
ENSG00000002016	RAD52	-0.0269807070685002	-0.00243165477529542	0.0221173975179094	0.846066173586297	0.331764979046855	0.847145776844596	0.0125252568347401	0	0	1	0.999625919394061	1	0.000162491537307888	3
ENSG00000002586	CD99	-0.0773220456508476	-0.0124184748166715	0.0524850960175046	0.707649875173457	0.0925523042988483	0.760957163723186	0.0331146752420591	0	0	1	0.999625919394061	1	0.000162491537307888	2
ENSG00000002587	HS3ST1	-0.00745008557143248	0.000614345756167151	0.00867877708376678	0.881309483292801	1.21308505529841	0.545232741066619	0.00411458138578608	0	0	1	0.999625919394061	1	0.000162491537307888	3
ENSG00000002746	HECW1	-0.00732879120367918	-0.00153472740596593	0.00425933639174733	0.603653469010736	0.330069937898261	0.565617909009025	0.00295620931987327	0	0	1	0.999625919394061	1	0.000162491537307888	2
ENSG00000002822	MAD1L1	-0.0720146992656449	0.055843712269623	0.183702123804891	0.391976735187214	0.322958073279274	0.850884368674056	0.0652350821463041	0	0	1	0.999625919394061	1	0.000162491537307888	3
ENSG00000002919	SNX11	-0.023504063777531	-0.00880588808898353	0.00589228759956395	0.240297881690224	0.301044277752832	0.860258684635887	0.00749920702853972	0	0	1	0.999625919394061	1	0.000162491537307888	3
ENSG00000002933	TMEM176A	-0.0035130932065733	-0.000643575393388054	0.00222594241979719	0.66024083593022	0.333269353843398	0.56374028622262	0.00146406660317212	0	0	1	0.999625919394061	1	0.000162491537307888	2
ENSG00000003056	M6PR	-0.00733016214553302	0.0207248141996637	0.0487797905448604	0.147654100967507	0.0108273774691317	0.917125951709205	0.0143140264650222	0	0	1	0.999625919394061	1	0.000162491537307888	2
ENSG00000003096	KLHL13	-0.00451735379733403	-0.000565413414665725	0.00338652696800258	0.779157855487979	0.38613640514881	0.53433729501873	0.00201633316420134	0	0	1	0.999625919394061	1	0.000162491537307888	2
ENSG00000003147	ICA1	-0.0141088018777771	0.00289132810681095	0.019891458091399	0.738874290904381	0.0832719370869571	0.959218902877216	0.00867369508760511	0	0	1	0.999625919394061	1	0.000162491537307888	3
ENSG00000003393	ALS2	-0.0380422424168635	-0.00805939542397661	0.0219234515689103	0.598305590963529	0.0745033210575869	0.963433646616947	0.0152976520126838	0	0	1	0.999625919394061	1	0.000162491537307888	3
ENSG00000003402	CFLAR	-0.601411183984833	-0.0464692601776024	0.508472663629629	0.869635247956056	0.0659509206351416	0.967562302969349	0.283138837338105	0	0	1	0.999625919394061	1	0.000162491537307888	3
ENSG00000003436	TFPI	-0.00233919088740665	-0.000342530860659848	0.00165412916608695	0.736693221090276	0.559816401470975	0.454334226655752	0.00101872281454976	0	0	1	0.999625919394061	1	0.000162491537307888	2
ENSG00000003509	NDUFAF7	-0.0211758648341327	-0.0055447264773455	0.0100864118794417	0.486902039719854	0.248448615505919	0.883181714157144	0.00797521713668397	0	0	1	0.999625919394061	1	0.000162491537307888	3
ENSG00000003756	RBM5	-0.373271161257565	-0.112943310000646	0.147384541256272	0.395141133518775	0.317005963067499	0.853420419285358	0.132822772923559	0	0	1	0.999625919394061	1	0.000162491537307888	3
ENSG00000003989	SLC7A2	-0.00886057414011297	-0.00320169213722939	0.0024571898656542	0.267468213739503	0.320298859594957	0.571428096630635	0.00288723774901994	0	0	1	0.999625919394061	1	0.000162491537307888	2
ENSG00000004139	SARM1	-0.021906528880011	-0.0063939751318347	0.00911857861634155	0.419171577205073	0.213710898336477	0.898655565011469	0.00791471367358651	0	0	1	0.999625919394061	1	0.000162491537307888	3
ENSG00000004399	PLXND1	-0.272260439335861	-0.137069005847613	-0.0018775723593655	0.0469019600367569	0.928379389459809	0.628644292646487	0.0689764886266384	0	0	1	0.999625919394061	1	0.000162491537307888	3
ENSG00000004455	AK2	-0.0316786421190865	0.0087896757346553	0.0492579935883971	0.670324931978804	0.484466665684853	0.486406036391277	0.0206474803480833	0	0	1	0.999625919394061	1	0.000162491537307888	2
ENSG00000004487	KDM1A	-0.0386353862707997	0.00701894302071379	0.0526732723122273	0.763165263538672	2.4376727623452	0.295573902254329	0.0232934531713996	0.000528297782875408	17.9545330737556	1.2188363811726	0.999625919394061	1	0.000162491537307888	3
ENSG00000004534	RBM6	-1.1374752928314	-0.121669628622964	0.894136035585473	0.814396885794722	1.42538026376542	0.490323387103991	0.518277719499431	0	0	1	0.999625919394061	1	0.000162491537307888	3
ENSG00000004660	CAMKK1	-0.0614144220455233	-0.0151003397919685	0.0312137424615864	0.52280293599542	0.423924212427958	0.808995352882467	0.023630068010879	0	0	1	0.999625919394061	1	0.000162491537307888	3
ENSG00000004700	RECQL	-0.0371736595487276	-0.00807753293295183	0.0210185936828239	0.586361518334682	0.566809612279165	0.753214820153859	0.0148452353437524	0	0	1	0.999625919394061	1	0.000162491537307888	3
ENSG00000004766	VPS50	-0.284916836524235	-0.0576408247475822	0.16963518702907	0.619133938907554	0.257697038894527	0.87910712309286	0.115959279644614	0	0	1	0.999625919394061	1	0.000162491537307888	3
ENSG00000004779	NDUFAB1	-0.0231959531648242	-0.00179396651633581	0.0196080201321525	0.869503685749309	0.13896920230312	0.709307922547153	0.0109195815929805	0	0	1	0.999625919394061	1	0.000162491537307888	2
ENSG00000004799	PDK4	-0.213948799718703	-0.0473890320343498	0.119170735650004	0.577088566759865	3.14535225481279	0.207489171252854	0.0849810348548013	0.0083433181883957	36.4141171488902	1.57267612740639	0.999625919394061	1	0.000162491537307888	3
ENSG00000004864	SLC25A13	-0.220879588856581	0.148310398176151	0.517500385208882	0.431074942697999	0.608823628982508	0.737557067212016	0.188365699545938	0	0	1	0.999625919394061	1	0.000162491537307888	3
ENSG00000004866	ST7	-0.0527393904368159	0.020119159566559	0.0929777095699338	0.588352891709769	3.56202230062204	0.16846771493441	0.0371734126637396	0.00170704107178173	43.8521201944543	1.78101115031102	0.999625919394061	1	0.000162491537307888	3
ENSG00000004897	CDC27	-0.0711746476016255	0.134495401259691	0.340165450121007	0.199949882657756	0.336320526264111	0.845218366486986	0.104935626615395	0	0	1	0.999625919394061	1	0.000162491537307888	3
ENSG00000004948	CALCR	-0.00351049768767514	0.00389926383179128	0.0113090253512577	0.302353999174229	0.495431714116879	0.78058170855282	0.00378056003983424	0	0	1	0.999625919394061	1	0.000162491537307888	3
ENSG00000004975	DVL2	-0.0073616550144824	4.12606044043688e-05	0.00744417622329114	0.991284098747973	0.15036420582831	0.69818755289915	0.00377706716923373	0	0	1	0.999625919394061	1	0.000162491537307888	2
ENSG00000005007	UPF1	-0.0300197688735667	-0.00358725291502667	0.0228452630435133	0.790243950350104	0.889280382198625	0.641054891796926	0.0134862253424228	0	0	1	0.999625919394061	1	0.000162491537307888	3
ENSG00000005059	MCUB	-0.0466753320796757	-0.00260443121176378	0.0414664696561481	0.907789810950544	0.000232970422197286	0.987822066668979	0.0224855666816011	0	0	1	0.999625919394061	1	0.000162491537307888	2
ENSG00000005075	POLR2J	-0.00167891894988185	-0.000201381611134108	0.00127615572761364	0.789365862333674	0.660733929553888	0.416300958083939	0.000753859433337739	0	0	1	0.999625919394061	1	0.000162491537307888	2
ENSG00000005100	DHX33	-0.0182340686920169	-0.00133626113176435	0.0155615464284882	0.876827684687137	0.249952455494768	0.617108556985286	0.00862148880976399	0	0	1	0.999625919394061	1	0.000162491537307888	2
ENSG00000005108	THSD7A	-0.0263719852177683	0.00643259418841843	0.0392371735946051	0.700736836353506	4.24297975487618	0.119852929249335	0.0167373378617898	0.000419116191985373	52.8633150393534	2.12148987743809	0.999625919394061	1	0.000162491537307888	3
ENSG00000005189	REXO5	-0.0025568846815751	-0.000247834600523542	0.00206121548052801	0.833381600495996	0.410698361533418	0.521615257320225	0.00117810842406547	0	0	1	0.999625919394061	1	0.000162491537307888	2
ENSG00000005194	CIAPIN1	-0.0164057545197285	-0.000651108191007231	0.015103538137714	0.935440829268693	0.0515764715814337	0.820342454740102	0.00803823256600219	0	0	1	0.999625919394061	1	0.000162491537307888	2
ENSG00000005206	SPPL2B	-0.0163112501200264	-0.000594424274975227	0.0151224015700759	0.940908874754205	0.0203713618156837	0.886504781428212	0.00801893604628628	0	0	1	0.999625919394061	1	0.000162491537307888	2
ENSG00000005249	PRKAR2B	-0.00220179670651075	-0.000349137491200494	0.00150352172410976	0.711859931376784	0.442181977358627	0.506071183660868	0.000945251662746761	0	0	1	0.999625919394061	1	0.000162491537307888	2
ENSG00000005302	MSL3	-0.0791710790015169	0.0266557249751079	0.132482528951733	0.621534298914118	0.0411076299849601	0.839330310272568	0.0539942594922015	0	0	1	0.999625919394061	1	0.000162491537307888	2
ENSG00000005436	GCFC2	-0.0837003505007208	-0.00068015719258431	0.0823400361155522	0.987188645617626	2.5269659418808	0.282667786288356	0.0423580198222974	0.00148810987080984	20.8537017910333	1.2634829709404	0.999625919394061	1	0.000162491537307888	3
ENSG00000005469	CROT	-0.00844365235871179	-0.00110590585532434	0.00623184064806311	0.767691942307638	0.0982758201858036	0.952049823364891	0.0037438170095301	0	0	1	0.999625919394061	1	0.000162491537307888	3
ENSG00000005471	ABCB4	-0.00799535583325934	-0.00254265863311493	0.00291003856702948	0.360740542160626	7.88218135579523e-05	0.992916342285557	0.00278203948804906	0	0	1	0.999625919394061	1	0.000162491537307888	2
ENSG00000005483	KMT2E	-1.45613898709953	0.1306101588492	1.71735930479793	0.871833015869472	2.55118581052905	0.279265341234685	0.809580767026746	0.547022450550089	21.6050829482605	1.27559290526453	0.999625919394061	1	0.000162491537307888	3
ENSG00000005486	RHBDD2	-0.0188525422592187	-0.00304415959813568	0.0127642230629473	0.705859466646359	0.234736000519833	0.628034175929541	0.00806564956589891	0	0	1	0.999625919394061	1	0.000162491537307888	2
ENSG00000005513	SOX8	-0.0074713410004416	-0.0021890189240156	0.0030933031524104	0.416666424598227	0.187875884470806	0.664690411625471	0.00269511180720272	0	0	1	0.999625919394061	1	0.000162491537307888	2
ENSG00000005700	IBTK	-0.0184833785798666	0.161761509257354	0.342006397094574	0.0785813019905951	0.0540197110237167	0.816210722741291	0.0919633673164247	0	0	1	0.999625919394061	1	0.000162491537307888	2
ENSG00000005801	ZNF195	-0.0136203476556257	0.0235083507875048	0.0606370492306352	0.214617627836412	0.886346265910801	0.641996046792381	0.0189435615837826	0	0	1	0.999625919394061	1	0.000162491537307888	3
ENSG00000005812	FBXL3	-0.0269001715780343	0.0057623319460681	0.0384248354701705	0.729509837496718	2.55810777223618	0.278300479882066	0.016664848834846	0.00029005416655757	21.8172110766195	1.27905388611809	0.999625919394061	1	0.000162491537307888	3
ENSG00000005844	ITGAL	-0.0994633185337507	-0.0323257648135599	0.0348117889066309	0.345325826374235	0.00469858011406132	0.997653467365105	0.0342544833730432	0	0	1	0.999625919394061	1	0.000162491537307888	3
ENSG00000005889	ZFX	-0.120391786562494	0.0305726260336453	0.181537038629785	0.691424250744099	0.768881196112848	0.680831388099734	0.077024074823276	0	0	1	0.999625919394061	1	0.000162491537307888	3
ENSG00000006015	REX1BD	-0.0491617967562767	-0.0120518037431439	0.0250581892699889	0.524440208926177	0.494407031767895	0.48196798707651	0.0189340178216802	0	0	1	0.999625919394061	1	0.000162491537307888	2
ENSG00000006025	OSBPL7	-0.0108901465136895	0.00720133255279801	0.0252928116192855	0.435293315793429	0.463584139757626	0.495953667257555	0.00923051607539258	0	0	1	0.999625919394061	1	0.000162491537307888	2
ENSG00000006062	MAP3K14	-0.0934067122110609	0.0651852796589244	0.22377727152891	0.42047682865203	0.374833884304172	0.540381105301335	0.0809157684125518	0	0	1	0.999625919394061	1	0.000162491537307888	2
ENSG00000006125	AP2B1	-0.222444956915352	0.0638656757409968	0.350176308397346	0.661967789635453	0.998687063116032	0.606928958670875	0.146079537641881	0	0	1	0.999625919394061	1	0.000162491537307888	3
ENSG00000006194	ZNF263	-0.0197318194924481	0.0129773355003741	0.0456864904931964	0.436796364521249	0.419427248651984	0.517222974466179	0.0166886510419722	0	0	1	0.999625919394061	1	0.000162491537307888	2
ENSG00000006282	SPATA20	-0.0757402892339874	-0.0342469735801637	0.00724634207365998	0.105731952863448	0.00061693826271531	0.980183987801497	0.0211704480190033	0	0	1	0.999625919394061	1	0.000162491537307888	2
ENSG00000006451	RALA	-0.0511392385865246	-0.0150194489791414	0.0211003406282417	0.415073093951307	0.574991594841431	0.750139719286002	0.0184288027189742	0	0	1	0.999625919394061	1	0.000162491537307888	3
ENSG00000006453	BAIAP2L1	-0.00259683464280874	0.00499492877199406	0.0125866921867969	0.197210515449702	0.106680986880221	0.743954894937778	0.00387341985602065	0	0	1	0.999625919394061	1	0.000162491537307888	2
ENSG00000006459	KDM7A	0.0346910928544679	0.191613596056073	0.348536099257678	0.016699577466963	0.759348882950573	0.684084082368453	0.0800639728277611	0	0	1	0.999625919394061	1	0.000162491537307888	3
ENSG00000006468	ETV1	-0.0236452082945853	-0.00587164704649856	0.0119019142015882	0.517314370539876	0.0774939364738069	0.780722721953225	0.00906831012624841	0	0	1	0.999625919394061	1	0.000162491537307888	2
ENSG00000006530	AGK	-0.0300254115847404	0.0306005218967217	0.0912264553781839	0.322526994721327	0.0149249033535012	0.90276634769262	0.0309321671008609	0	0	1	0.999625919394061	1	0.000162491537307888	2
ENSG00000006534	ALDH3B1	-0.0169523501279882	-0.0061565091619058	0.00463933180417659	0.263694162123787	0.246537561487737	0.619523708376167	0.00550818333971369	0	0	1	0.999625919394061	1	0.000162491537307888	2
ENSG00000006576	PHTF2	-0.127211270634875	0.0167141825009572	0.16063963563679	0.819947698420333	2.10697002819038	0.348720333710139	0.0734327029838805	0.00158201045162612	5.07696012563844	1.05348501409519	0.999625919394061	1	0.000162491537307888	3
ENSG00000006634	DBF4	-0.00471888589780106	-0.0010698229050072	0.00257924008778667	0.565550216156836	0.327657250474587	0.567041851079952	0.00186180104408918	0	0	1	0.999625919394061	1	0.000162491537307888	2
ENSG00000006652	IFRD1	-0.0640140378762655	0.0389795758160231	0.141973189508312	0.458220863839139	0.472179483246377	0.789709800913339	0.0525487276831049	0	0	1	0.999625919394061	1	0.000162491537307888	3
ENSG00000006695	COX10	-0.0874460992719132	-0.0275847347376836	0.0322766297965461	0.366434808458655	0.488352305769959	0.783349632810775	0.0305420737352362	0	0	1	0.999625919394061	1	0.000162491537307888	3
ENSG00000006704	GTF2IRD1	-0.10449111268112	-0.0471215994356672	0.0102479138097859	0.107429362464935	0.180021987050254	0.913921138001006	0.0292706976750474	0	0	1	0.999625919394061	1	0.000162491537307888	3
ENSG00000006715	VPS41	-0.374466421789883	0.0580396307075936	0.49054568320507	0.792539006188557	3.40627475801062	0.182111274750623	0.220670408185574	0.06241966095731	41.2848304354618	1.70313737900531	0.999625919394061	1	0.000162491537307888	3
ENSG00000006744	ELAC2	-0.0081666184615664	-0.00212402936930678	0.00391855972295284	0.490856887682023	0.298702889710465	0.86126637406757	0.00308301026953699	0	0	1	0.999625919394061	1	0.000162491537307888	3
ENSG00000006747	SCIN	-1.02461362105156	1.7713533635664	4.56732034818436	0.214342439548997	14.0033815378201	0.000910341486541509	1.42653998066913	4.94536052087762	85.7177354298429	7.00169076891005	0.999625919394061	1	0.000162491537307888	3
ENSG00000006757	PNPLA4	-0.00520444806134302	-0.00132295135495197	0.00255854535143907	0.504117606190296	0.242605351202714	0.622330693100416	0.00198039185260943	0	0	1	0.999625919394061	1	0.000162491537307888	2
ENSG00000006831	ADIPOR2	0.0261666431572145	0.177399269587227	0.32863189601724	0.0215002946697364	0.500093139017447	0.479459200572475	0.0771609211306516	0	0	1	0.999625919394061	1	0.000162491537307888	2
ENSG00000006837	CDKL3	-0.0208567748913276	-0.00737448714818232	0.006107800594963	0.283696154454102	0.0555665216032396	0.813645664399931	0.00687884463668307	0	0	1	0.999625919394061	1	0.000162491537307888	2
ENSG00000007047	MARK4	-0.0376570087010449	-0.0077579125043358	0.0221411836923733	0.611066658100636	0.214393000990306	0.898349129596656	0.0152549212294457	0	0	1	0.999625919394061	1	0.000162491537307888	3
ENSG00000007080	CCDC124	-0.00549975268808113	-0.00100049247664557	0.00349876773478998	0.66295739188757	0.43028261857497	0.511850304203801	0.00229558310608009	0	0	1	0.999625919394061	1	0.000162491537307888	2
ENSG00000007129	CEACAM21	-0.099330094798501	-0.0299583650088793	0.0394133647807425	0.397320921539516	0.263539076727785	0.607699120578079	0.0353943900688059	0	0	1	0.999625919394061	1	0.000162491537307888	2
ENSG00000007168	PAFAH1B1	-0.501361019820591	0.154691544571583	0.810744108963757	0.643979042710999	1.91432420378591	0.383981040276635	0.334726846802815	0	0	1	0.999625919394061	1	0.000162491537307888	3
ENSG00000007237	GAS7	-0.622871654693896	-0.234325246417349	0.154221161859198	0.237198359386676	1.41313149758163	0.493335529708183	0.198241606142435	0	0	1	0.999625919394061	1	0.000162491537307888	3
ENSG00000007255	TRAPPC6A	-0.0088914986809904	-0.00164124200313888	0.00560901467471263	0.65727581896972	0.16758331134441	0.682268587253931	0.00369917852319768	0	0	1	0.999625919394061	1	0.000162491537307888	2
ENSG00000007264	MATK	-0.00480977302490163	-0.00134106390179512	0.00212764522131139	0.448596757140509	0.399800850746045	0.52719212374064	0.00176978207276626	0	0	1	0.999625919394061	1	0.000162491537307888	2
