ENSEMBL	SYMBOL	lower_bound	logFC	upper_bound	pvalue	QE	QEp	SE	tau2	I2	H2	p.adjust.fdr	p.adjust.BY	logFDR	n.studies
ENSG00000184226	PCDH9	1.34630952004181	1.60261873048325	1.85892794092469	1.57906639373466e-34	2.00278212273199	0.367368054061375	0.130772408300956	0.00133821706167343	0.138912900230627	1.00139106136599	1.67381037735874e-30	1.64801229186796e-29	29.7762937439122	3
ENSG00000182985	CADM1	0.517837495559123	0.668728233220155	0.819618970881186	3.74412610908378e-18	1.57510969450612	0.454955872953961	0.076986484879946	0	0	1	1.98438683781441e-14	1.95380190299671e-13	13.7023736622464	3
ENSG00000070214	SLC44A1	1.12247932244706	1.51034924222071	1.89821916199436	2.31107577748554e-14	0.465760437131738	0.792248464498378	0.197896452604804	0	0	1	8.16580108044892e-11	8.03994331470457e-10	10.0880012037316	3
ENSG00000112561	TFEB	0.522329781754309	0.717304079331198	0.912278376908087	5.56880543978972e-13	0.819338150138492	0.663869904892004	0.0994785103781608	0	0	1	1.18058675323542e-09	1.16239061919227e-08	8.92790209408538	3
ENSG00000155886	SLC24A2	0.601771872932889	0.825275446200801	1.04877901946871	4.58494442886677e-13	0.984692139055118	0.611190814712326	0.114034530752034	0	0	1	1.18058675323542e-09	1.16239061919227e-08	8.92790209408538	3
ENSG00000023171	GRAMD1B	1.04709490716619	1.46787178982854	1.88864867249088	8.07022275934486e-12	0.638340629607677	0.726751762181432	0.214686027897135	0	0	1	1.42573935415093e-08	1.40376473489687e-07	7.84595986256296	3
ENSG00000066032	CTNNA2	0.660744842328873	0.959952251658136	1.2591596609874	3.21196958958105e-10	1.72949180182516	0.421158555036632	0.152659646651353	0	0	1	4.86383966422273e-07	4.78887433172847e-06	6.31302074995469	3
ENSG00000157388	CACNA1D	0.65446121956143	0.957472366492883	1.26048351342434	5.8951485369553e-10	0.324465550504369	0.850243265912879	0.154600364762601	0	0	1	7.81107181146577e-07	7.69068141295196e-06	6.1072893694687	3
ENSG00000102763	VWA8	0.576471072688165	0.854011339534152	1.13155160638014	1.62998633893352e-09	0.277470767147281	0.870458335559437	0.141604778983282	0	0	1	1.91976168807726e-06	1.89017280703024e-05	5.71675267961762	3
ENSG00000109458	GAB1	0.885942501195242	1.3289201363059	1.77189777141656	4.10674514471554e-09	1.30945388111267	0.519583920514617	0.226013150550117	0	0	1	4.35314985339847e-06	4.28605567499498e-05	5.36119638237537	3
ENSG00000244694	PTCHD4	0.412038740114622	0.630688543289055	0.849338346463488	1.5725426561419e-08	1.41371375097314	0.493191927469756	0.111558071933523	0	0	1	1.51535928682765e-05	0.000149200337449754	4.81948438512382	3
ENSG00000147488	ST18	0.774677903413471	1.26104975976967	1.74742161612587	3.74006071813185e-07	2.01475112482268	0.365176104960574	0.248153466182357	0.0064238089784636	0.732156177551627	1.00737556241134	0.000264297624081317	0.00260224060675755	3.57790674096595	3
ENSG00000170677	SOCS6	0.984885345110712	1.60191855903418	2.21895177295765	3.6112525657643e-07	1.71831530882899	0.423518681198404	0.314818649113222	0	0	1	0.000264297624081317	0.00260224060675755	3.57790674096595	3
ENSG00000156299	TIAM1	1.00362918302555	1.63916901477452	2.27470884652349	4.30183648844738e-07	1.05500959398404	0.590075492432649	0.324260974569956	0	0	1	0.000274336022191017	0.00270107739077579	3.56171716282332	3
ENSG00000150672	DLG2	1.14690282944198	1.88942655729692	2.63195028515185	6.12206669959806e-07	0.670140383012271	0.715287877457022	0.378845598037448	0	0	1	0.000360521705642997	0.00354965060810782	3.44306858293567	3
ENSG00000018280	SLC11A1	-2.19028197507839	-1.55319168579785	-0.916101396517307	1.76795576875832e-06	1.86464201047809	0.393639011064314	0.325052038866954	0	0	1	0.000937016557441908	0.00922574519334041	3.02825273489437	3
ENSG00000076641	PAG1	-2.79914424381478	-1.9762406721438	-1.15333710047283	2.51458678336725e-06	0.143564250102044	0.930733657270173	0.419856476017894	0	0	1	0.00121157363198604	0.0119289990373155	2.91665018697964	3
ENSG00000170921	TANC2	1.09402411013175	1.87786965394322	2.66171519775468	2.65938539007095e-06	0.415973039544793	0.812217985521451	0.399928544603033	0	0	1	0.00122562978846748	0.0120673941564471	2.91164069222042	3
ENSG00000074416	MGLL	0.368693722622527	0.636958492443863	0.905223262265198	3.26078562932865e-06	0.27706708995855	0.870634045378255	0.13687229558164	0	0	1	0.00138257310683535	0.0136126379982551	2.85931189506432	3
ENSG00000151552	QDPR	0.376307679931896	0.65251182253296	0.928715965134024	3.65189760885302e-06	0.532702031973921	0.766170142326045	0.140923070413399	0	0	1	0.00148885056360931	0.0146590322462603	2.82714889033161	3
ENSG00000172456	FGGY	0.286464177503106	0.51087142198679	0.735278666470473	8.12244717758835e-06	1.10613155334237	0.575183719714447	0.114495595966956	0	0	1	0.00307492643151559	0.0302753324048803	2.51216527038256	3
ENSG00000168016	TRANK1	0.36026254149182	0.64662765468237	0.932992767872919	9.61287486523209e-06	1.23664860695824	0.538846624902135	0.14610733434357	0	0	1	0.00351367150246414	0.0345951602641189	2.45423884367621	3
ENSG00000137478	FCHSD2	-2.79369298210845	-1.92410917518428	-1.0545253682601	1.44591997434977e-05	0.467922697234117	0.791392403715303	0.443673360216484	0	0	1	0.00510891724270251	0.0503017458130229	2.29167113222256	3
ENSG00000117020	AKT3	1.23257034543795	2.25406790079673	3.2755654561555	1.52589464761242e-05	0.453212443555932	0.500813350826336	0.521181798959683	0	0	1	0.00521757524667473	0.0513715786243036	2.28253127892183	2
ENSG00000160584	SIK3	1.06264232922777	1.96095528949451	2.85926824976125	1.88185459504666e-05	1.88793530334081	0.389081030795092	0.458331360857912	0	0	1	0.00623364334609207	0.0613756551903543	2.20525804922875	3
ENSG00000122862	SRGN	-3.03531029156001	-2.08031613059969	-1.12532196963936	1.95914296149259e-05	1.62236737945851	0.444331803826119	0.487250872206427	0	0	1	0.00629300466418833	0.0619601191368528	2.20114194636621	3
ENSG00000109654	TRIM2	0.293748761938061	0.54655467586887	0.799360589799678	2.26172064695425e-05	0.256248298539114	0.879744152770633	0.128984979277634	0	0	1	0.00668278218437923	0.0657978187535923	2.1750426938462	3
ENSG00000148842	CNNM2	0.296508584891831	0.555330852232303	0.814153119572775	2.60721865823254e-05	0.775226095953714	0.678674907089381	0.132054603748859	0	0	1	0.00746932912899052	0.0735420593819486	2.12671840336016	3
ENSG00000153208	MERTK	-2.22464851014852	-1.51297718645407	-0.801305862759613	3.08926749841285e-05	0.0330155414394019	0.983627735865549	0.363104286256293	0	0	1	0.00861743039030953	0.0848461175748996	2.0646222160403	3
ENSG00000188177	ZC3H6	0.27451954124241	0.523311281235047	0.772103021227685	3.74603961810607e-05	0.160231828411412	0.923009350289874	0.126936893715943	0	0	1	0.00945429046474389	0.0930857348451525	2.02437105897222	3
ENSG00000137941	TTLL7	0.286843534090509	0.551600573152582	0.816357612214655	4.43754967248343e-05	1.08871759620752	0.580213698214363	0.135082604144996	0	0	1	0.0106904605746192	0.105256907658222	1.9710035837803	3
ENSG00000183530	PRR14L	0.501487449578612	0.976084269272891	1.45068108896717	5.55449072782386e-05	1.71231589577202	0.424791020319246	0.242145684021664	0	0	1	0.0130839114922073	0.128822519304102	1.88326240237769	3
ENSG00000149256	TENM4	0.631185362645427	1.24133626965933	1.85148717667323	6.67742929158725e-05	0.244463940690709	0.621000449362027	0.311307203513274	0	0	1	0.015059734146984	0.148276216483118	1.82218269476991	2
