ENSEMBL	SYMBOL	lower_bound	logFC	upper_bound	pvalue	QE	QEp	SE	tau2	I2	H2	p.adjust.fdr	p.adjust.BY	logFDR	n.studies
ENSG00000152578	GRIA4	1.75022705216309	2.51146837001643	3.27270968786977	1.00455319579371e-10	0.314293585344189	0.575057343530984	0.388395564335832	0	0	1	8.74764922897165e-07	8.44084336899025e-06	6.05810864001212	2
ENSG00000184672	RALYL	1.01763609312159	1.58814369065267	2.15865128818375	4.86907941637868e-08	0.810871415535425	0.367862741801744	0.291080653538111	0	0	1	0.000211999717789128	0.00204564262385099	3.67366471719722	2
ENSG00000154080	CHST9	-1.52739966102087	-1.0893280813615	-0.651256501702141	1.09509107852539e-06	0.00412234940209018	0.94880657839887	0.223510015038448	0	0	1	0.00317868437059969	0.0306719853407331	2.49775259347943	2
ENSG00000167978	SRRM2	0.557802485262717	1.00829074327215	1.45877900128158	1.15016797134262e-05	0.17731683136078	0.673689325958651	0.229845171422957	0	0	1	0.0200313253889031	0.193287677243644	1.69829031430883	2
ENSG00000168702	LRP1B	0.244316049084698	0.438885257101403	0.633454465118108	9.82245427996809e-06	0.830052916057041	0.362257228222871	0.099271828233295	0	0	1	0.0200313253889031	0.193287677243644	1.69829031430883	2
ENSG00000072201	LNX1	-1.19696993426985	-0.818347884887849	-0.439725835505844	2.27297811412313e-05	0.308420344639858	0.578651146433456	0.19317806468309	0	0	1	0.0329884890296404	0.318314854185782	1.48163757597079	2
ENSG00000152208	GRID2	0.414497701554021	0.790092393612077	1.16568708567013	3.74074701758728e-05	0.0530752517523286	0.817795982607834	0.191633466237491	0	0	1	0.0465348928987858	0.449027769484034	1.33222128128953	2
ENSG00000126733	DACH2	0.516995180488343	1.00161835418889	1.48624152788943	5.10318621627462e-05	0.0382326316527908	0.844976751705761	0.247261264759552	0	0	1	0.0528238921863657	0.509712024813273	1.27716960212976	2
ENSG00000127989	MTERF1	0.29139647547254	0.566629385126297	0.841862294780054	5.459520322431e-05	0.0514377147861018	0.820580164101375	0.140427534293874	0	0	1	0.0528238921863657	0.509712024813273	1.27716960212976	2
ENSG00000177565	TBL1XR1	0.683724445930879	1.3650592737211	2.04639410151132	8.60827623455605e-05	0.00228931809775672	0.961838323016707	0.347626197810012	0	0	1	0.074960869450514	0.723317706589725	1.12516538482878	2
ENSG00000197969	VPS13A	0.327613820145843	0.712435998143627	1.09725817614141	0.000285010716972287	0.343439325337552	0.557850673874725	0.196341453737524	0	0	1	0.225624847581334	1	0.646613074133571	2
ENSG00000173889	PHC3	0.414459220230291	0.90920048517572	1.40394175012115	0.000315920419158864	0.810944974699554	0.367841016064156	0.252423651071083	0	0	1	0.229252917502949	1	0.639685128733757	2
ENSG00000117000	RLF	0.277505873943851	0.623430577796835	0.96935528164982	0.000411999330600758	0.756730470094497	0.384353654391506	0.176495438988468	0	0	1	0.275976166990108	1	0.559128421527541	2
ENSG00000180776	ZDHHC20	0.252647144638867	0.576056689939021	0.899466235239174	0.000481062327424548	0.297385634207399	0.585526054274177	0.165007902110022	0	0	1	0.299220767658069	1	0.524008267203636	2
ENSG00000113269	RNF130	0.421001031807988	0.992775620802811	1.56455020979764	0.000666265909476413	0.69278996117402	0.405217029621831	0.291727089632722	0	0	1	0.319189239508847	1	0.495951757987665	2
ENSG00000113595	TRIM23	0.137407746624668	0.326126423921112	0.514845101217557	0.000706533561109152	0.138569226322219	0.709707558162263	0.096286808729667	0	0	1	0.319189239508847	1	0.495951757987665	2
