ENSEMBL	SYMBOL	lower_bound	logFC	upper_bound	pvalue	QE	QEp	SE	tau2	I2	H2	p.adjust.fdr	p.adjust.BY	logFDR	n.studies
ENSG00000165246	NLGN4Y	2.70127927877977	3.74152440345926	4.78176952813874	1.79505934389153e-12	0.326595610051286	0.567670626089529	0.530747061111739	0	0	1	1.52705698384852e-08	1.46993269446327e-07	7.81614475645424	2
ENSG00000152578	GRIA4	2.24053285966031	3.6136850846379	4.9868373096155	2.49627398659855e-07	0.177208235140786	0.673783498487847	0.700600743589599	0	0	1	0.00106179014019969	0.0102207059608529	2.97396131184168	2
ENSG00000184305	CCSER1	2.23464031794002	3.7376066447532	5.24057297156639	1.09318051135679e-06	0.652178305954448	0.419334953331256	0.766833645244704	0	0	1	0.00309989553670406	0.0298393435675094	2.50865294119715	2
ENSG00000046889	PREX2	1.56282916519474	2.8144818762844	4.06613458737406	1.0471576563771e-05	0.415712945207454	0.5190839899753	0.638610056594169	0	0	1	0.0206347081382009	0.198628030609613	1.68540166949872	2
ENSG00000185736	ADARB2	-3.16070820179144	-2.18286403551528	-1.20501986923913	1.21280757835905e-05	0.248727324135645	0.617972636602005	0.498909252409363	0	0	1	0.0206347081382009	0.198628030609613	1.68540166949872	2
ENSG00000069667	RORA	-0.988909821303494	-0.675509615381718	-0.362109409459942	2.39419788099397e-05	0.00511756039183171	0.942970277983218	0.159901002464248	0	0	1	0.0292768875886858	0.281816950604406	1.5334750947894	2
ENSG00000152208	GRID2	0.427818606953145	0.798317091923579	1.16881557689401	2.40905387470084e-05	2.0017558211468	0.157117113330865	0.189033312802112	0.0357934195414256	50.043857026123	2.0017558211468	0.0292768875886858	0.281816950604406	1.5334750947894	2
ENSG00000060718	COL11A1	2.50864281635451	4.77020552530984	7.03176823426516	3.56413726596715e-05	0.0291837702893281	0.864355410717211	1.15387972778798	0	0	1	0.0358011531964044	0.344619003347574	1.44610298400504	2
ENSG00000106829	TLE4	0.529356447878004	1.00966625326007	1.48997605864214	3.78759114573457e-05	0.331926272253479	0.564527024622975	0.245060526198793	0	0	1	0.0358011531964044	0.344619003347574	1.44610298400504	2
ENSG00000154217	PITPNC1	1.26103930503858	2.60439038097605	3.94774145691351	0.000144792933415749	0.117523716906812	0.731735892996843	0.685395796317507	0	0	1	0.12217023857513	1	0.91303457802799	2
ENSG00000168702	LRP1B	0.159895292146499	0.33433987082401	0.508784449501521	0.000172333709051552	0.21732722688359	0.641084027394129	0.0890039715288176	0	0	1	0.12217023857513	1	0.91303457802799	2
ENSG00000176204	LRRTM4	0.192909851151688	0.402509959762002	0.612110068372316	0.000167311981703417	0.0599375962342744	0.806594599379721	0.106940795985851	0	0	1	0.12217023857513	1	0.91303457802799	2
ENSG00000198732	SMOC1	-2.06759346559909	-1.34415013118657	-0.620706796774054	0.000270956695483401	0.591139026849487	0.441979001811734	0.36911052453971	0	0	1	0.164644900605521	1	0.783451715745751	2
ENSG00000114098	ARMC8	0.208265148892545	0.458720738399516	0.709176327906486	0.000330979163936967	0.0878680345415058	0.76690520848111	0.127785812128453	0	0	1	0.182515124606059	1	0.738701140737449	2
