ENSEMBL	SYMBOL	lower_bound	logFC	upper_bound	pvalue	QE	QEp	SE	tau2	I2	H2	p.adjust.fdr	p.adjust.BY	logFDR	n.studies
ENSG00000251562	MALAT1	0.459355229397703	0.569544736700196	0.67973424400269	4.04111160882111e-24	0.00264046311767595	0.959018389172493	0.0562201694376297	0	0	1	3.60669211087284e-20	3.48907185540509e-19	19.442890930112	2
ENSG00000101040	ZMYND8	1.24393406612661	1.75097472669325	2.25801538725989	1.30226062513979e-11	0.00522822946400274	0.942357994618827	0.258698968229066	0	0	1	5.81133803968632e-08	5.62182059715864e-07	7.23572386135343	2
ENSG00000169031	COL4A3	-1.11383506244264	-0.815842191440944	-0.517849320439248	8.05145666476644e-08	0.623701728726091	0.42967501751664	0.152039972852678	0	0	1	0.000239530835776801	0.00231719335035849	3.62063857015889	2
ENSG00000184903	IMMP2L	-2.45976313526619	-1.79090064245043	-1.12203814963467	1.53871117400955e-07	0.151381235550951	0.697218879355386	0.34126264466677	0	0	1	0.000343324930700882	0.00332128531114749	3.46429465893166	2
ENSG00000181938	GINS3	-0.780607122717555	-0.563525639002855	-0.346444155288156	3.62040721185074e-07	0.676977314104833	0.410629522343062	0.11075789424041	0	0	1	0.000646242687315357	0.00625167633598669	3.18960435821376	2
ENSG00000184305	CCSER1	-2.03850356047729	-1.46191963567319	-0.885335710869084	6.71401694028488e-07	0.746129773524729	0.387704340569509	0.294180877481487	0	0	1	0.000998710019867376	0.00966140417565898	3.00056059290801	2
ENSG00000171310	CHST11	0.923769740123607	1.56178471855772	2.19979969699183	1.60451049339071e-06	0.140063180051701	0.708218210856336	0.325523827716576	0	0	1	0.00204575087907315	0.0197903552505262	2.68914725353251	2
ENSG00000046889	PREX2	-1.87347005459532	-1.30673513287547	-0.740000211155618	6.2091667882048e-06	0.462341970477561	0.496531479404515	0.289155783570608	0	0	1	0.00615742373163643	0.0595661985648585	2.21060095880426	2
ENSG00000175048	ZDHHC14	0.951831576008843	1.67653439390101	2.40123721179319	5.78224044976101e-06	0.161360496642714	0.687907017223452	0.369753129959803	0	0	1	0.00615742373163643	0.0595661985648585	2.21060095880426	2
ENSG00000172264	MACROD2	-2.1403147017393	-1.45922046443847	-0.778126227137642	2.67914131868772e-05	0.138773617059075	0.709503259413436	0.347503445304716	0	0	1	0.0239113362692879	0.231315476446669	1.62139615294479	2
ENSG00000012817	KDM5D	-0.806031124252896	-0.544798781613418	-0.28356643897394	4.36055377863541e-05	0.0146024353779881	0.903817341484554	0.133284256598614	0	0	1	0.0299368788264008	0.289605871920655	1.52379348051703	2
ENSG00000154493	C10orf90	0.494430260288138	0.946737190913799	1.39904412153946	4.08781689241205e-05	0.0997742864458827	0.752100667416073	0.230773082665498	0	0	1	0.0299368788264008	0.289605871920655	1.52379348051703	2
ENSG00000185736	ADARB2	0.68740229471791	1.31663338661046	1.94586447850301	4.1115016930093e-05	0.0776672762548025	0.780483893876514	0.321042170598972	0	0	1	0.0299368788264008	0.289605871920655	1.52379348051703	2
ENSG00000144619	CNTN4	-1.44008777772541	-0.965211475895604	-0.490335174065802	6.78414912580287e-05	0.152090224111088	0.696545814834908	0.242288279568179	0	0	1	0.0432489506769933	0.418385301390148	1.36402442509442	2
ENSG00000173517	PEAK1	0.798122303310371	1.64583452586959	2.4935467484288	0.000141647895943084	0.0613158549649712	0.804428137050579	0.432514183549218	0	0	1	0.084280498086135	0.815319702353777	1.07427290643578	2
ENSG00000018625	ATP1A2	0.412469598782024	0.865053059834384	1.31763652088674	0.00017952607824368	0.0798059033513345	0.777560616962295	0.230914172210449	0	0	1	0.100141890520303	0.968760961624995	0.999384214067674	2
ENSG00000176204	LRRTM4	-0.769862778600285	-0.502550500364606	-0.235238222128928	0.000228920626563016	0.171319738052854	0.678941568340897	0.136386321557031	0	0	1	0.120183328945583	1	0.920155770678292	2
ENSG00000060718	COL11A1	-2.33088425218724	-1.51927997216958	-0.707675692151929	0.000243550456340626	0.813252414456967	0.367160417179594	0.414091425362653	0	0	1	0.120760434602227	1	0.918075332672711	2
ENSG00000154217	PITPNC1	-1.7001009894248	-1.09706161064991	-0.494022231875026	0.000363015438276813	0.451188324152084	0.501771177743118	0.307678806106431	0	0	1	0.170521725611608	1	0.768220281116347	2
ENSG00000114098	ARMC8	-0.690112405449004	-0.444600975110977	-0.199089544772951	0.000386207887236139	0.233891911426413	0.628652931118728	0.125263235587281	0	0	1	0.172345269679127	1	0.763600632072948	2
ENSG00000135720	DYNC1LI2	-0.767583018360666	-0.491783322073511	-0.215983625786356	0.000474334492920695	0.350931967172119	0.553586039621474	0.140716716461439	0	0	1	0.201592159491295	1	0.695526362880688	2
ENSG00000183878	UTY	-1.33693432908695	-0.850394983739838	-0.363855638392727	0.00061319080940662	0.81307967186863	0.367211308428574	0.248238921319408	0	0	1	0.248760362452458	1	0.604218819075961	2
ENSG00000101849	TBL1X	-0.635911616320713	-0.400640786017782	-0.165369955714851	0.000845032544019007	0.214242587981606	0.64346223619789	0.120038343642392	0	0	1	0.327909367624767	1	0.484246176347917	2
ENSG00000111605	CPSF6	-1.45381512497633	-0.911622953587635	-0.369430782198939	0.0009827646652411	0.681682216248181	0.409008060247782	0.276633742081711	0	0	1	0.337767918614745	1	0.471381602338243	2
ENSG00000174989	FBXW8	0.208426866394673	0.516855473012394	0.825284079630116	0.00102181891345637	0.478061110264991	0.489301869018994	0.157364425596882	0	0	1	0.337767918614745	1	0.471381602338243	2
ENSG00000182606	TRAK1	0.405268153023999	0.995495294340727	1.58572243565746	0.000947273997843322	0.56080749159976	0.453935074807305	0.301141830141964	0	0	1	0.337767918614745	1	0.471381602338243	2
ENSG00000198822	GRM3	0.135259865099383	0.335273231452701	0.535286597806019	0.00101838507149104	1.15410161166509	0.282692181795496	0.102049511078264	0.00298125685747003	13.3525168067962	1.15410161166509	0.337767918614745	1	0.471381602338243	2
ENSG00000144642	RBMS3	-0.814379296135299	-0.509106748462308	-0.203834200789318	0.00108059657396844	0.463162611529656	0.49614961982393	0.155754161852433	0	0	1	0.344440157952441	1	0.462886220283332	2
ENSG00000107581	EIF3A	-0.739801420016263	-0.461850559795672	-0.183899699575081	0.00112704212204772	0.00314582510993219	0.95527197786835	0.141814269248329	0	0	1	0.346856928940548	1	0.459849625452791	2
ENSG00000066651	TRMT11	-0.703928330056297	-0.437235252451469	-0.170542174846642	0.00131218325994185	0.552011309048682	0.457497036991178	0.136070397062634	0	0	1	0.365976112343157	1	0.43654726055126	2
ENSG00000101333	PLCB4	-1.24775747856877	-0.776205854471359	-0.304654230373945	0.00125431099936624	0.688767838351324	0.406583801000023	0.240591984249177	0	0	1	0.365976112343157	1	0.43654726055126	2
ENSG00000171365	CLCN5	-0.489818763883757	-0.304506494779563	-0.119194225675369	0.00127910347543798	0.658638232798053	0.417041110312488	0.0945488134302025	0	0	1	0.365976112343157	1	0.43654726055126	2
