ENSEMBL	SYMBOL	lower_bound	logFC	upper_bound	pvalue	QE	QEp	SE	tau2	I2	H2	p.adjust.fdr	p.adjust.BY	logFDR	n.studies
ENSG00000251562	MALAT1	0.459355229397703	0.569544736700196	0.67973424400269	4.04111160882111e-24	0.00264046311767595	0.959018389172493	0.0562201694376297	0	0	1	3.60669211087284e-20	3.48907185540509e-19	19.442890930112	2
ENSG00000101040	ZMYND8	1.24393406612661	1.75097472669325	2.25801538725989	1.30226062513979e-11	0.00522822946400274	0.942357994618827	0.258698968229066	0	0	1	5.81133803968632e-08	5.62182059715864e-07	7.23572386135343	2
ENSG00000169031	COL4A3	-1.11383506244264	-0.815842191440944	-0.517849320439248	8.05145666476644e-08	0.623701728726091	0.42967501751664	0.152039972852678	0	0	1	0.000239530835776801	0.00231719335035849	3.62063857015889	2
ENSG00000184903	IMMP2L	-2.45976313526619	-1.79090064245043	-1.12203814963467	1.53871117400955e-07	0.151381235550951	0.697218879355386	0.34126264466677	0	0	1	0.000343324930700882	0.00332128531114749	3.46429465893166	2
ENSG00000181938	GINS3	-0.780607122717555	-0.563525639002855	-0.346444155288156	3.62040721185074e-07	0.676977314104833	0.410629522343062	0.11075789424041	0	0	1	0.000646242687315357	0.00625167633598669	3.18960435821376	2
ENSG00000184305	CCSER1	-2.03850356047729	-1.46191963567319	-0.885335710869084	6.71401694028488e-07	0.746129773524729	0.387704340569509	0.294180877481487	0	0	1	0.000998710019867376	0.00966140417565898	3.00056059290801	2
ENSG00000171310	CHST11	0.923769740123607	1.56178471855772	2.19979969699183	1.60451049339071e-06	0.140063180051701	0.708218210856336	0.325523827716576	0	0	1	0.00204575087907315	0.0197903552505262	2.68914725353251	2
ENSG00000046889	PREX2	-1.87347005459532	-1.30673513287547	-0.740000211155618	6.2091667882048e-06	0.462341970477561	0.496531479404515	0.289155783570608	0	0	1	0.00615742373163643	0.0595661985648585	2.21060095880426	2
ENSG00000175048	ZDHHC14	0.951831576008843	1.67653439390101	2.40123721179319	5.78224044976101e-06	0.161360496642714	0.687907017223452	0.369753129959803	0	0	1	0.00615742373163643	0.0595661985648585	2.21060095880426	2
ENSG00000172264	MACROD2	-2.1403147017393	-1.45922046443847	-0.778126227137642	2.67914131868772e-05	0.138773617059075	0.709503259413436	0.347503445304716	0	0	1	0.0239113362692879	0.231315476446669	1.62139615294479	2
ENSG00000012817	KDM5D	-0.806031124252896	-0.544798781613418	-0.28356643897394	4.36055377863541e-05	0.0146024353779881	0.903817341484554	0.133284256598614	0	0	1	0.0299368788264008	0.289605871920655	1.52379348051703	2
ENSG00000154493	C10orf90	0.494430260288138	0.946737190913799	1.39904412153946	4.08781689241205e-05	0.0997742864458827	0.752100667416073	0.230773082665498	0	0	1	0.0299368788264008	0.289605871920655	1.52379348051703	2
ENSG00000185736	ADARB2	0.68740229471791	1.31663338661046	1.94586447850301	4.1115016930093e-05	0.0776672762548025	0.780483893876514	0.321042170598972	0	0	1	0.0299368788264008	0.289605871920655	1.52379348051703	2
ENSG00000144619	CNTN4	-1.44008777772541	-0.965211475895604	-0.490335174065802	6.78414912580287e-05	0.152090224111088	0.696545814834908	0.242288279568179	0	0	1	0.0432489506769933	0.418385301390148	1.36402442509442	2
