ENSEMBL	SYMBOL	lower_bound	logFC	upper_bound	pvalue	QE	QEp	SE	tau2	I2	H2	p.adjust.fdr	p.adjust.BY	logFDR	n.studies
ENSG00000228696	ARL17B	-1.38586159735731	-1.26046245307136	-1.13506330878541	2.1232179285577e-86	0.875955567044255	0.349311814988646	0.0639803309015269	0	0	1	2.8591252625958e-82	2.88347816625897e-81	81.543766817128	2
ENSG00000184384	MAML2	0.97018090411509	1.08593939382979	1.20169788354449	1.68282096110896e-75	1.07678055559292	0.583687070590451	0.0590615392057144	0	0	1	1.13304335311466e-71	1.14269417044176e-70	70.9457534726095	3
ENSG00000250634	LINC01182	-0.419349403022537	-0.349955607056662	-0.280561811090786	4.87583943147957e-23	0.0668362789904597	0.796000110627166	0.0354056485288734	0	0	1	2.18860179281013e-19	2.20724344146912e-18	18.6598332493581	2
ENSG00000224101	ELMO1-AS1	0.246321904422717	0.308098998152263	0.369876091881808	1.44345286238343e-22	0.710627644520837	0.399235527849207	0.03151950455051	0	0	1	4.85938406121381e-19	4.90077438204139e-18	18.3134187751345	2
ENSG00000196628	TCF4	-0.487005070195375	-0.400687889935228	-0.314370709675082	9.18132064386532e-20	1.35294480013388	0.508407290304859	0.0440401869325179	0	0	1	2.47271327580581e-16	2.49377487425346e-15	15.6068262394635	3
ENSG00000124406	ATP8A1	-0.270369609308505	-0.222106957947822	-0.173844306587138	1.88355479472849e-19	1.50413923051015	0.471389946665484	0.0246242541910837	0	0	1	4.22732481096897e-16	4.26333149987527e-15	15.3739343814135	3
ENSG00000071991	CDH19	0.341488917609486	0.437115029831784	0.532741142054082	3.27158765501204e-19	1.04737749827572	0.592331550624582	0.0487897292892037	0	0	1	6.29359990891317e-16	6.34720631583818e-15	15.2011008691244	3
ENSG00000141198	TOM1L1	0.115726490667573	0.151281530036002	0.186836569404431	7.46923173712242e-17	1.46300329032417	0.481185876852296	0.0181406595472582	0	0	1	1.25725843215113e-13	1.26796726463162e-12	12.9005754429813	3
ENSG00000231171	LINC01098	0.176803524484502	0.23128363931453	0.285763754144559	8.75142601102752e-17	0.0581801972703868	0.809395681206027	0.0277964877210811	0	0	1	1.30940780738329e-13	1.32056082771653e-12	12.8829250739124	2
ENSG00000123684	LPGAT1	0.303717588476713	0.401848359000672	0.499979129524631	1.00612413958661e-15	0.518651276058782	0.771571729033105	0.0500676396597091	0	0	1	1.35484676636733e-12	1.36638681786887e-11	11.8681098208665	3
ENSG00000139083	ETV6	0.164800122616109	0.220666964079508	0.276533805542908	9.81656625612672e-15	1.28338247494401	0.526401401014951	0.0285040143105027	0	0	1	1.20172619277275e-11	1.21196202349516e-10	10.9201944728605	3
ENSG00000154380	ENAH	0.343062766256222	0.462015990501101	0.580969214745979	2.68786789335785e-14	1.48730249807831	0.475375030278801	0.0606915357543129	0	0	1	3.01623575432974e-11	3.04192686332435e-10	10.5205347162495	3
ENSG00000117000	RLF	0.23663960120867	0.323855233110997	0.411070865013325	3.39115690293682e-13	0.455477216413783	0.796332387383501	0.0444985890507547	0	0	1	3.51271683499594e-10	3.54263677442559e-09	9.45435685788098	3
ENSG00000204227	RING1	-0.45189999284282	-0.352267397875792	-0.252634802908763	4.21512070086144e-12	0.580568999219645	0.446089377802441	0.0508338907005014	0	0	1	4.05434395412858e-09	4.08887726017989e-08	8.39207941029432	2
ENSG00000180776	ZDHHC20	-1.63714073346701	-1.27350472838916	-0.909868723311307	6.69252829337313e-12	13.4803169867788	0.0011824597297126	0.185531983213041	0.0860898143649793	85.1635536318504	6.74015849338941	6.0081057332375e-09	6.05928041314181e-08	8.22126243303492	3
ENSG00000144455	SUMF1	0.337572036777377	0.474765918856676	0.611959800935975	1.18074543863825e-11	0.922641202989025	0.630450521614617	0.0699981648445927	0	0	1	9.93744879793915e-09	1.00220920755178e-07	8.00272509600388	3
ENSG00000243716	NPIPB5	0.176661448211554	0.250896360096993	0.325131271982432	3.49104306574044e-11	0.885431865232993	0.346718238714072	0.0378756510175669	0	0	1	2.76531681901534e-08	2.78887069927817e-07	7.55825510491339	2
ENSG00000105695	MAG	0.304612906537173	0.433995959713805	0.563379012890437	4.88484640875316e-11	3.19207229590507	0.202698394130134	0.0660129748287158	0.00493227955361011	37.344777479956	1.59603614795254	3.65440787445945e-08	3.68553468239505e-07	7.43718298195848	3
