"gene_id"	"lambda"	"p.value"	"p.adjusted"	"ci.hi"	"ci.lo"	"logFC"	"z"	"SE"	"logFC.CPM"	"SYMBOL"
"ENSG00000142621"	1765.44796652897	0	0	-16.8318285851098	-17.4829213137542	-17.157374949432	-103.296613495134	0.166095083837857	0.148536199726091	"E2F2"
"ENSG00000158816"	1519.74578375974	0	0	-12.8591066939861	-13.924008186319	-13.3915574401525	-49.2946445630373	0.271658543962466	0.307385314398809	"LRRC23"
"ENSG00000186409"	3147.79037031532	0	0	-17.5285276627892	-18.1225341400345	-17.8255309014119	-117.633055902341	0.151532264603386	0.262803428767099	"CAPG"
"ENSG00000186094"	2520.82217356524	0	0	-9.10515528049923	-9.80259175797988	-9.45387351923955	-53.1353096959874	0.177917468745064	0.0939449481043004	"MPHOSPH9"
"ENSG00000155761"	2767.98562942999	0	0	-15.1126099160927	-15.4930927947235	-15.3028513554081	-157.657751251769	0.0970619588344006	0.32234463692632	"EIF2B3"
"ENSG00000162814"	2390.22297250093	0	0	-15.7233439548401	-16.1271617104496	-15.9252528326448	-154.589150987514	0.103014733573854	0.0102021343203259	"SMPX"
"ENSG00000203666"	1556.45982025263	0	0	-16.3201182976842	-17.4006852891811	-16.8604017934326	-61.1637789050432	0.275654844769621	0.381384197241565	"HSD3B7"
"ENSG00000189350"	1769.51623050752	0	0	-11.5830474882044	-12.041920846049	-11.8124841671267	-100.908205454623	0.117059530062399	0.370861478268144	"ITPK1"
"ENSG00000115423"	3130.41324496061	0	0	-19.8144979216292	-20.2283627671907	-20.0214303444099	-189.6333202245	0.105577766724892	-0.158571185117775	"TAF7L"
"ENSG00000168658"	1713.07782739467	0	0	-15.9480280162434	-16.7127164831471	-16.3303722496952	-83.7123687588322	0.195073588495846	0.175348924227928	"MTHFSD"
"ENSG00000135951"	2233.99924176136	0	0	-22.6882218650706	-23.3533206632696	-23.0207712641701	-135.678737343342	0.169668060765054	0.35130868985758	"STUB1"
"ENSG00000176601"	1653.85736949257	0	0	-19.8583599288254	-20.7550815462279	-20.3067207375267	-88.7687784419765	0.228755514643485	-0.0196713713871269	"CLEC4M"
"ENSG00000182329"	1948.14578922386	0	0	-21.2526902853601	-21.8463018496364	-21.5494960674983	-142.302605673721	0.151431521499051	-0.192938980344339	"AP1S1"
"ENSG00000144451"	2711.17350895664	0	0	-10.6991123473943	-11.2164091934174	-10.9577607704059	-83.0347860278369	0.131963481128341	0.284516533988068	"PRUNE2"
"ENSG00000226321"	1563.47277680078	0	0	-14.312352731241	-15.7056192033982	-15.0089859673196	-42.2274884643831	0.355425120448247	-0.0339718230972926	"C17orf75"
