"gene_id"	"lambda"	"p.value"	"p.adjusted"	"ci.hi"	"ci.lo"	"logFC"	"z"	"SE"	"logFC.CPM"	"SYMBOL"
"ENSG00000186409"	1535.91004996072	0	0	7.88291875140505	7.10337759657965	7.49314817399235	37.6793462691177	0.198862539496276	-0.372783705452306	"CAPG"
"ENSG00000155761"	1585.13784375186	0	0	7.59845617513974	6.98659710008383	7.29252663761178	46.7202012643579	0.156086498738753	-1.07587645021235	"EIF2B3"
"ENSG00000115423"	1685.44690327114	0	0	9.31294085166078	8.42404688404049	8.86849386785064	39.109115847947	0.226758665209257	-1.00503148331403	"TAF7L"
"ENSG00000144451"	1503.60215717533	0	0	5.44781496044449	4.7719806370246	5.10989779873454	29.6380793432352	0.172406715158136	-0.294327025440253	"PRUNE2"
"ENSG00000174844"	1828.95639097803	0	0	7.253896048312	6.62100945940183	6.93745275385691	42.9687017556246	0.161450660436267	-0.358320057902859	"ADGRG6"
"ENSG00000152582"	1726.38848679433	0	0	8.46104919176422	7.67243401220693	8.06674160198558	40.0969279372946	0.201177341723798	-0.541411382767501	"L3HYPDH"
"ENSG00000164796"	1515.18021053195	0	0	8.31892619918907	7.69965758252045	8.00929189085476	50.6982696206745	0.15797668792567	-0.307848132963439	"ELK4"
"ENSG00000170959"	2017.43035828758	0	0	8.14977068944858	7.46648345537003	7.8081270724093	44.7941863549441	0.174307967877181	-0.683375390851652	"PRPF18"
"ENSG00000184226"	1657.22182337583	0	0	-3.95407963759776	-5.21393799125292	-4.58400881442534	-14.2627020807881	0.321392437156927	0.162775779542922	"IBA57"
"ENSG00000157423"	1688.4437635839	0	0	6.82187261369243	5.89132382096211	6.35659821732727	26.7771097388627	0.237384896104674	-0.469537015596262	"LDB1"
"ENSG00000007174"	2827.87489369095	0	0	10.6125598869705	9.57049453381652	10.0915272103935	37.9612081363466	0.265832998253571	-0.75037373184009	"MZT1"
"ENSG00000135205"	1459.54741098648	1.15692881958415e-317	1.78774425821538e-314	7.71701198206363	6.82515317453513	7.27108257829938	31.9581078569503	0.227515001920535	-0.445878822286937	"ADAMTS10"
"ENSG00000133640"	1458.61727217601	1.84197504675969e-317	2.6273648687724e-314	9.68516779624428	8.86876331915741	9.27696555770085	44.5429168732439	0.208266448236445	-0.583311024093539	"ZNF491"
"ENSG00000105877"	1431.70292802516	1.28723937846145e-311	1.70494855677219e-308	10.4921010467293	9.66671038795979	10.0794057173445	47.8689017901261	0.210558841522833	-1.10117174587148	"GTF2A2"
"ENSG00000165309"	1409.43300837803	8.82085990495317e-307	1.09043470145031e-303	7.49126124553105	6.86739917933692	7.17933021243398	45.110063304001	0.159148486274011	-0.980398402761107	"UBE2E1"
"ENSG00000182667"	1388.54492274609	3.02901265855245e-302	3.51043635797113e-299	-11.8629738109521	-12.7692713685123	-12.3161225897322	-53.2698262368466	0.231198356520459	-0.087586938391615	"CD52"
"ENSG00000169064"	1361.45215666407	2.314304462431e-296	2.52436162628577e-293	9.77717321215257	8.96811031324024	9.3726417626964	45.4106604556377	0.20639359666131	-0.92620447239729	"PRG4"
"ENSG00000168038"	1348.86296970656	1.2535097213788e-293	1.22335951386985e-290	7.43534538090683	6.57452161763389	7.00493349927036	31.8983233466217	0.219597898794118	-0.4251340859641	"CLEC2B"
"ENSG00000175267"	1348.94699461239	1.20193762376419e-293	1.22335951386985e-290	10.1970090037321	9.32227567850424	9.75964234111815	43.7357236517809	0.22314625643567	-1.13006675249592	"OR10D3"
"ENSG00000169862"	1338.91041115375	1.81676325119717e-291	1.68441204834746e-288	-2.61846338142702	-4.18879433581818	-3.4036288586226	-8.49628539893092	0.400594631222237	0.119691413459373	"GPR42"
"ENSG00000186952"	1307.54180421378	1.1773478256279e-284	1.03959813002943e-281	6.03455831137145	5.04551003523375	5.5400341733026	21.9570019275428	0.252308233708598	-0.362324714818879	"MAP7D3"
"ENSG00000163491"	1267.52479980852	5.7608541986976e-276	4.85561451847498e-273	7.19479456497805	6.47690619303329	6.83585037900567	37.3261946290075	0.183134788761417	-1.04529219752236	"CPT1A"
"ENSG00000162814"	1246.49377204433	2.12479256091886e-271	1.71304471552689e-268	7.52421267993078	6.68053738702877	7.10237503347977	32.9994238006772	0.215223289005612	-0.807258337898892	"SMPX"
"ENSG00000114670"	1205.62317658721	1.59313866060285e-262	1.23089875764828e-259	7.84592382069854	6.81759928338478	7.33176155204166	27.9483530029831	0.262327688090245	-0.465819840636963	"TLX2"
"ENSG00000186976"	1200.43676169639	2.13043977011416e-261	1.58018978628908e-258	9.41368344202983	8.29605260663712	8.85486802433347	31.0571646127688	0.285109906987938	-0.724935227354297	"PCDHB16"
"ENSG00000185261"	1188.19003839588	9.72324963822724e-259	6.93454684775568e-256	8.64045798750879	7.63291382749378	8.13668590750128	31.6564017044764	0.257026571432399	-0.366313138516797	"MPDU1"
"ENSG00000137473"	1188.07175895823	1.03156236618946e-258	7.08454109490787e-256	9.35085432608189	8.36303904090368	8.85694668349279	35.1468473369606	0.251993695198522	-0.713563510100158	"MRS2"
"ENSG00000118492"	1173.18408435754	1.76324618715893e-255	1.167709787446e-252	9.59817766919002	8.67607935452429	9.13712851185716	38.8428056325988	0.235229161904524	-0.917114308722445	"SEMA7A"
"ENSG00000186094"	1151.13221646912	1.08346583990255e-250	6.92783002390106e-248	5.47277399058818	4.73767630178393	5.10522514618606	27.2237488211108	0.187524920613327	-0.347740907911346	"MPHOSPH9"
"ENSG00000135951"	1148.30593761326	4.45178189503752e-250	2.75164638932269e-247	10.1399915181305	8.68091492794059	9.41045322303554	25.2819482121197	0.372213415864769	-0.2879363894148	"STUB1"
