"gene_id"	"lambda"	"p.value"	"p.adjusted"	"ci.hi"	"ci.lo"	"logFC"	"z"	"SE"	"logFC.CPM"	"SYMBOL"
"ENSG00000248550"	547.313527486791	1.4202917707929e-119	2.63364703058128e-115	-6.84436118809297	-8.49993702381487	-7.67214910595392	-18.1654450460544	0.422340774418852	-1.03752641644817	"POU3F2"
"ENSG00000118271"	523.644562366053	1.95897116242431e-114	1.8162601132417e-110	-8.5319952381747	-9.70678647927594	-9.11939085872532	-30.4286872743292	0.299691643138073	-2.65758340751325	"ITGB2-AS1"
"ENSG00000188039"	443.176815516736	5.82609090680157e-97	3.60110678949405e-93	-2.59886688432184	-3.40940783239522	-3.00413735835853	-14.5285714213195	0.206770650018718	-0.692886501786199	"CXXC4-AS1"
"ENSG00000112297"	440.355764932603	2.38759470864137e-96	1.10682921705842e-92	-3.82201754278523	-4.58356951113655	-4.20279352696089	-21.6329923357282	0.194273461314112	-0.722522219350964	"SLCO2B1"
"ENSG00000164707"	412.035089487727	3.37067703776558e-90	1.25004928622574e-86	-4.22457432221789	-5.4501776274064	-4.83737597481215	-15.4716989586657	0.312653904384824	-1.24957963309895	"DYNC1LI1"
"ENSG00000146038"	354.360533177291	1.1261284188157e-77	3.48029987834992e-74	-2.50555153842725	-3.16762400821059	-2.83658777331892	-16.7945659378075	0.168896038210038	0.21658248776128	"DPH6"
"ENSG00000245532"	338.524639053387	3.0924923602404e-74	8.19201226227682e-71	-6.14338987702211	-7.27922521892961	-6.71130754797586	-23.1616689459832	0.289753913751912	-0.2825454094364	"BPIFB6"
"ENSG00000169071"	309.357419542637	6.66637712222533e-68	1.5451828872178e-64	-7.75131284675871	-9.06717610784081	-8.40924447729976	-25.050955977213	0.335679403337272	-0.917167296953607	"SLAMF9"
"ENSG00000139155"	296.651855996378	3.82708358251837e-65	7.88506787451535e-62	-1.70030294091126	-3.25920354906675	-2.47975324498901	-6.23545468556264	0.397678726570277	-1.0079783127099	"IQCK"
"ENSG00000163694"	292.312929107806	3.35007052453722e-64	6.21203577364936e-61	-5.67417903737783	-7.09748395617407	-6.38583149677595	-17.5872359882066	0.363087989488836	-0.636993266237798	"ACAT2"
"ENSG00000148482"	286.631921494328	5.73679166945392e-63	9.67066617515309e-60	-4.25876424960141	-5.38804736239561	-4.82340580599851	-16.7428372132247	0.288082426733214	-0.913739482651706	"YWHAG"
"ENSG00000105877"	266.564343251928	1.30703833885662e-58	2.0197009931182e-55	-5.09737608974319	-6.26147978390221	-5.6794279368227	-19.1245406484251	0.296965228101793	-0.503965853988437	"GTF2A2"
"ENSG00000111199"	259.372692871357	4.76360085778424e-57	6.7947269773764e-54	-4.21663024900342	-6.19114865473132	-5.20388945186737	-10.3310618686565	0.503703674930585	-1.13701495193155	"AMBN"
"ENSG00000054654"	245.42809913911	5.08118982722651e-54	6.73003592616152e-51	-3.55786334410454	-4.49719591328918	-4.02752962869686	-16.807280568938	0.239625655404245	-0.357976469896518	"ATL3"
"ENSG00000159212"	242.16041123564	2.60336362506572e-53	3.21827811330624e-50	-5.15942635798904	-6.40493299487537	-5.78217967643221	-18.1979984406632	0.317731284919984	-0.377552390273104	"OR1B1"
"ENSG00000122986"	228.64571403366	2.23982476494618e-50	2.59581691352481e-47	-2.33588162542282	-4.04905667840356	-3.19246915191319	-7.30471127117837	0.437034452291003	-0.459605806984084	"SUZ12"
"ENSG00000198691"	220.831506510939	1.11441678829619e-48	1.21556650031625e-45	-1.95672729976503	-3.05246709456014	-2.50459719716258	-8.96001099081468	0.279525457855897	-0.205666758860465	"ME1"
"ENSG00000178234"	214.072140081775	3.27209132636849e-47	3.37079941471394e-44	-2.06940484704487	-2.67824826093474	-2.37382655398981	-15.2834520181126	0.155317197420885	0.00124263212335405	"GFOD1"
"ENSG00000130413"	211.983742039718	9.29641043444731e-47	9.07280729926087e-44	-5.26964964130952	-6.6276487642556	-5.94864920278256	-17.1710540855478	0.346428347690325	-0.397649908207373	"NFIL3"
