"gene_id"	"lambda"	"p.value"	"p.adjusted"	"ci.hi"	"ci.lo"	"logFC"	"z"	"SE"	"logFC.CPM"	"SYMBOL"
"ENSG00000154529"	59.7420883599779	1.06456049042195e-13	1.97401451738942e-09	7.89895504023582	-2.51115504717556	2.69389999653013	1.01438830652454	2.65564032842127	-0.379273338559562	"SLC25A45"
"ENSG00000147862"	55.1156664163701	1.07593269400534e-12	9.97550997247055e-09	9.39061692781288	-3.04795467461239	3.17133112660024	0.999422600899829	3.17310500061869	-0.770878691471343	"S100A1"
"ENSG00000127329"	54.0554258633614	1.82815668681747e-12	1.12998364812188e-08	4.87415952023626	-1.56339902977291	1.65538024523168	1.00798637749665	1.64223432398193	-0.138098652045799	"ZBTB38"
"ENSG00000181234"	52.5207343810797	3.93792496280131e-12	1.82552356463062e-08	9.07247234307189	-3.08303028467419	2.99472102919885	0.965742929885379	3.10089352748625	-0.553009420388261	"SYCN"
"ENSG00000055813"	51.6934368039998	5.95542586395462e-12	2.20862923590621e-08	6.5673493629285	-2.26007402503557	2.15363766894646	0.956349793449161	2.2518937214194	-0.757067242045119	"TLDC2"
"ENSG00000088387"	37.2115631636361	8.31020481295275e-09	2.56826879744305e-05	8.73886937054806	-2.83473884076433	2.95206526489186	0.999850952885098	2.95245107431439	-0.722846598506062	"FAM87A"
"ENSG00000124440"	34.333226635277	3.5045685814779e-08	9.28360217233496e-05	4.73719589085505	-1.62162984384899	1.55778302350303	0.960302656237507	1.62214942211838	-0.47512850994407	"LINC02235"
"ENSG00000064042"	32.6379354402998	8.18017074445839e-08	0.000189606132643115	7.80998020185234	-2.49136377855038	2.65930821165098	1.01193559375226	2.62789387255172	-0.722084422115676	"MSANTD2"
"ENSG00000079102"	27.7493669660064	9.42543765646425e-07	0.00184586724006248	7.11689405506749	-2.45672795486542	2.33008305010104	0.954054558336855	2.44225051273799	-0.845336863219577	"ANKRD61"
"ENSG00000169946"	27.6300319950738	1.00049468274257e-06	0.00184586724006248	7.34201444029367	-2.52953181039619	2.40624131494874	0.955503058111539	2.51825159456374	-1.1040297667455	"CPA5"
"ENSG00000095637"	27.4495168572853	1.09499755383095e-06	0.00184586724006248	6.28140058534096	-1.85981033124967	2.21079512704564	1.06448017883333	2.07683951953843	-0.313720106057806	"NINJ2"
"ENSG00000152583"	25.7891372989166	2.51165502535888e-06	0.0035829473592482	8.26146523879272	-2.18579986719745	3.03783268579763	1.13982800183908	2.66511864948729	-0.234836697084075	"PHF24"
"ENSG00000131018"	25.7889356268843	2.51190830341512e-06	0.0035829473592482	9.15246287898655	-3.17038815160149	2.99103736369253	0.951456038006043	3.14358444657858	-0.39754864010757	"NAAA"
"ENSG00000164181"	24.8538075330686	4.00926042415662e-06	0.00531026543179544	4.36343725015945	-1.57414210000079	1.39464757507933	0.920731785490272	1.51468860973475	-0.269256702154139	"STYXL1"
"ENSG00000099204"	24.5298636933333	4.71419755271777e-06	0.0058276910146697	5.60360822784315	-1.77056946212479	1.91651938285918	1.01877365151836	1.88116777805305	-0.397360485029546	"RAD9A"
"ENSG00000082438"	23.6483569746624	7.32528506326866e-06	0.00848954755801192	5.33177594421857	-1.88551945237533	1.72312824592162	0.935882243185974	1.84114678484538	-0.148102613692892	"CD33"
"ENSG00000196159"	23.4062666572298	8.26787257067897e-06	0.00851728672656112	3.59100461853815	-1.29477433838772	1.14811514007521	0.921148641594889	1.24637218288925	-0.493359045847448	"NCOA3"
"ENSG00000166446"	23.4481157148655	8.09666865994935e-06	0.00851728672656112	5.48937515764971	-1.84744824033116	1.82096345865927	0.972906829709948	1.87163862193389	-0.295338099484655	"TSEN15"
"ENSG00000118777"	22.9354777483105	1.04622305731003e-05	0.0102105863956315	4.72967455338482	-1.72282095865622	1.5034267973643	0.913340387677186	1.64604477347986	-0.977793237600619	"CNTFR"
"ENSG00000046889"	22.1290278730899	1.56582294373157e-05	0.0138635823485463	4.06007957107599	-1.4564492375745	1.30181516675075	0.92504215236162	1.4072777573088	-0.922443227958745	"NMNAT2"
"ENSG00000110328"	22.0445451811579	1.63338226537287e-05	0.0138635823485463	8.56243140699081	-2.99234125756573	2.78504507471254	0.944819634314585	2.94764608789708	-0.663023755403688	"LLCFC1"
"ENSG00000206190"	22.0305900737603	1.64481913211464e-05	0.0138635823485463	4.36567014310547	-1.50693631432835	1.42936691438856	0.954093448352371	1.49811389220251	0.151240334708633	"OR9Q1"
"ENSG00000140937"	21.9394743073352	1.72148675742282e-05	0.0138789256273441	3.65836790056093	-1.27037885918537	1.19399452068778	0.949607018724848	1.25733335707814	-0.0912899604396508	"ASPH"
"ENSG00000044524"	21.8127598583986	1.83408466294591e-05	0.0141705966270858	3.46268413986993	-1.24091279622478	1.11088567182257	0.925800376731084	1.19989717757518	-0.309852815162083	"ITK"
"ENSG00000006831"	20.8628869156037	2.94904682263338e-05	0.0218736700928363	11.5549337943585	-4.27696895845176	3.63898241795336	0.901000289216286	4.03875070224751	0.0398084299859454	"KCNK7"
"ENSG00000128731"	20.1431499100618	4.22639975939687e-05	0.0301423579763447	9.28935463850377	-4.23652660428505	2.52641401710936	0.732178612940496	3.4504799088747	-0.144126673841436	"CEACAM19"
"ENSG00000154380"	19.3659505301894	6.23357621792334e-05	0.0412818585031973	6.19080921890746	-1.99049277811366	2.1001582203969	1.006254132976	2.08706683597478	-0.35278925097007	"GEMIN2"
"ENSG00000165810"	19.410363719866	6.0966753928475e-05	0.0412818585031973	3.22206898272819	-1.28892157016389	0.966573706282151	0.839926233719042	1.15076289614594	-1.19540134780679	"RFC3"
"ENSG00000138759"	19.1270786944385	7.02437411816404e-05	0.0449148169907296	4.86175823975677	-1.59073033895479	1.63551395040099	0.993585157074036	1.64604300477336	0.240504226988384	"ZC3H7A"
