"gene_id"	"lambda"	"p.value"	"p.adjusted"	"ci.hi"	"ci.lo"	"logFC"	"z"	"SE"	"logFC.CPM"	"SYMBOL"
"ENSG00000229807"	6477.52138919504	0	0	-7.26128657053819	-7.41756547745572	-7.33942602399696	-184.094078439149	0.0398670680912062	0.576479699844071	"COMMD7"
"ENSG00000169783"	1614.5312231745	0	0	0.347779830690891	-0.0534663394879155	0.147156745601488	1.43763077580284	0.102358716882348	0.239374026699388	"SLX4"
"ENSG00000183878"	4914.33767547111	0	0	8.36188928843426	8.02752789311397	8.19470859077411	96.0716992243263	0.0852962743163995	-0.234951682301376	"LINC01960"
"ENSG00000165246"	2818.66260342411	0	0	4.60749270007813	4.30566241200106	4.45657755603959	57.8784293636998	0.0769975224686422	-0.115138298914166	"HCCAT5"
"ENSG00000012817"	1386.10867001686	1.02406293304403e-301	3.79783979348707e-298	1.91309766399006	1.70307606652647	1.80808686525826	33.7468639380346	0.0535769381284654	-0.248362106980495	"LINC01254"
"ENSG00000176728"	1282.02529516715	4.09019792687142e-279	1.26407566929961e-275	1.86320949472695	1.67275915022236	1.76798432247465	36.3893864964701	0.0485842715572943	-0.0517374787960855	"XKR7"
"ENSG00000108654"	1235.36136681125	5.55504547719719e-269	1.47153154690954e-265	2.31675693959295	2.0192173487695	2.16798714418122	28.5620929287513	0.0759029568427173	0.0995777716763466	"OR3A2"
"ENSG00000109906"	1149.45908459347	2.50110079202985e-250	5.79723899832619e-247	-3.25392600671287	-3.63654261142066	-3.44523430906676	-35.2966132728584	0.0976062767111723	-0.318820949373492	"SLC16A4"
"ENSG00000187164"	1130.07504082653	4.04876729535229e-246	8.34181021752416e-243	-0.82485953421081	-0.936854849805235	-0.880857192008023	-30.8307247083602	0.0285702335700062	-0.0676078738382819	"ZNF738"
"ENSG00000118515"	1002.99368452072	1.59473569228985e-218	2.95711839421307e-215	-1.37414751924331	-1.5834466077443	-1.4787970634938	-27.6961453167311	0.0533926246176006	-0.0486872515478812	"DNAJC13"
"ENSG00000183454"	882.745121350919	2.06220784729507e-192	3.4763200102175e-189	3.04149416695374	2.68212973614932	2.86181195155153	31.2164915320732	0.0916745996950058	0.468912799450309	"FUT11"
"ENSG00000091138"	822.583201806265	2.3896113622932e-179	3.69254695758357e-176	0.416131227242153	0.104983320890161	0.260557274066157	3.28257309565105	0.0793744659061204	0.113500117094998	"MAP3K21"
"ENSG00000155886"	772.409244094217	1.87699778192585e-168	2.67732075925008e-165	-0.665118611362256	-0.773598068117058	-0.719358339739657	-25.9941647948167	0.0276733308047964	-0.0871889310365164	"CCR5"
"ENSG00000169918"	764.414000544653	1.02237174129927e-166	1.35413137135089e-163	-1.23945321223365	-1.51237824962303	-1.37591573092834	-19.7618020257649	0.0696237340279016	-0.164483584680866	"CYP27C1"
"ENSG00000229236"	763.911131539347	1.31463579769021e-166	1.62515277310464e-163	0.912639737487481	0.789834916577926	0.851237327032703	27.1714822093018	0.0313277604361111	0.468075282522873	"CCPG1"
"ENSG00000137941"	730.969199979652	1.87091907900763e-159	2.16827828012741e-156	-0.609034923642993	-0.71686850540617	-0.662951714524581	-24.0993846761188	0.0275085667763207	-0.111673957105542	"RFXANK"
"ENSG00000150471"	721.322235678264	2.32737671736806e-157	2.53862038059741e-154	-2.81590952575345	-3.26897011981619	-3.04243982278482	-26.3235097288682	0.115576682158862	0.145785025028215	"TRIM6"
"ENSG00000015592"	691.072860917659	8.61856487737601e-151	8.87855825117685e-148	-2.36785503431339	-2.79824457687772	-2.58304980559555	-23.5260576224791	0.109793250654167	0.473003252501175	"PPM1J"
"ENSG00000147459"	688.311765318904	3.42767191811659e-150	3.34522738829663e-147	-0.697799035816149	-0.819810401409619	-0.758804718612884	-24.3785472369125	0.0311253483656811	-0.104688347603151	"GPR78"
