specimenID,platform,libraryPrep,libraryPreparationMethod,isStranded,readStrandOrigin,runType,readLength,assay,RIN,rnaBatch,libraryBatch,sequencingBatch,libraryType,sampleBarcode,totalReads,validBarcodeReads,numberCells,medianGenes,medianUMIs,libraryID,referenceSet,libraryVersion,DV200
R2626559.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D19-2488,,,
R9936070.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D19-2467,,,
R2367199.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D19-5948,,,
R9891381.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D19-4792,,,
R9033345.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D19-4159,,,
R2901804.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D19-2449,,,
R2264515.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D19-7293,,,
R5629689.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D19-10914_12,,,
R1687970.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D19-7315,,,
R9489952.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D19-7496,,,
R7738727.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D19-5994,,,
R8937093.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D19-7280,,,
R7583108.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D19-5981,,,
R5924065.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D19-10914_9,,,
R3840906.1,Illumina NovaSeq 6000,polyAselection,10x,1,reverse,pairedEnd,91,,,,,,,,,,,,,D19-4140,,,
