gene	sig.nft.up	sig.plaq.up	sig.plaq.dw	sig.nft.dw	ntest	nft.resid	nft	plaq_n	dir	set
MTRNR2L12	3	1	0	0	4	0.0137518104194162	0.019070355764315	0.0186710635773025	NFT	Mic_Immune_Mic
MT-ND3	3	2	0	0	6	0.0134482444664261	0.0206836145460607	0.0175056318283442	NFT	Mic_Immune_Mic
HPGDS	4	0	0	0	6	0.0133161679804484	0.0129400727833168	0.000400635552810733	NFT	Mic_Immune_Mic
DHFR	3	2	0	0	6	0.0122125024109998	0.0177878328341551	0.0116010335001993	NFT	Mic_Immune_Mic
SESN3	5	0	0	0	6	0.0111436285539028	0.0106693323891017	-0.0000947582072741205	NFT	Mic_Immune_Mic
SPATS2L	4	0	0	0	6	0.0106316009705716	0.0114152945151611	0.00107409311694836	NFT	Mic_Immune_Mic
KIF26B	3	0	0	0	5	0.010088140572752	0.0119095750568387	0.00188253854413144	NFT	Mic_Immune_Mic
MAF	4	0	1	0	6	0.00998505431040075	0.00846507224566079	-0.00340678261041248	NFT	Mic_Immune_Mic
METTL21A	3	0	0	0	6	0.00905016483900901	0.00807013979835573	-0.000975270596083473	NFT	Mic_Immune_Mic
STAB1	5	2	0	0	6	0.00891073115750786	0.0109915026728659	0.00142980819886444	NFT	Mic_Immune_Mic
PPARG	3	2	0	0	3	0.00845172797804745	0.0141159994185161	0.0178882472001208	NFT	Mic_Immune_Mic
GLCCI1	4	0	2	0	6	0.00841767338492216	0.00616502287673328	-0.00337266488920981	NFT	Mic_Immune_Mic
SLC26A3	3	1	0	0	6	0.00802591785717938	0.01384259488326	0.0139799599137911	NFT	Mic_Immune_Mic
NBPF1	3	0	0	0	5	0.0080193554869139	0.00841180185965423	0.00175675688558829	NFT	Mic_Immune_Mic
CPED1	3	0	2	0	6	0.00772795096252392	0.00585758022248613	-0.00333522647528122	NFT	Mic_Immune_Mic
HLA-DPA1	5	2	0	0	5	0.00704754176763826	0.0110778767106707	0.00871535252174241	NFT	Mic_Immune_Mic
GLCE	4	1	0	0	6	0.00689790332029161	0.00755177739572842	0.000577311254666731	NFT	Mic_Immune_Mic
ABCC5	3	0	0	0	6	0.00686660578219666	0.00685791165523662	-0.0000103160199710601	NFT	Mic_Immune_Mic
ACTB	4	0	0	0	6	0.00685454239592211	0.00813832150941805	0.00402956705052636	NFT	Mic_Immune_Mic
MARCKS	3	0	0	0	6	0.00683398698712981	0.00596342381516362	-0.0020676045788412	NFT	Mic_Immune_Mic
MS4A6A	3	1	0	0	6	0.00680339083501293	0.00767459083959912	0.00239265623549395	NFT	Mic_Immune_Mic
RASGEF1B	4	2	0	0	6	0.00651553009351789	0.0107973470859934	0.00974362534681279	NFT	Mic_Immune_Mic
ZNF618	4	0	0	0	6	0.00646726162694721	0.00746679489096736	0.00192063087198372	NFT	Mic_Immune_Mic
CD74	5	2	0	0	6	0.00641143815872858	0.00942274595319286	0.00633960907786769	NFT	Mic_Immune_Mic
SNX3	4	0	0	0	6	0.00629865556053943	0.00712772421450819	0.00271077023772354	NFT	Mic_Immune_Mic
MT-CO3	4	2	0	0	6	0.00620644625212315	0.0104244589067177	0.00964834045695718	NFT	Mic_Immune_Mic
EFCAB13	4	0	0	0	5	0.00614237429174978	0.00572603568805771	-0.000750134517494464	NFT	Mic_Immune_Mic
HSP90AB1	3	1	0	0	6	0.00596049786814396	0.00704118699135815	0.00543746090335039	NFT	Mic_Immune_Mic
C1QA	3	2	0	0	6	0.00587097061309245	0.00841774025805962	0.00576021702905942	NFT	Mic_Immune_Mic
NEDD9	5	2	0	0	6	0.00569005064891791	0.00832903782592763	0.00506161243365732	NFT	Mic_Immune_Mic
PTGES3	3	0	0	0	6	0.00551002519142256	0.00539382874331281	0.000877211276789854	NFT	Mic_Immune_Mic
ABHD3	4	2	0	0	6	0.00549338299270465	0.00636283096078019	0.00169210307026439	NFT	Mic_Immune_Mic
TRAF3IP3	3	0	0	0	6	0.00528320084197039	0.00657031802875501	0.00309162358918881	NFT	Mic_Immune_Mic
SNAP23	4	0	1	0	6	0.00522156653776335	0.0047959235294172	0.0000606842637655276	NFT	Mic_Immune_Mic
ARL5A	3	0	0	0	6	0.0051471756372681	0.00566953658899551	0.00122078196158594	NFT	Mic_Immune_Mic
INO80D	3	1	0	0	6	0.0051223899367963	0.00780197939987479	0.00566426864575814	NFT	Mic_Immune_Mic
MIB1	3	0	0	0	6	0.00501757197286418	0.00491162775270171	0.0003520267305317	NFT	Mic_Immune_Mic
ATG4C	4	1	0	0	6	0.00458551175294249	0.00531986590161396	0.00215427421752788	NFT	Mic_Immune_Mic
DNAJB6	3	0	1	0	6	0.00456436366966124	0.00427920077700546	0.000101476841357846	NFT	Mic_Immune_Mic
SLC39A10	3	0	1	0	6	0.00453888455233808	0.0044589033296551	-0.000495820482449128	NFT	Mic_Immune_Mic
SGPP1	4	2	0	0	6	0.00443987485375994	0.00640714195381574	0.00419913242225066	NFT	Mic_Immune_Mic
RAPH1	5	2	0	0	6	0.00436388433647009	0.00561062874319443	0.00193016028468741	NFT	Mic_Immune_Mic
CANX	3	2	0	0	6	0.0042768187707052	0.00656168767270373	0.00449068026237177	NFT	Mic_Immune_Mic
NFAT5	4	1	0	0	6	0.00427030173894283	0.00461586082155715	0.0003078113653949	NFT	Mic_Immune_Mic
SLX4IP	4	2	0	0	6	0.00424523029461462	0.00535329565607443	0.00199639712643895	NFT	Mic_Immune_Mic
KLHL24	4	2	0	0	6	0.00419007994076866	0.00620656299447346	0.00480464828603822	NFT	Mic_Immune_Mic
CTSH	4	2	0	0	6	0.00415808288432578	0.00522574987482855	0.00271230535183434	NFT	Mic_Immune_Mic
HPS3	3	2	0	0	6	0.00413426582575383	0.00477879645111275	0.00201676921315855	NFT	Mic_Immune_Mic
ZBTB1	5	2	0	0	6	0.00402724679240325	0.00651671973253521	0.00499854272952599	NFT	Mic_Immune_Mic
CREG1	3	0	0	0	6	0.00385332936978818	0.00466636692237266	0.00228051864379032	NFT	Mic_Immune_Mic
ZNF706	4	2	0	0	5	0.00383912394879323	0.00602842198382149	0.0055461980596848	NFT	Mic_Immune_Mic
PAPOLA	4	2	0	0	6	0.00371990205755446	0.00503725104040749	0.00261879855031447	NFT	Mic_Immune_Mic
CTSS	5	2	0	0	6	0.00371652772504065	0.00507366804336765	0.00353909732126594	NFT	Mic_Immune_Mic
BTG1	3	2	0	0	3	0.00368519473410739	0.00710368861460603	0.00673406767553326	NFT	Mic_Immune_Mic
LYST	4	0	0	0	6	0.00366177424876476	0.00357027576079062	0.0000695975429569446	NFT	Mic_Immune_Mic
CTIF	5	2	0	0	5	0.00365843433996125	0.00564442867385734	0.00363797977413228	NFT	Mic_Immune_Mic
NLK	5	1	0	0	6	0.00363322363322065	0.0048804022285786	0.0023480269832499	NFT	Mic_Immune_Mic
ARHGDIB	3	0	0	0	6	0.00360404055123348	0.00354244657938987	0.000600574756427729	NFT	Mic_Immune_Mic
MORC3	3	0	0	0	6	0.00359209963715091	0.00321956973392063	-0.000193226442941006	NFT	Mic_Immune_Mic
TM6SF1	3	1	0	0	6	0.00354960222877916	0.00469462174103475	0.00171622570160018	NFT	Mic_Immune_Mic
LY86	3	0	0	0	6	0.00347057018258273	0.00318330793928101	0.000357606415955262	NFT	Mic_Immune_Mic
BCKDHB	3	0	0	0	6	0.00346938189230221	0.00478709150718012	0.00251937614852889	NFT	Mic_Immune_Mic
PARP8	4	0	0	0	6	0.00345141879412689	0.00425899012151617	0.00128519412072764	NFT	Mic_Immune_Mic
BBS9	3	0	0	0	6	0.00334959895260687	0.00425289558170966	0.0021301833175781	NFT	Mic_Immune_Mic
P2RX7	3	2	0	0	6	0.00327350715990738	0.00411718935411787	0.000968276856172822	NFT	Mic_Immune_Mic
FGFR1OP2	4	2	0	0	6	0.00322444068656183	0.00434697001126681	0.00195263923621766	NFT	Mic_Immune_Mic
