ENSEMBL	SYMBOL	lower_bound	logFC	upper_bound	pvalue	QE	QEp	SE	tau2	I2	H2	p.adjust.fdr	p.adjust.BY	logFDR	n.studies
ENSG00000120071	KANSL1	-1.8317454423081	-1.54241318822956	-1.25308093415101	1.4893557900548e-25	0.917104626469732	0.338236352982003	0.147621209553217	0	0	1	1.98143894308891e-21	1.99591796497741e-20	20.7030193056604	2
ENSG00000144278	GALNT13	1.16018258610365	1.45224792076406	1.74431325542447	1.92626478603938e-22	1.71151977390038	0.42496014668939	0.149015664044943	0	0	1	1.2813513356734e-18	1.2907145886269e-17	17.8923317740618	3
ENSG00000070214	SLC44A1	-0.341602127990676	-0.283047659890435	-0.224493191790194	2.68527904939863e-21	1.88716118612753	0.389231657105466	0.0298752775878085	0	0	1	1.10886084135666e-17	1.11696364989855e-16	16.95512295306	3
ENSG00000139220	PPFIA2	1.37631979681033	1.73638847650468	2.09645715619903	3.33391714178189e-21	3.03522724897596	0.219234438898024	0.18371188579715	0.0352466986660904	34.1070754858711	1.51761362448798	1.10886084135666e-17	1.11696364989855e-16	16.95512295306	3
ENSG00000151773	CCDC122	0.0855497806124109	0.10812231538527	0.130694850158128	6.10247736286728e-21	1.39442356618744	0.497971823391294	0.0115168109980122	0	0	1	1.62374717671173e-17	1.63561242797016e-16	16.7894815910472	3
ENSG00000154027	AK5	-0.822285857616868	-0.668459501279368	-0.514633144941868	1.63579062971675e-17	0.57683532505503	0.74944851030324	0.0784842770330796	0	0	1	3.62709308962528e-14	3.65359744415989e-13	13.440441298075	3
ENSG00000150760	DOCK1	-0.781921539097569	-0.627764122429171	-0.473606705760773	1.44659459419077e-15	0.54224176051641	0.762524316697534	0.0786531884689577	0	0	1	2.74935635444485e-12	2.76944679981241e-11	11.5607689659627	3
ENSG00000029363	BCLAF1	0.095910636883827	0.129106786985159	0.162302937086492	2.48402949444283e-14	1.99266849391512	0.369230471110323	0.0169371224997905	0	0	1	4.13094104925842e-11	4.16112718549085e-10	10.3839510025941	3
ENSG00000166710	B2M	0.0394561962352442	0.0534254089816989	0.0673946217281537	6.58429786665813e-14	0.146035434071068	0.702353200639251	0.00712728032588462	0	0	1	9.73305542422442e-11	9.8041780409575e-10	10.0117508035571	2
ENSG00000116754	SRSF11	0.325689532936599	0.443846514584726	0.562003496232854	1.80584381225572e-13	1.22475699541451	0.542060045996579	0.0602852820664742	0	0	1	2.40249460782501e-10	2.42005042105612e-09	9.61933757839177	3
ENSG00000168785	TSPAN5	-1.42839962780785	-1.11933075439389	-0.810261880979925	1.2634697251522e-12	1.21294867243188	0.545269922536412	0.157691098332347	0	0	1	1.52810920212953e-09	1.53927559545335e-08	8.81584560898831	3
ENSG00000135905	DOCK10	-0.400985156790799	-0.308675846575441	-0.216366536360084	5.60227854041557e-11	0.394919757297564	0.820813072096643	0.0470974522713077	0	0	1	6.21105947514073e-08	6.25644571649074e-07	7.20683431206796	3
ENSG00000165443	PHYHIPL	0.700649125340645	1.00042200814665	1.30019489095265	6.11406320017364e-11	3.40596704821549	0.182139295617664	0.15294815882872	0.0293421345583938	41.2795258530798	1.70298352410775	6.25703821654693e-08	6.30276043958618e-07	7.2036311924438	3
