ENSEMBL	SYMBOL	lower_bound	logFC	upper_bound	pvalue	QE	QEp	SE	tau2	I2	H2	p.adjust.fdr	p.adjust.BY	logFDR	n.studies
ENSG00000225484	NUTM2B-AS1	-1.2982207721432	-1.11459158460713	-0.930962397071067	1.23296881847675e-32	0.0480557535102921	0.82648161676505	0.0936900825650414	0	0	1	1.74304801868058e-28	1.76637031239774e-27	27.7586906484834	2
ENSG00000111371	SLC38A1	-1.9020167006225	-1.6109897746866	-1.3199628487507	2.00630034946582e-27	2.84128568723728	0.241558682516945	0.148485853939911	0.0203021218568164	29.6093311213383	1.42064284361864	1.41815340201992e-23	1.43712854775511e-22	22.8482767888657	3
ENSG00000253877	LINC01608	0.26198707135762	0.33585733249503	0.409727593632439	5.05102602436843e-19	0.234147442523754	0.628465470118543	0.0376896012988446	0	0	1	2.38021183021655e-15	2.41205948949985e-14	14.6233843905904	2
ENSG00000134107	BHLHE40	-0.736698901842113	-0.600636661606402	-0.46457442137069	5.05534201300452e-18	1.56926410026627	0.456287561849335	0.0694207859475751	0	0	1	1.78668425094612e-14	1.8105904052424e-13	13.7479521907445	3
ENSG00000114541	FRMD4B	0.324696081625947	0.423982440044961	0.523268798463975	5.77983021357179e-17	1.28626455400197	0.525643382086774	0.0506572361544253	0	0	1	1.63418919458529e-13	1.65605493779894e-12	12.7866976654242	3
ENSG00000072310	SREBF1	-0.848355329992527	-0.686143059158292	-0.523930788324057	1.12803484729657e-16	2.02073939577579	0.36408435347107	0.0827628834579333	0.000319185735256191	1.02632708696347	1.01036969788789	2.65783810603861e-13	2.69340045446354e-12	12.5754714762885	3
ENSG00000101577	LPIN2	0.295613036898963	0.3911556439678	0.486698251036637	1.02207236497041e-15	1.78714860686176	0.409190564559857	0.0487471238361852	0	0	1	2.06414814622667e-12	2.09176681698393e-11	11.6852591361244	3
ENSG00000131378	RFTN1	-0.78848864009158	-0.632475379809241	-0.476462119526902	1.93153125452355e-15	2.51664033213354	0.284130918596403	0.0796000648547379	0.00485422610925071	20.5289697354387	1.25832016606677	3.41325716814992e-12	3.45892715850857e-11	11.4668309890431	3
ENSG00000151572	ANO4	0.142331927658723	0.189814449396721	0.23729697113472	4.68534225500483e-15	0.8992718797349	0.342977021984528	0.0242262215594441	0	0	1	7.35963149544481e-12	7.45810467894137e-11	11.1331439307035	2
ENSG00000186417	GLDN	0.0981222196327808	0.133207779554636	0.168293339476491	9.9693359896936e-14	1.44861266539751	0.484660645621258	0.0179011248158668	0	0	1	1.40936502886299e-10	1.42822258459614e-09	9.85097650902738	3
ENSG00000038427	VCAN	-1.34083126786289	-1.05994147365106	-0.779051679439231	1.40399927940833e-13	0.68101950381	0.711407588944641	0.143313752919671	0	0	1	1.80439434663597e-10	1.82853746517477e-09	9.74366854226411	3
ENSG00000182141	ZNF708	-0.59605701798711	-0.469580814180383	-0.343104610373655	3.4144228838332e-13	1.03804495775692	0.595101988501924	0.0645298611629376	0	0	1	4.02247469239583e-10	4.07629612200677e-09	9.39550667960616	3
ENSG00000259417	CTXND1	0.183620183142513	0.252685592543	0.321751001943487	7.45574273250779e-13	0.264033920024115	0.607362243840529	0.0352381012841388	0	0	1	8.10783346226636e-10	8.21631772167302e-09	9.09109518044789	2
ENSG00000169504	CLIC4	-1.41328537314718	-1.10549304282549	-0.797700712503799	1.9282996845048e-12	4.06737528232963	0.130852094773634	0.157039788868325	0.0365257012886687	50.8282402981394	2.03368764116482	1.94716947427459e-09	1.97322294951419e-08	8.71059624748399	3
